variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
abq_i1,"ABQ, question 1",It is difficult for me not to look at threatening things,s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Not at all | 1, Slightly | 2, Somewhat | 3, To a large extent | 4, To a great extent",NA,1,NA,direct-redcap
abq_i2,"ABQ, question 2","Sometimes, I notice threats even before I have looked at them directly (e.g., from the corner of my eye)",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Not at all | 1, Slightly | 2, Somewhat | 3, To a large extent | 4, To a great extent",NA,1,NA,direct-redcap
abq_i3,"ABQ, question 3","My attention tends to ""get stuck"" on threatening things",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Not at all | 1, Slightly | 2, Somewhat | 3, To a large extent | 4, To a great extent",NA,1,NA,direct-redcap
abq_i4,"ABQ, question 4",I notice threats quickly,s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Not at all | 1, Slightly | 2, Somewhat | 3, To a large extent | 4, To a great extent",NA,1,NA,direct-redcap
abq_i5,"ABQ, question 5",I am vigilant and alert towards threats in the surroundings,s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Not at all | 1, Slightly | 2, Somewhat | 3, To a large extent | 4, To a great extent",NA,1,NA,direct-redcap
abq_i6,"ABQ, question 6","When I arrive somewhere new, I scan my surroundings and check for threats",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Not at all | 1, Slightly | 2, Somewhat | 3, To a large extent | 4, To a great extent",NA,1,NA,direct-redcap
abq_i7,"ABQ, question 7","If I notice a threat, I will focus on it for a long time",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Not at all | 1, Slightly | 2, Somewhat | 3, To a large extent | 4, To a great extent",NA,1,NA,direct-redcap
abq_i8,"ABQ, question 8",It is difficult for me to concentrate on other things when I know there is a threat in my surroundings,s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Not at all | 1, Slightly | 2, Somewhat | 3, To a large extent | 4, To a great extent",NA,1,NA,direct-redcap
abq_i9,"ABQ, question 9","When I notice threats, it is difficult for me to stop focusing on them",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Not at all | 1, Slightly | 2, Somewhat | 3, To a large extent | 4, To a great extent",NA,1,NA,direct-redcap
abq_scrdTotal,ABQ total score,average of all abq items (NA if abq_percTotal < 0.8),s1_r1_e1,Real,"[0,4]",NA,NA,1,NA,code-instruments
abq_scrdEng,ABQ engagement with threat subscore,"average of abq items 2, 4, 5, and 6 (NA if abq_percEng < 0.8)",s1_r1_e1,Real,"[0,4]",NA,NA,1,NA,code-instruments
abq_scrdDis,ABQ difficulty to disengage from threat subscore,"average of abq items 1, 3, 7, 8, and 9 (NA if abq_percDis < 0.8)",s1_r1_e1,Real,"[0,4]",NA,NA,1,NA,code-instruments
abq_percTotal,ABQ total percentage response,percentage of response for all abq items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
abq_percEng,ABQ engagement with threat percentage response,percentage of response for abq engagement with threat items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
abq_percDis,ABQ difficulty to disengage from threat percentage response,percentage of response for abq difficulty to disengage from threat items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
