measure,english,draft_esla,edited_esla,esla_for_backtranslation,backtranslated_esla,reconciled_esla,final_esla,revised_english,revised_esla
ADEXI Self-Report,ADULT EXECUTIVE FUNCTIONING INVENTORY (ADEXI),CUESTIONARIO DE FUNCIONAMIENTO EJECUTIVO PARA ADULTOS (ADEXI),n/a,CUESTIONARIO DE FUNCIONAMIENTO EJECUTIVO PARA ADULTOS (ADEXI),EXECUTIVE FUNCTIONING QUESTIONNAIRE FOR ADULTS (ADEXI),,CUESTIONARIO DE FUNCIONAMIENTO EJECUTIVO PARA ADULTOS (ADEXI),,
ADEXI Self-Report,SELF-REPORT VERSION,VERSIÓN REPORTE-PROPIO,n/a,VERSIÓN REPORTE-PROPIO,SELF-REPORT VERSION,,VERSIÓN REPORTE-PROPIO,,
ADEXI Self-Report,Below you will find a number of statements. ,"A continuación, va a encontrar una serie de declaraciones.",n/a,"A continuación, va a encontrar una serie de declaraciones.","Continuing, you will find a series of statements.",,"A continuación, va a encontrar una serie de declaraciones.",,
ADEXI Self-Report,Please circle a number to the right of each statement to indicate how well that statement describes how you are as a person. ,"Por favor, circule el número a la derecha de cada declaración para indicar cuánto te describe como persona.","Por favor, circule el número a la derecha de cada declaración que mejor te describe como persona.","Por favor, circule el número a la derecha de cada declaración que mejor te describe como persona.",Please circle the number to the right of each statement that best describes you as a person.,,"Por favor, circule el número a la derecha de cada declaración que mejor te describe como persona.",,
ADEXI Self-Report,People that you know might feel differently about you – we want to know what you think about yourself. ,Personas que te conocen quizás se sientan diferente sobre ti — nosotros queremos saber que piensa sobre usted mismo.,Personas que te conocen quizás se sientan diferente sobre ti — nosotros queremos saber que piensas sobre usted mismo.,Personas que te conocen quizás se sientan diferente sobre ti — nosotros queremos saber que piensas sobre usted mismo.,People that know you may feel differently about you—we want to know what you think about yourself.,,Personas que te conocen quizás se sientan diferente sobre ti — nosotros queremos saber que piensas sobre usted mismo.,,
ADEXI Self-Report,Try to respond as honestly as possible.,Trata de responder lo más honestamente posible.,n/a,Trata de responder lo más honestamente posible.,Try to respond as honestly as possible.,,Trata de responder lo más honestamente posible.,,
ADEXI Self-Report,Definitely not true,(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),Definitivamente no es cierto,,
ADEXI Self-Report,Not true,(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),No es cierto,,
ADEXI Self-Report,Partially true,(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),Mas o menos cierto,,
ADEXI Self-Report,TRUE,(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),Cierto,,
ADEXI Self-Report,Definitely true,(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),Definitivamente cierto,,
