variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
adexies_b_i1,"ADEXI (version b, Spanish), question 1",Tengo dificultades recordando instrucciones largas.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitivamente no es cierto | 2, No es cierto | 3, Mas o menos cierto | 4, Cierto | 5, Definitivamente cierto",NA,1,NA,direct-redcap
adexies_b_i2,"ADEXI (version b, Spanish), question 2",Tengo dificultades recordando lo que estoy haciendo cuando estoy en medio de una actividad.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitivamente no es cierto | 2, No es cierto | 3, Mas o menos cierto | 4, Cierto | 5, Definitivamente cierto",NA,1,NA,direct-redcap
adexies_b_i3,"ADEXI (version b, Spanish), question 3",Tengo tendencia a hacer las cosas sin primero pensar en lo que pueda pasar.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitivamente no es cierto | 2, No es cierto | 3, Mas o menos cierto | 4, Cierto | 5, Definitivamente cierto",NA,1,NA,direct-redcap
adexies_b_i4,"ADEXI (version b, Spanish), question 4",Tengo dificultad para dejar de hacer algo que me gusta a pesar de que alguien me diga que no está permitido.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitivamente no es cierto | 2, No es cierto | 3, Mas o menos cierto | 4, Cierto | 5, Definitivamente cierto",NA,1,NA,direct-redcap
adexies_b_i5,"ADEXI (version b, Spanish), question 5","Cuando alguien me pide que haga varias cosas, solo recuerdo la primera o la última.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitivamente no es cierto | 2, No es cierto | 3, Mas o menos cierto | 4, Cierto | 5, Definitivamente cierto",NA,1,NA,direct-redcap
adexies_b_i6,"ADEXI (version b, Spanish), question 6",Tengo dificultad para abstenerme de sonreír o reírme en situaciones inapropiadas.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitivamente no es cierto | 2, No es cierto | 3, Mas o menos cierto | 4, Cierto | 5, Definitivamente cierto",NA,1,NA,direct-redcap
adexies_b_i7,"ADEXI (version b, Spanish), question 7",Tengo dificultades para encontrar una forma diferente de resolver un problema cuando me bloqueo.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitivamente no es cierto | 2, No es cierto | 3, Mas o menos cierto | 4, Cierto | 5, Definitivamente cierto",NA,1,NA,direct-redcap
adexies_b_i8,"ADEXI (version b, Spanish), question 8","Cuando alguien me pide que le traiga algo, se me olvida lo que tenía que traer.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitivamente no es cierto | 2, No es cierto | 3, Mas o menos cierto | 4, Cierto | 5, Definitivamente cierto",NA,1,NA,direct-redcap
adexies_b_i9,"ADEXI (version b, Spanish), question 9","Tengo dificultad para planificar una actividad (ej., recordar llevar todo lo necesario cuando voy de viaje/al trabajo/a la escuela).",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitivamente no es cierto | 2, No es cierto | 3, Mas o menos cierto | 4, Cierto | 5, Definitivamente cierto",NA,1,NA,direct-redcap
adexies_b_i10,"ADEXI (version b, Spanish), question 10","Tengo dificultades para dejar una actividad que me gusta (ej., veo la televisión o me siento frente a la computadora por la noche aunque sea hora de ir a la cama).",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitivamente no es cierto | 2, No es cierto | 3, Mas o menos cierto | 4, Cierto | 5, Definitivamente cierto",NA,1,NA,direct-redcap
adexies_b_i11,"ADEXI (version b, Spanish), question 11",Tengo dificultad para entender instrucciones verbales a menos que también me enseñen cómo hacerlo.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitivamente no es cierto | 2, No es cierto | 3, Mas o menos cierto | 4, Cierto | 5, Definitivamente cierto",NA,1,NA,direct-redcap
adexies_b_i12,"ADEXI (version b, Spanish), question 12",Tengo dificultades con tareas o actividades que incluyen varios pasos.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitivamente no es cierto | 2, No es cierto | 3, Mas o menos cierto | 4, Cierto | 5, Definitivamente cierto",NA,1,NA,direct-redcap
adexies_b_i13,"ADEXI (version b, Spanish), question 13",Tengo dificultad para pensar con anticipación o aprender de la experiencia.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitivamente no es cierto | 2, No es cierto | 3, Mas o menos cierto | 4, Cierto | 5, Definitivamente cierto",NA,1,NA,direct-redcap
adexies_b_i14,"ADEXI (version b, Spanish), question 14",Las personas que conozco parecen pensar que soy mas alocado/a en comparación con otras personas de mi edad.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Definitivamente no es cierto | 2, No es cierto | 3, Mas o menos cierto | 4, Cierto | 5, Definitivamente cierto",NA,1,NA,direct-redcap
adexies_b_scrdTotal,"ADEXI (version b, Spanish), total score",average of all adexies_b items (NA if adexies_b_percTotal < 0.8),s1_r1_e1,Real,"[1,5]",NA,NA,1,NA,code-instruments
adexies_b_scrdInh,"ADEXI (version b, Spanish), inhibition subscore","average of adexies_b items 3, 4, 6, 10, and 14 (NA if adexies_b_percInh < 0.8)",s1_r1_e1,Real,"[1,5]",NA,NA,1,NA,code-instruments
