variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
adis2_confirm_s1_r1_e1,"adis2, question 1","Are you completing this form as a secondary rater (that is, your ratings are based on viewing/listening to a recorded interview)?",s1_r1_e1,Integer,"0, 1","1, Yes | 0, No",NA,1,NA,direct-redcap
adis2_warning,"adis2, question 2","STOP AND EXIT THIS FORM NOW, DO NOT SAVE. This form should only be used for secondary ratings.",s1_r1_e1,NA,NA,NA,NA,1,NA,direct-redcap
adis2_ch_dx1_lb_s1_r1_e1,"adis2, question 3",Diagnosis 1,s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13","0, None | 1, Separation Anxiety Disorder | 2, Social Phobia | 3, Specific Phobia | 4, Panic Disorder | 5, Agoraphobia (With Panic Disorder) | 6, Agoraphobia (Without Panic Disorder) | 7, Generalized Anxiety Disorder | 8, Obsessive-Compulsive Disorder | 9, Posttraumatic Stress Disorder | 10, Major Depressive Disorder (Current) | 11, Major Depressive Disorder (Lifetime) | 12, Attention Deficit/Hyperactivity Disorder | 13, Oppositional Defiant Disorder",NA,1,NA,direct-redcap
adis2_ch_dx1_sp_s1_r1_e1,"adis2, question 4",Please specify:,s1_r1_e1,Text,NA,NA,NA,1,NA,direct-redcap
adis2_ch_dx1_ir_s1_r1_e1,"adis2, question 5",Interference Rating,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7, 8, 9","1, 0 | 2, 1 | 3, 2 | 4, 3 | 5, 4 | 6, 5 | 7, 6 | 8, 7 | 9, 8",NA,1,NA,direct-redcap
adis2_ch_dx2_lb_s1_r1_e1,"adis2, question 6",Diagnosis 2,s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13","0, None | 1, Separation Anxiety Disorder | 2, Social Phobia | 3, Specific Phobia | 4, Panic Disorder | 5, Agoraphobia (With Panic Disorder) | 6, Agoraphobia (Without Panic Disorder) | 7, Generalized Anxiety Disorder | 8, Obsessive-Compulsive Disorder | 9, Posttraumatic Stress Disorder | 10, Major Depressive Disorder (Current) | 11, Major Depressive Disorder (Lifetime) | 12, Attention Deficit/Hyperactivity Disorder | 13, Oppositional Defiant Disorder",NA,1,NA,direct-redcap
adis2_ch_dx2_sp_s1_r1_e1,"adis2, question 7",Please specify:,s1_r1_e1,Text,NA,NA,NA,1,NA,direct-redcap
adis2_ch_dx2_ir_s1_r1_e1,"adis2, question 8",Interference Rating,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7, 8, 9","1, 0 | 2, 1 | 3, 2 | 4, 3 | 5, 4 | 6, 5 | 7, 6 | 8, 7 | 9, 8",NA,1,NA,direct-redcap
adis2_ch_dx3_lb_s1_r1_e1,"adis2, question 9",Diagnosis 3,s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13","0, None | 1, Separation Anxiety Disorder | 2, Social Phobia | 3, Specific Phobia | 4, Panic Disorder | 5, Agoraphobia (With Panic Disorder) | 6, Agoraphobia (Without Panic Disorder) | 7, Generalized Anxiety Disorder | 8, Obsessive-Compulsive Disorder | 9, Posttraumatic Stress Disorder | 10, Major Depressive Disorder (Current) | 11, Major Depressive Disorder (Lifetime) | 12, Attention Deficit/Hyperactivity Disorder | 13, Oppositional Defiant Disorder",NA,1,NA,direct-redcap
adis2_ch_dx3_sp_s1_r1_e1,"adis2, question 10",Please specify:,s1_r1_e1,Text,NA,NA,NA,1,NA,direct-redcap
