variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
adis_ch_dx1_lb_s1_r1_e1,"adis, question 1",Diagnosis 1,s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13","0, None | 1, Separation Anxiety Disorder | 2, Social Phobia | 3, Specific Phobia | 4, Panic Disorder | 5, Agoraphobia (With Panic Disorder) | 6, Agoraphobia (Without Panic Disorder) | 7, Generalized Anxiety Disorder | 8, Obsessive-Compulsive Disorder | 9, Posttraumatic Stress Disorder | 10, Major Depressive Disorder (Current) | 11, Major Depressive Disorder (Lifetime) | 12, Attention Deficit/Hyperactivity Disorder | 13, Oppositional Defiant Disorder",NA,1,NA,direct-redcap
adis_ch_dx1_sp_s1_r1_e1,"adis, question 2",Please specify:,s1_r1_e1,Text,NA,NA,NA,1,NA,direct-redcap
adis_ch_dx1_ir_s1_r1_e1,"adis, question 3",Interference Rating,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7, 8, 9","1, 0 | 2, 1 | 3, 2 | 4, 3 | 5, 4 | 6, 5 | 7, 6 | 8, 7 | 9, 8",NA,1,NA,direct-redcap
adis_ch_dx2_lb_s1_r1_e1,"adis, question 4",Diagnosis 2,s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13","0, None | 1, Separation Anxiety Disorder | 2, Social Phobia | 3, Specific Phobia | 4, Panic Disorder | 5, Agoraphobia (With Panic Disorder) | 6, Agoraphobia (Without Panic Disorder) | 7, Generalized Anxiety Disorder | 8, Obsessive-Compulsive Disorder | 9, Posttraumatic Stress Disorder | 10, Major Depressive Disorder (Current) | 11, Major Depressive Disorder (Lifetime) | 12, Attention Deficit/Hyperactivity Disorder | 13, Oppositional Defiant Disorder",NA,1,NA,direct-redcap
adis_ch_dx2_sp_s1_r1_e1,"adis, question 5",Please specify:,s1_r1_e1,Text,NA,NA,NA,1,NA,direct-redcap
adis_ch_dx2_ir_s1_r1_e1,"adis, question 6",Interference Rating,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7, 8, 9","1, 0 | 2, 1 | 3, 2 | 4, 3 | 5, 4 | 6, 5 | 7, 6 | 8, 7 | 9, 8",NA,1,NA,direct-redcap
adis_ch_dx3_lb_s1_r1_e1,"adis, question 7",Diagnosis 3,s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13","0, None | 1, Separation Anxiety Disorder | 2, Social Phobia | 3, Specific Phobia | 4, Panic Disorder | 5, Agoraphobia (With Panic Disorder) | 6, Agoraphobia (Without Panic Disorder) | 7, Generalized Anxiety Disorder | 8, Obsessive-Compulsive Disorder | 9, Posttraumatic Stress Disorder | 10, Major Depressive Disorder (Current) | 11, Major Depressive Disorder (Lifetime) | 12, Attention Deficit/Hyperactivity Disorder | 13, Oppositional Defiant Disorder",NA,1,NA,direct-redcap
adis_ch_dx3_sp_s1_r1_e1,"adis, question 8",Please specify:,s1_r1_e1,Text,NA,NA,NA,1,NA,direct-redcap
adis_ch_dx3_ir_s1_r1_e1,"adis, question 9",Interference Rating,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7, 8, 9","1, 0 | 2, 1 | 3, 2 | 4, 3 | 5, 4 | 6, 5 | 7, 6 | 8, 7 | 9, 8",NA,1,NA,direct-redcap
adis_ch_dx4_lb_s1_r1_e1,"adis, question 10",Diagnosis 4,s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13","0, None | 1, Separation Anxiety Disorder | 2, Social Phobia | 3, Specific Phobia | 4, Panic Disorder | 5, Agoraphobia (With Panic Disorder) | 6, Agoraphobia (Without Panic Disorder) | 7, Generalized Anxiety Disorder | 8, Obsessive-Compulsive Disorder | 9, Posttraumatic Stress Disorder | 10, Major Depressive Disorder (Current) | 11, Major Depressive Disorder (Lifetime) | 12, Attention Deficit/Hyperactivity Disorder | 13, Oppositional Defiant Disorder",NA,1,NA,direct-redcap
