variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
ambirmbi_i1,"AMBI, question 1",Do you tend to become vigilant and wary of your surroundings?,s1_r1_e1,Integer,"0, 1, 2","2, Yes / Most of the time | 1, Some of the time | 0, No / Hardly ever",NA,1,NA,direct-redcap
ambirmbi_i2,"AMBI, question 2",Do you feel awkward when you are approached by someone new?,s1_r1_e1,Integer,"0, 1, 2","2, Yes / Most of the time | 1, Some of the time | 0, No / Hardly ever",NA,1,NA,direct-redcap
ambirmbi_i3,"AMBI, question 3",Do you tend to become quiet?,s1_r1_e1,Integer,"0, 1, 2","2, Yes / Most of the time | 1, Some of the time | 0, No / Hardly ever",NA,1,NA,direct-redcap
ambirmbi_i4,"AMBI, question 4",Do you tend to approach people whom you don't know and talk to them?,s1_r1_e1,Integer,"0, 1, 2","2, Yes / Most of the time | 1, Some of the time | 0, No / Hardly ever",NA,1,NA,direct-redcap
ambirmbi_i5,"AMBI, question 5","Do you tend to spend time observing strangers from a distance first, before being able to mix in?",s1_r1_e1,Integer,"0, 1, 2","2, Yes / Most of the time | 1, Some of the time | 0, No / Hardly ever",NA,1,NA,direct-redcap
ambirmbi_i6,"AMBI, question 6",Do you tend to be chatty in conversation when you are speaking to someone new?,s1_r1_e1,Integer,"0, 1, 2","2, Yes / Most of the time | 1, Some of the time | 0, No / Hardly ever",NA,1,NA,direct-redcap
ambirmbi_i7,"AMBI, question 7",Are you likely to spend most of your time next to a person whom you know well?,s1_r1_e1,Integer,"0, 1, 2","2, Yes / Most of the time | 1, Some of the time | 0, No / Hardly ever",NA,1,NA,direct-redcap
ambirmbi_i8,"AMBI, question 8","Do you tend to feel physically anxious (e.g. racing pulse, sweaty, butterflies)?",s1_r1_e1,Integer,"0, 1, 2","2, Yes / Most of the time | 1, Some of the time | 0, No / Hardly ever",NA,1,NA,direct-redcap
ambirmbi_i9,"AMBI, question 9",Do you tend to introduce yourself to new people?,s1_r1_e1,Integer,"0, 1, 2","2, Yes / Most of the time | 1, Some of the time | 0, No / Hardly ever",NA,1,NA,direct-redcap
ambirmbi_i10,"AMBI, question 10",Do you tend to keep a fair distance away from strangers?,s1_r1_e1,Integer,"0, 1, 2","2, Yes / Most of the time | 1, Some of the time | 0, No / Hardly ever",NA,1,NA,direct-redcap
ambirmbi_i11,"AMBI, question 11",Do you tend to withdraw and retreat from those around you?,s1_r1_e1,Integer,"0, 1, 2","2, Yes / Most of the time | 1, Some of the time | 0, No / Hardly ever",NA,1,NA,direct-redcap
ambirmbi_i12,"AMBI, question 12",Do you prefer your own company over the company of others?,s1_r1_e1,Integer,"0, 1, 2","2, Yes / Most of the time | 1, Some of the time | 0, No / Hardly ever",NA,1,NA,direct-redcap
ambirmbi_i13,"AMBI, question 13",Do you usually enjoy going to social events with large crowds of people?,s1_r1_e1,Integer,"0, 1, 2","2, Yes / Most of the time | 1, Some of the time | 0, No / Hardly ever",NA,1,NA,direct-redcap
ambirmbi_i14,"AMBI, question 14",Would you tend to choose solitary leisure activities over spending time with close friends?,s1_r1_e1,Integer,"0, 1, 2","2, Yes / Most of the time | 1, Some of the time | 0, No / Hardly ever",NA,1,NA,direct-redcap
ambirmbi_i15,"AMBI, question 15",Do you prefer to be surrounded by lively activity rather than a quiet gathering?,s1_r1_e1,Integer,"0, 1, 2","2, Yes / Most of the time | 1, Some of the time | 0, No / Hardly ever",NA,1,NA,direct-redcap
ambirmbi_i16,"AMBI, question 16","If physically able, would you enjoy adventure holidays with some element of risk?",s1_r1_e1,Integer,"0, 1, 2","2, Yes / Most of the time | 1, Some of the time | 0, No / Hardly ever",NA,1,NA,direct-redcap
ambirmbi_i17,"RMBI, question 1","When unfamiliar visitors came to your home, would you hide or leave the room?",s1_r1_e1,Integer,"0, 1, 2","2, Yes / Most of the time | 1, Some of the time | 0, No / Hardly ever | 00, Do not really remember at all",NA,1,NA,direct-redcap
ambirmbi_i18,"RMBI, question 2","At school, did you tend to stand back and watch other children play?",s1_r1_e1,Integer,"0, 1, 2","2, Yes / Most of the time | 1, Some of the time | 0, No / Hardly ever | 00, Do not really remember at all",NA,1,NA,direct-redcap
ambirmbi_i19,"RMBI, question 3",Were you reluctant to go to school on your first day or the first day after holidays?,s1_r1_e1,Integer,"0, 1, 2","2, Yes / Most of the time | 1, Some of the time | 0, No / Hardly ever | 00, Do not really remember at all",NA,1,NA,direct-redcap
ambirmbi_i20,"RMBI, question 4",Did you prefer parties with crowds of children rather than small gatherings?,s1_r1_e1,Integer,"0, 1, 2","2, Yes / Most of the time | 1, Some of the time | 0, No / Hardly ever | 00, Do not really remember at all",NA,1,NA,direct-redcap
