variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
ats_i1,"ATS, question 1","Compared to other people, I expect a lot from myself.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, I agree a lot | 2, I agree a little | 3, I'm in the middle--I neither agree nor disagree | 4, I disagree a little | 5, I disagree a lot",NA,1,NA,direct-redcap
ats_i2,"ATS, question 2",When even one thing goes wrong I begin to wonder if I can do well at anything at all.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, I agree a lot | 2, I agree a little | 3, I'm in the middle--I neither agree nor disagree | 4, I disagree a little | 5, I disagree a lot",NA,1,NA,direct-redcap
ats_i3,"ATS, question 3",I get angry with myself if my efforts don't lead to the results I wanted.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, I agree a lot | 2, I agree a little | 3, I'm in the middle--I neither agree nor disagree | 4, I disagree a little | 5, I disagree a lot",NA,1,NA,direct-redcap
ats_i4,"ATS, question 4","When it comes to setting standards for my behavior, I aim higher than most people.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, I agree a lot | 2, I agree a little | 3, I'm in the middle--I neither agree nor disagree | 4, I disagree a little | 5, I disagree a lot",NA,1,NA,direct-redcap
ats_i5,"ATS, question 5",I hardly ever let unhappiness over one bad time influence my feelings about other parts of my life.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, I agree a lot | 2, I agree a little | 3, I'm in the middle--I neither agree nor disagree | 4, I disagree a little | 5, I disagree a lot",NA,1,NA,direct-redcap
ats_i6,"ATS, question 6","When I don't do as well as I hoped to, I often get upset with myself.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, I agree a lot | 2, I agree a little | 3, I'm in the middle--I neither agree nor disagree | 4, I disagree a little | 5, I disagree a lot",NA,1,NA,direct-redcap
ats_i7,"ATS, question 7",I set higher goals for myself than other people seem to.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, I agree a lot | 2, I agree a little | 3, I'm in the middle--I neither agree nor disagree | 4, I disagree a little | 5, I disagree a lot",NA,1,NA,direct-redcap
ats_i8,"ATS, question 8","If I notice one fault of mine, it makes me think about my other faults.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, I agree a lot | 2, I agree a little | 3, I'm in the middle--I neither agree nor disagree | 4, I disagree a little | 5, I disagree a lot",NA,1,NA,direct-redcap
ats_i9,"ATS, question 9",I get unhappy with anything less than what I expected of myself.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, I agree a lot | 2, I agree a little | 3, I'm in the middle--I neither agree nor disagree | 4, I disagree a little | 5, I disagree a lot",NA,1,NA,direct-redcap
ats_i10,"ATS, question 10",A single failure can change me from feeling OK to seeing only the bad in myself.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, I agree a lot | 2, I agree a little | 3, I'm in the middle--I neither agree nor disagree | 4, I disagree a little | 5, I disagree a lot",NA,1,NA,direct-redcap
ats_scrdTotal,ATS total score,"sum of ats items 1*, 2*, 3*, 4*, 5, 6*, 7*, 8*, 9*, and 10* after asterisked items are reversed (NA if ats_percTotal < 1)",s1_r1_e1,Integer,"[10,50]",NA,NA,1,NA,code-instruments
ats_scrdStd,ATS high standards subscore,"sum of ats items 1*, 4*, and 7* after asterisked items are reversed (NA if ats_percStd < 1)",s1_r1_e1,Integer,"[10,50]",NA,NA,1,NA,code-instruments
ats_scrdGen,ATS generalization subscore,"sum of ats items 2*, 5, 8*, and 10* after asterisked items are reversed (NA if ats_percGen < 1)",s1_r1_e1,Integer,"[10,50]",NA,NA,1,NA,code-instruments
ats_scrdCrit,ATS self-criticism subscore,"sum of ats items 3*, 6*, and 9* after asterisked items are reversed (NA if ats_percCrit < 1)",s1_r1_e1,Integer,"[10,50]",NA,NA,1,NA,code-instruments
ats_percTotal,ATS total percentage response,percentage of response for all ats items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
ats_percStd,ATS high standards percentage response,percentage of response for ats high standards items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
ats_percGen,ATS generalization percentage response,percentage of response for ats generalization items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
ats_percCrit,ATS self-criticism percentage response,percentage of response for ats self-criticism items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
