variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
baars4_i1,"BAARS4, question 1",Fail to give close attention to details or make careless mistakes in my work or other activities,s1_r1_e1,Integer,"1, 2, 3, 4","1, Never or rarely (1) | 2, Sometimes (2) | 3, Often (3) | 4, Very often (4)",NA,1,NA,direct-redcap
baars4_i2,"BAARS4, question 2",Difficulty sustaining my attention in tasks or fun activities,s1_r1_e1,Integer,"1, 2, 3, 4","1, Never or rarely (1) | 2, Sometimes (2) | 3, Often (3) | 4, Very often (4)",NA,1,NA,direct-redcap
baars4_i3,"BAARS4, question 3",Don't listen when spoken to directly,s1_r1_e1,Integer,"1, 2, 3, 4","1, Never or rarely (1) | 2, Sometimes (2) | 3, Often (3) | 4, Very often (4)",NA,1,NA,direct-redcap
baars4_i4,"BAARS4, question 4",Don't follow through on instructions and fail to finish work or chores.,s1_r1_e1,Integer,"1, 2, 3, 4","1, Never or rarely (1) | 2, Sometimes (2) | 3, Often (3) | 4, Very often (4)",NA,1,NA,direct-redcap
baars4_i5,"BAARS4, question 5",Have difficulty organizing tasks and activities,s1_r1_e1,Integer,"1, 2, 3, 4","1, Never or rarely (1) | 2, Sometimes (2) | 3, Often (3) | 4, Very often (4)",NA,1,NA,direct-redcap
baars4_i6,"BAARS4, question 6","Avoid, dislike, or am reluctant to engage in tasks that require sustained mental effort",s1_r1_e1,Integer,"1, 2, 3, 4","1, Never or rarely (1) | 2, Sometimes (2) | 3, Often (3) | 4, Very often (4)",NA,1,NA,direct-redcap
baars4_i7,"BAARS4, question 7",Lose things necessary for tasks or activities,s1_r1_e1,Integer,"1, 2, 3, 4","1, Never or rarely (1) | 2, Sometimes (2) | 3, Often (3) | 4, Very often (4)",NA,1,NA,direct-redcap
baars4_i8,"BAARS4, question 8",Easily distracted by extraneous stimuli or irrelevant thoughts.,s1_r1_e1,Integer,"1, 2, 3, 4","1, Never or rarely (1) | 2, Sometimes (2) | 3, Often (3) | 4, Very often (4)",NA,1,NA,direct-redcap
baars4_i9,"BAARS4, question 9",Forgetful in daily activities,s1_r1_e1,Integer,"1, 2, 3, 4","1, Never or rarely (1) | 2, Sometimes (2) | 3, Often (3) | 4, Very often (4)",NA,1,NA,direct-redcap
baars4_i10,"BAARS4, question 10",Fidget with hands or feet or squirm in seat,s1_r1_e1,Integer,"1, 2, 3, 4","1, Never or rarely (1) | 2, Sometimes (2) | 3, Often (3) | 4, Very often (4)",NA,1,NA,direct-redcap
