variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
bfne_i1,"BFNE, question 1",1. I worry about what other people will think of me even when when I know it doesn't make any difference.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
bfne_i2,"BFNE, question 2",2. It bothers me when people form an unfavorable impression of me.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
bfne_i3,"BFNE, question 3",3. I am frequently afraid of other people noticing my shortcomings.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
bfne_i4,"BFNE, question 4",4. I worry about what kind of impression I make on people.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
bfne_i5,"BFNE, question 5",5. I am afraid that others will not approve of me.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
bfne_i6,"BFNE, question 6",6. I am afraid that other people will find fault with me.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
bfne_i7,"BFNE, question 7",7. I am concerned about other people's opinions of me.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
bfne_i8,"BFNE, question 8","8. When I am talking to someone, I worry about what they may be thinking about me.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
bfne_i9,"BFNE, question 9",9. I am usually worried about what kind of impression I make.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
bfne_i10,"BFNE, question 10","10. If I know someone is judging me, it tends to bother me.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
bfne_i11,"BFNE, question 11",11. Sometimes I think I am too concerned with what other people think of me.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
bfne_i12,"BFNE, question 12",12. I often worry that I will say or do wrong things.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
bfne_scrdTotal,BFNE total score,sum of all bfne items (NA if bfne_percTotal < 1),s1_r1_e1,Integer,"[12,60]",NA,NA,1,NA,code-instruments
bfne_percTotal,BFNE percentage response,percentage of response for bfne items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
