variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
bfnep_b_i11,"BFNE (version b), question 1",1. My child worries about what other people will think of them even when they know it doesn't make any difference.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of my child | 2, A little characteristic of my child | 3, Somewhat characteristic of my child | 4, Very characteristic of my child | 5, Entirely characteristic of my child",NA,1,NA,direct-redcap
bfnep_b_i21,"BFNE (version b), question 2",2. It bothers my child when people form an unfavorable impression of them.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of my child | 2, A little characteristic of my child | 3, Somewhat characteristic of my child | 4, Very characteristic of my child | 5, Entirely characteristic of my child",NA,1,NA,direct-redcap
bfnep_b_i31,"BFNE (version b), question 3",3. My child is frequently afraid of other people noticing their shortcomings.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of my child | 2, A little characteristic of my child | 3, Somewhat characteristic of my child | 4, Very characteristic of my child | 5, Entirely characteristic of my child",NA,1,NA,direct-redcap
bfnep_b_i41,"BFNE (version b), question 4",4. My child worries about what kind of impression they make on people.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of my child | 2, A little characteristic of my child | 3, Somewhat characteristic of my child | 4, Very characteristic of my child | 5, Entirely characteristic of my child",NA,1,NA,direct-redcap
bfnep_b_i51,"BFNE (version b), question 5",5. My child is afraid that others will not approve of them.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of my child | 2, A little characteristic of my child | 3, Somewhat characteristic of my child | 4, Very characteristic of my child | 5, Entirely characteristic of my child",NA,1,NA,direct-redcap
bfnep_b_i61,"BFNE (version b), question 6",6. My child is afraid that other people will find fault with them.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of my child | 2, A little characteristic of my child | 3, Somewhat characteristic of my child | 4, Very characteristic of my child | 5, Entirely characteristic of my child",NA,1,NA,direct-redcap
bfnep_b_i71,"BFNE (version b), question 7",7. My child is concerned about other people's opinions of them.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of my child | 2, A little characteristic of my child | 3, Somewhat characteristic of my child | 4, Very characteristic of my child | 5, Entirely characteristic of my child",NA,1,NA,direct-redcap
bfnep_b_i81,"BFNE (version b), question 8","8. When my child is talking to someone, they worry about what this person may be thinking about them.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of my child | 2, A little characteristic of my child | 3, Somewhat characteristic of my child | 4, Very characteristic of my child | 5, Entirely characteristic of my child",NA,1,NA,direct-redcap
bfnep_b_i91,"BFNE (version b), question 9",9. My child is usually worried about what kind of impression they make.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of my child | 2, A little characteristic of my child | 3, Somewhat characteristic of my child | 4, Very characteristic of my child | 5, Entirely characteristic of my child",NA,1,NA,direct-redcap
bfnep_b_i101,"BFNE (version b), question 10","10. If my child knows someone is judging them, it tends to bother them.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of my child | 2, A little characteristic of my child | 3, Somewhat characteristic of my child | 4, Very characteristic of my child | 5, Entirely characteristic of my child",NA,1,NA,direct-redcap
bfnep_b_i111,"BFNE (version b), question 11",11. Sometimes my child thinks they are too concerned with what other people think of them.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of my child | 2, A little characteristic of my child | 3, Somewhat characteristic of my child | 4, Very characteristic of my child | 5, Entirely characteristic of my child",NA,1,NA,direct-redcap
bfnep_b_i121,"BFNE (version b), question 12",12. My child often worries that they will say or do wrong things.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of my child | 2, A little characteristic of my child | 3, Somewhat characteristic of my child | 4, Very characteristic of my child | 5, Entirely characteristic of my child",NA,1,NA,direct-redcap
bfnep_b_scrdTotal,"BFNE (parent, version b) total score",sum of all bfnep_b items (NA if bfnep_b_percTotal < 1),s1_r1_e1,Integer,"[12,60]",NA,NA,1,NA,code-instruments
bfnep_b_percTotal,"BFNE (parent, version b) percentage response",percentage of response for bfnep_b items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
