measure,english,draft_esla,revised_esla,esla_for_backtrans,backtranslated_esla,reconciled_esla,final_esla
BFNE-P,Brief Fear of Negative Evaluation-II (Parent Report),La Escala de Miedo a la Evaluación Negativa Versión Breve,Escala Breve de Miedo a la Evaluación Negativa (Reporte Para Los Padres),Escala Breve de Miedo a la Evaluación Negativa (Reporte Para Los Padres),Brief Fear of Negative Evaluation Scale (Report for Parents),"FORWARD: Missing ""II"".",Escala Breve de Miedo a la Evaluación Negativa-II (Reporte Para Los Padres)
BFNE-P,Please select the option that best corresponds to how much you agree with each item.,Seleccione la opción que mejor se corresponda con su grado de acuerdo con cada elemento.,Por favor seleccione la opción que mejor corresponda a cuanto tu estas de acuerdo con cada artículo ,Por favor seleccione la opción que mejor corresponda a cuanto tu estas de acuerdo con cada artículo ,Please select the option that best corresponds to how much you agree with each item,,Por favor seleccione la opción que mejor corresponda a cuanto tu estas de acuerdo con cada artículo.
BFNE-P,Not at all characteristic of my child,No caracteriza a mi hijo/a nada,No es característico de mi hijo/a en absoluto ,No es característico de mi hijo/a en absoluto ,Not at all characteristic of my son/daughter,,No es característico de mi hijo/a en absoluto 
BFNE-P,A little characteristic of my child,Caracteriza un poco a mi hijo/a,N/A,Caracteriza un poco a mi hijo/a,Slightly characteristic of my son/daughter,,Caracteriza un poco a mi hijo/a
BFNE-P,Somewhat characteristic of my child,Caracteriza algo a mi hijo/a,Caracteriza en algo a mi hijo/a,Caracteriza en algo a mi hijo/a,Characteristic of my son/daughter,"BACK: Missing ""somewhat"". --back translation error, Spanish ""en algo"" differentiates from ""un poco"" and ""mucho""",Caracteriza en algo a mi hijo/a
BFNE-P,Very characteristic of my child,Caracteriza mucho a mi hijo/a,Muy característico de mi hijo/a,Muy característico de mi hijo/a,Very characteristic of my son/daughter,,Muy característico de mi hijo/a
BFNE-P,Entirely characteristic of my child,Caracteriza completamente a mi hijo/a,N/A,Caracteriza completamente a mi hijo/a,Completely characterizes my son/daughter,,Caracteriza completamente a mi hijo/a
BFNE-P,My child worries about what other people will think of them even when they know it doesn’t make any difference.," Mi hijo/a se preocupa por lo que otras personas pensarán de él/ella, incluso cuando sabe que no hace ninguna diferencia.",N/A,"Mi hijo/a se preocupa por lo que otras personas pensarán de él/ella, incluso cuando sabe que no hace ninguna diferencia.","My son/daughter worries about what other people think of him/her, even when they know it doesn't many any difference","BACK: should ""many"" be ""make""? -- confirmed","Mi hijo/a se preocupa por lo que otras personas pensarán de él/ella, incluso cuando sabe que no hace ninguna diferencia."
BFNE-P,It bothers my child when people form an unfavorable impression of them.,A mi hijo/a le molesta que la gente forme una impresión desfavorable de él., A mi hijo/a le molesta cuando la gente crea una impresión desfavorable de él/ella.,A mi hijo/a le molesta cuando la gente crea una impresión desfavorable de él/ella.,My son/daughter is bothered when people have an unfavorable impression of him/her,,A mi hijo/a le molesta cuando la gente crea una impresión desfavorable de él/ella.
BFNE-P,My child is frequently afraid of other people noticing their shortcomings.,Mi hijo/a con frecuencia tiene miedo de que otras personas se den cuenta de sus deficiencias.,N/A,Mi hijo/a con frecuencia tiene miedo de que otras personas se den cuenta de sus deficiencias.,My son/daughter is frequently afraid of other people noticing their deficiencies,"FORWARD: Check connotations on ""deficiencias"" versus ""shortcomings."" --confirmed as ok",Mi hijo/a con frecuencia tiene miedo de que otras personas se den cuenta de sus deficiencias.
