variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
bfnepes_b_i1,"BFNE (parent, version b, Spanish), question 1","Mi hijo/a se preocupa por lo que otras personas pensarán de él/ella, incluso cuando sabe que no hace ninguna diferencia.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, No es característico de mi hijo/a en absoluto | 2, Caracteriza un poco a mi hijo/a | 3, Caracteriza en algo a mi hijo/a | 4, Muy característico de mi hijo/a | 5, Caracteriza completamente a mi hijo/a",NA,1,NA,direct-redcap
bfnepes_b_i2,"BFNE (parent, version b, Spanish), question 2",A mi hijo/a le molesta cuando la gente crea una impresión desfavorable de él/ella.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, No es característico de mi hijo/a en absoluto | 2, Caracteriza un poco a mi hijo/a | 3, Caracteriza en algo a mi hijo/a | 4, Muy característico de mi hijo/a | 5, Caracteriza completamente a mi hijo/a",NA,1,NA,direct-redcap
bfnepes_b_i3,"BFNE (parent, version b, Spanish), question 3",Mi hijo/a con frecuencia tiene miedo de que otras personas se den cuenta de sus deficiencias.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, No es característico de mi hijo/a en absoluto | 2, Caracteriza un poco a mi hijo/a | 3, Caracteriza en algo a mi hijo/a | 4, Muy característico de mi hijo/a | 5, Caracteriza completamente a mi hijo/a",NA,1,NA,direct-redcap
bfnepes_b_i4,"BFNE (parent, version b, Spanish), question 4",Mi hijo/a se preocupa por la clase de impresión que causa en las personas.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, No es característico de mi hijo/a en absoluto | 2, Caracteriza un poco a mi hijo/a | 3, Caracteriza en algo a mi hijo/a | 4, Muy característico de mi hijo/a | 5, Caracteriza completamente a mi hijo/a",NA,1,NA,direct-redcap
bfnepes_b_i5,"BFNE (parent, version b, Spanish), question 5",Mi hijo/a tiene miedo de que los demás no lo aprueben.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, No es característico de mi hijo/a en absoluto | 2, Caracteriza un poco a mi hijo/a | 3, Caracteriza en algo a mi hijo/a | 4, Muy característico de mi hijo/a | 5, Caracteriza completamente a mi hijo/a",NA,1,NA,direct-redcap
bfnepes_b_i6,"BFNE (parent, version b, Spanish), question 6",Mi hijo/a tiene miedo de que otras personas le encuentren defectos.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, No es característico de mi hijo/a en absoluto | 2, Caracteriza un poco a mi hijo/a | 3, Caracteriza en algo a mi hijo/a | 4, Muy característico de mi hijo/a | 5, Caracteriza completamente a mi hijo/a",NA,1,NA,direct-redcap
bfnepes_b_i7,"BFNE (parent, version b, Spanish), question 7",A mi hijo/a le preocupa la opinión de los demás sobre él/ella.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, No es característico de mi hijo/a en absoluto | 2, Caracteriza un poco a mi hijo/a | 3, Caracteriza en algo a mi hijo/a | 4, Muy característico de mi hijo/a | 5, Caracteriza completamente a mi hijo/a",NA,1,NA,direct-redcap
bfnepes_b_i8,"BFNE (parent, version b, Spanish), question 8","Cuando mi hijo/a está hablando con alguien, se preocupa por lo que esa persona pueda estar pensando sobre él/ella.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, No es característico de mi hijo/a en absoluto | 2, Caracteriza un poco a mi hijo/a | 3, Caracteriza en algo a mi hijo/a | 4, Muy característico de mi hijo/a | 5, Caracteriza completamente a mi hijo/a",NA,1,NA,direct-redcap
bfnepes_b_i9,"BFNE (parent, version b, Spanish), question 9",Mi hijo/a usualmente se preocupa por el tipo de impresión que causa.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, No es característico de mi hijo/a en absoluto | 2, Caracteriza un poco a mi hijo/a | 3, Caracteriza en algo a mi hijo/a | 4, Muy característico de mi hijo/a | 5, Caracteriza completamente a mi hijo/a",NA,1,NA,direct-redcap
bfnepes_b_i10,"BFNE (parent, version b, Spanish), question 10","Si mi hijo/a sabe que alguien lo está juzgando, tiende a molestarlo/a.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, No es característico de mi hijo/a en absoluto | 2, Caracteriza un poco a mi hijo/a | 3, Caracteriza en algo a mi hijo/a | 4, Muy característico de mi hijo/a | 5, Caracteriza completamente a mi hijo/a",NA,1,NA,direct-redcap
bfnepes_b_i11,"BFNE (parent, version b, Spanish), question 11","A veces, mi hijo/a piensa que está demasiado preocupado por lo que otras personas piensan de él/ella.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, No es característico de mi hijo/a en absoluto | 2, Caracteriza un poco a mi hijo/a | 3, Caracteriza en algo a mi hijo/a | 4, Muy característico de mi hijo/a | 5, Caracteriza completamente a mi hijo/a",NA,1,NA,direct-redcap
bfnepes_b_i12,"BFNE (parent, version b, Spanish), question 12",Mi hijo/a se preocupa de que diga o haga las cosas incorrectas.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, No es característico de mi hijo/a en absoluto | 2, Caracteriza un poco a mi hijo/a | 3, Caracteriza en algo a mi hijo/a | 4, Muy característico de mi hijo/a | 5, Caracteriza completamente a mi hijo/a",NA,1,NA,direct-redcap
bfnepes_b_scrdTotal,"BFNE (parent, version b, Spanish) total score",sum of all bfnepes_b items (NA if bfnepes_b_percTotal < 1),s1_r1_e1,Integer,"[12,60]",NA,NA,1,NA,code-instruments
bfnepes_b_percTotal,"BFNE (parent, version b, Spanish) percentage response",percentage of response for bfnepes_b items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
