measure,english,eseu,draft_esla,revised_esla,final_esla
BFNE,Brief Fear Of Negative Evaluation,La Escala de Miedo a la Evaluación Negativa versión breve,Escala de Miedo a la Evaluación Negativa versión breve,N/A,Escala de Miedo a la Evaluación Negativa versión breve
BFNE,Please select the option that best corresponds to how much you agree with each item.,,Por favor seleccione la opción que mejor corresponda a qué tan de acuerdo está usted con cada afirmación.,N/A,Por favor seleccione la opción que mejor corresponda a qué tan de acuerdo está usted con cada afirmación.
BFNE,"1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",,"1, Para nada característico de mí | 2, Un poco característico de mí | 3, Moderadamente característico de mí | 4, Muy característico de mí | 5, Totalemente característico de mí",N/A,"1, Para nada característico de mí | 2, Un poco característico de mí | 3, Moderadamente característico de mí | 4, Muy característico de mí | 5, Totalemente característico de mí"
BFNE,I worry about what other people will think of me even when when I know it doesn't make any difference,"Me preocupa lo que la gente pensará de mí, incluso cuando sé que no tiene importancia.","Me preocupa lo que la gente pensará de mí, incluso cuando sé que no tiene importancia.","Me preocupa lo que otras personas pensarán de mí, incluso cuando sé que no hace ninguna diferencia.","Me preocupa lo que otras personas pensarán de mí, incluso cuando sé que no hace ninguna diferencia."
BFNE,It bothers me when people form an unfavorable impression of me,No me preocupo incluso cuando sé que la gente se está formando una impresión desfavorable de mí.,Me molesta cuando otras personas forman una impresión negativa de mí.,N/A,Me molesta cuando otras personas forman una impresión negativa de mí.
BFNE,I am frequently afraid of other people noticing my shortcomings,Frecuentemente temo que otras personas se den cuenta de mis limitaciones.,Frecuentemente temo que otras personas se den cuenta de mis limitaciones.,N/A,Frecuentemente temo que otras personas se den cuenta de mis limitaciones.
BFNE,I worry about what kind of impression I make on people,Raramente me preocupo de la impresión que estoy causando en los demás.,Me preocupa el tipo de impresión que causo en las personas,N/A,Me preocupa el tipo de impresión que causo en las personas.
BFNE,I am afraid that others will not approve of me,Temo que los demás no me aprueben.,Temo que los demás no me aprueben.,Tengo miedo de que los demás no aprueben de mi.,Tengo miedo de que los demás no aprueben de mi.
BFNE,I am afraid that other people will find fault with me,Me da miedo que la gente descubra mis defectos.,Me da miedo que la gente descubra mis defectos.,N/A,Me da miedo que la gente descubra mis defectos.
BFNE,I am concerned about other people's opinions of me,Las opiniones de los demás sobre mí no me molestan.,Me preocupan las opiniones de otras personas sobre mí,N/A,Me preocupan las opiniones de otras personas sobre mí.
BFNE,"When I am talking to someone, I worry about what they may be thinking about me","Cuando estoy hablando con alguien me preocupa lo que pueda estar pensando
de mí.","Cuando estoy hablando con alguien me preocupa lo que pueda estar pensando
de mí.","Cuando hablo con alguien, me preocupa lo que puedan estar pensando de mí.","Cuando hablo con alguien, me preocupa lo que puedan estar pensando de mí."
BFNE,I am usually worried about what kind of impression I make,Generalmente me preocupo por la impresión que pueda causar.,Generalmente me preocupo por la impresión que pueda causar.,Normalmente estoy preocupado(a) por qué tipo de impresión hago,Normalmente estoy preocupado/a por qué tipo de impresión hago.
BFNE,"If I know someone is judging me, it tends to bother me","Si sé que alguien me está juzgando, eso tiene poco efecto sobre mí. ","Si sé que alguien me está juzgando, tiende a molestarme.",N/A,"Si sé que alguien me está juzgando, tiende a molestarme."
BFNE,Sometimes I think I am too concerned with what other people think of me,"A veces pienso que estoy demasiado preocupado por lo que otras personas
piensan de mí.","A veces pienso que estoy demasiado preocupado por lo que otras personas
piensan de mí.",N/A,"A veces pienso que estoy demasiado preocupado/a por lo que otras personas
piensan de mí."
BFNE,I often worry that I will say or do wrong things,A menudo me preocupa decir o hacer cosas equivocadas.,A menudo me preocupa decir o hacer cosas equivocadas.,N/A,A menudo me preocupa decir o hacer cosas equivocadas.
