variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
bstad_nicotine,Nicotine use in past year,"In the PAST YEAR, on how many days did you use nicotine or tobacco products (vape, smoke, chew, etc.)?",s1_r1_e1,Integer,"[0,365]",days,NA,1,NA,direct-redcap
bstad_alcohol,Alcohol use in past year,"In the PAST YEAR, on how many days did you have more than a few sips of beer, wine, or any drink containing alcohol?",s1_r1_e1,Integer,"[0,365]",days,NA,1,NA,direct-redcap
bstad_marijuana,Marijuana use in past year,"In the PAST YEAR, on how many days did you use marijuana (weed, blunts, hash, etc.)?",s1_r1_e1,Integer,"[0,365]",days,NA,1,NA,direct-redcap
bstad_meds,Medication abuse in past year,"In the PAST YEAR, which of the following medications have you used that were not prescribed for you OR which you took more of than you were supposed to take?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","1, Over-the-Counter Medications (e.g., Nyquil, Benadryl, cough medicine, sleeping pills, etc.) | 2, Prescription Stimulants (e.g., Adderall, Ritalin, etc.) | 3, Prescription Sedatives (e.g., Valium, Xanax, Klonopin, Ativan, etc.) | 4, Prescription Pain Relievers (e.g., morphine, Percocet, Vicodin, OxyContin, Dilaudid, Methadone, buprenorphine, etc.) | 0, None of the above",NA,1,NA,direct-redcap
bstad_otcdetail,"Medication abuse, OTC drugs: detail","In the PAST YEAR, on how many days did you use Over-the-Counter Medications (that were not prescribed for you OR which you took more than you were supposed to take)?",s1_r1_e1,Integer,"[0,365]",days,NA,1,NA,direct-redcap
bstad_stimudetail,"Medication abuse, stimulants: detail","In the PAST YEAR, on how many days did you use Prescription Stimulants (that were not prescribed for you OR which you took more than you were supposed to take)?",s1_r1_e1,Integer,"[0,365]",days,NA,1,NA,direct-redcap
bstad_sedatdetail,"Medication abuse, sedatives: detail","In the PAST YEAR, on how many days did you use Prescription Sedatives (that were not prescribed for you OR which you took more than you were supposed to take)?",s1_r1_e1,Integer,"[0,365]",days,NA,1,NA,direct-redcap
bstad_paindetail,"Medication abuse, pain relievers: detail","In the PAST YEAR, on how many days did you use Prescription Pain Relievers (that were not prescribed for you OR which you took more than you were supposed to take)?",s1_r1_e1,Integer,"[0,365]",days,NA,1,NA,direct-redcap
bstad_drugs,Drug use in past year,"In the PAST YEAR, which of the following substances have you used?",s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5","1, Hallucinogens (e.g., magic mushrooms, LSD, etc.) | 2, Inhalants (e.g., huffing gasoline, glue, nitrous oxide, etc.) | 3, Amphetamines (non-medication) | 4, Cocaine | 5, Other | 0, None of the above",NA,1,NA,direct-redcap
bstad_halludetail,"Drug use, hallucinogens: detail","In the PAST YEAR, on how many days did you use Hallucinogens?",s1_r1_e1,Integer,"[0,365]",days,NA,1,NA,direct-redcap
bstad_inhaldetail,"Drug use, inhalants: detail","In the PAST YEAR, on how many days did you use Inhalants?",s1_r1_e1,Integer,"[0,365]",days,NA,1,NA,direct-redcap
bstad_amphdetail,"Drug use, amphetamines: detail","In the PAST YEAR, on how many days did you use Amphetamines?",s1_r1_e1,Integer,"[0,365]",days,NA,1,NA,direct-redcap
bstad_cokedetail,"Drug use, cocaine: detail","In the PAST YEAR, on how many days did you use Cocaine?",s1_r1_e1,Integer,"[0,365]",days,NA,1,NA,direct-redcap
bstad_drugsoth,"Drug use, other: name","If other, please specify:",s1_r1_e1,Char,NA,name of alternate drug,NA,1,NA,direct-redcap
bstad_othdrgdet,"Drug use, other: detail","In the PAST YEAR, on how many days did you use ""[bstad_drugsoth_s1_r1_e1]""?",s1_r1_e1,Integer,"[0,365]",days,NA,1,NA,direct-redcap
