variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
cdi2p_i1,"CDI2, parent report, question 1",My child…Looks sad.,s1_r1_e1,Integer,"0, 1, 2, 3","0, Not at all | 1, Some of the time | 2, Often | 3, Much or most of the time",NA,1,NA,direct-redcap
cdi2p_i2,"CDI2, parent report, question 2",My child…Has fun.,s1_r1_e1,Integer,"0, 1, 2, 3","0, Not at all | 1, Some of the time | 2, Often | 3, Much or most of the time",NA,1,NA,direct-redcap
cdi2p_i3,"CDI2, parent report, question 3",My child…Does not like himself or herself.,s1_r1_e1,Integer,"0, 1, 2, 3","0, Not at all | 1, Some of the time | 2, Often | 3, Much or most of the time",NA,1,NA,direct-redcap
cdi2p_i4,"CDI2, parent report, question 4",My child…Blames himself or herself for things.,s1_r1_e1,Integer,"0, 1, 2, 3","0, Not at all | 1, Some of the time | 2, Often | 3, Much or most of the time",NA,1,NA,direct-redcap
cdi2p_i5,"CDI2, parent report, question 5",My child…Cries or looks tearful.,s1_r1_e1,Integer,"0, 1, 2, 3","0, Not at all | 1, Some of the time | 2, Often | 3, Much or most of the time",NA,1,NA,direct-redcap
cdi2p_i6,"CDI2, parent report, question 6",My child…Is cranky or irritable.,s1_r1_e1,Integer,"0, 1, 2, 3","0, Not at all | 1, Some of the time | 2, Often | 3, Much or most of the time",NA,1,NA,direct-redcap
cdi2p_i7,"CDI2, parent report, question 7",My child…Enjoys being with people.,s1_r1_e1,Integer,"0, 1, 2, 3","0, Not at all | 1, Some of the time | 2, Often | 3, Much or most of the time",NA,1,NA,direct-redcap
cdi2p_i8,"CDI2, parent report, question 8",My child…Thinks that he or she is ugly.,s1_r1_e1,Integer,"0, 1, 2, 3","0, Not at all | 1, Some of the time | 2, Often | 3, Much or most of the time",NA,1,NA,direct-redcap
cdi2p_i9,"CDI2, parent report, question 9",My child…Has to push himself or herself to do homework.,s1_r1_e1,Integer,"0, 1, 2, 3","0, Not at all | 1, Some of the time | 2, Often | 3, Much or most of the time",NA,1,NA,direct-redcap
cdi2p_i10,"CDI2, parent report, question 10",My child…Has trouble sleeping at night.,s1_r1_e1,Integer,"0, 1, 2, 3","0, Not at all | 1, Some of the time | 2, Often | 3, Much or most of the time",NA,1,NA,direct-redcap
cdi2p_i11,"CDI2, parent report, question 11",My child…Looks tired or fatigued.,s1_r1_e1,Integer,"0, 1, 2, 3","0, Not at all | 1, Some of the time | 2, Often | 3, Much or most of the time",NA,1,NA,direct-redcap
cdi2p_i12,"CDI2, parent report, question 12",My child…Seems lonely.,s1_r1_e1,Integer,"0, 1, 2, 3","0, Not at all | 1, Some of the time | 2, Often | 3, Much or most of the time",NA,1,NA,direct-redcap
cdi2p_i13,"CDI2, parent report, question 13",My child…Enjoys school.,s1_r1_e1,Integer,"0, 1, 2, 3","0, Not at all | 1, Some of the time | 2, Often | 3, Much or most of the time",NA,1,NA,direct-redcap
cdi2p_i14,"CDI2, parent report, question 14",My child…Spends time with friends.,s1_r1_e1,Integer,"0, 1, 2, 3","0, Not at all | 1, Some of the time | 2, Often | 3, Much or most of the time",NA,1,NA,direct-redcap
cdi2p_i15,"CDI2, parent report, question 15",My child…Is showing worse school performance than before.,s1_r1_e1,Integer,"0, 1, 2, 3","0, Not at all | 1, Some of the time | 2, Often | 3, Much or most of the time",NA,1,NA,direct-redcap
cdi2p_i16,"CDI2, parent report, question 16",My child…Does what he or she is told.,s1_r1_e1,Integer,"0, 1, 2, 3","0, Not at all | 1, Some of the time | 2, Often | 3, Much or most of the time",NA,1,NA,direct-redcap
cdi2p_i17,"CDI2, parent report, question 17",My child…Has disagreements and conflicts with others.,s1_r1_e1,Integer,"0, 1, 2, 3","0, Not at all | 1, Some of the time | 2, Often | 3, Much or most of the time",NA,1,NA,direct-redcap
cdi2p_scrdTotal,"CDI2, parent report, total score","sum of cdi2p items 1, 2*, 3, 4, 5, 6, 7*, 8, 9, 10, 11, 12, 13*, 14*, 15, 16*, 17 after asterisked items are reversed (NA if cdi2p_percTotal < 1)",s1_r1_e1,Integer,"[0,51]",NA,NA,1,NA,code-instruments
cdi2p_scrdEmo,"CDI2, parent report, emotional problems subscore","sum of cdi2p items 1, 3, 4, 5, 6, 8, 10, 11, and 12 (NA if cdi2p_percEmo < 1)",s1_r1_e1,Integer,"[0,27]",NA,NA,1,NA,code-instruments
cdi2p_scrdFun,"CDI2, parent report, functional problems subscore","sum of cdi2p items 2*, 7*, 9, 13*, 14*, 15, 16*, 17 after asterisked items are reversed (NA if cdi2p_percFun < 1)",s1_r1_e1,Integer,"[0,24]",NA,NA,1,NA,code-instruments
cdi2p_percTotal,"CDI2, parent report, total percentage response",percentage of response for all cdi2p items (NaN if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
cdi2p_percEmo,"CDI2, parent report, emotional problems percentage response",percentage of response for cdi2p emotional problems items (NaN if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
cdi2p_scrdFun,"CDI2, parent report, functional problems percentage response",percentage of response for cdi2p functional problems items (NaN if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
