variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
cdi2_i1,"CDI2, child self-report, question 1",Item 1,s1_r1_e1,Integer,"0, 1, 2","0, I am sad once in a while. | 1, I am sad many times. | 2, I am sad all the time.",NA,1,NA,direct-redcap
cdi2_i2,"CDI2, child self-report, question 2",Item 2,s1_r1_e1,Integer,"0, 1, 2","0, Nothing will ever work out for me. | 1, I am not sure if things will work out for me. | 2, Things will work out for me O.K.",NA,1,NA,direct-redcap
cdi2_i3,"CDI2, child self-report, question 3",Item 3,s1_r1_e1,Integer,"0, 1, 2","0, I do most things O.K. | 1, I do many things wrong. | 2, I do everything wrong.",NA,1,NA,direct-redcap
cdi2_i4,"CDI2, child self-report, question 4",Item 4,s1_r1_e1,Integer,"0, 1, 2","0, I have fun in many things. | 1, I have fun in some things. | 2, Nothing is fun at all.",NA,1,NA,direct-redcap
cdi2_i5,"CDI2, child self-report, question 5",Item 5,s1_r1_e1,Integer,"0, 1, 2","0, I am important to my family. | 1, I am not sure if I am important to my family. | 2, My family is better off without me.",NA,1,NA,direct-redcap
cdi2_i6,"CDI2, child self-report, question 6",Item 6,s1_r1_e1,Integer,"0, 1, 2","0, I hate myself. | 1, I do not like myself. | 2, I like myself.",NA,1,NA,direct-redcap
cdi2_i7,"CDI2, child self-report, question 7",Item 7,s1_r1_e1,Integer,"0, 1, 2","0, All bad things are my fault. | 1, Many bad things are my fault. | 2, Bad things are usually not my fault.",NA,1,NA,direct-redcap
cdi2_i8,"CDI2, child self-report, question 8",Item 8,s1_r1_e1,Integer,"0, 1, 2","0, I do not think about killing myself. | 1, I think about killing myself but would not do it. | 2, I want to kill myself.",NA,1,NA,direct-redcap
cdi2_i9,"CDI2, child self-report, question 9",Item 9,s1_r1_e1,Integer,"0, 1, 2","0, I feel like crying every day. | 1, I feel like crying many days. | 2, I feel like crying once in a while.",NA,1,NA,direct-redcap
cdi2_i10,"CDI2, child self-report, question 10",Item 10,s1_r1_e1,Integer,"0, 1, 2","0, I feel cranky all the time. | 1, I feel cranky many times. | 2, I am almost never cranky.",NA,1,NA,direct-redcap
cdi2_i11,"CDI2, child self-report, question 11",Item 11,s1_r1_e1,Integer,"0, 1, 2","0, I feel like being with people. | 1, I do not like being with people many times. | 2, I do not want to be with people at all.",NA,1,NA,direct-redcap
cdi2_i12,"CDI2, child self-report, question 12",Item 12,s1_r1_e1,Integer,"0, 1, 2","0, I cannot make up my mind about things. | 1, It is hard to make up my mind about things. | 2, I make up my mind about things easily.",NA,1,NA,direct-redcap
cdi2_i13,"CDI2, child self-report, question 13",Item 13,s1_r1_e1,Integer,"0, 1, 2","0, I look O.K. | 1, There are some bad things about my looks. | 2, I look ugly.",NA,1,NA,direct-redcap
cdi2_i14,"CDI2, child self-report, question 14",Item 14,s1_r1_e1,Integer,"0, 1, 2","0, I have to push myself all the time to do schoolwork. | 1, I have to push myself many times to do schoolwork. | 2, Doing schoolwork is not a big problem.",NA,1,NA,direct-redcap
cdi2_i15,"CDI2, child self-report, question 15",Item 15,s1_r1_e1,Integer,"0, 1, 2","0, I have trouble sleeping every night. | 1, I have trouble sleeping many nights. | 2, I sleep pretty well.",NA,1,NA,direct-redcap
cdi2_i16,"CDI2, child self-report, question 16",Item 16,s1_r1_e1,Integer,"0, 1, 2","0, I am tired once in a while. | 1, I am tired many days. | 2, I am tired all the time.",NA,1,NA,direct-redcap
