variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
cdi2pes_i1,"CDI2, parent report (Spanish), question 1",Mi hijo(a)..se ve triste.,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca | 1, Parte del tiempo | 2, A menudo | 3, La mayor parte del tiempo",NA,1,NA,direct-redcap
cdi2pes_i2,"CDI2, parent report (Spanish), question 2",Mi hijo(a)..se divierte.,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca | 1, Parte del tiempo | 2, A menudo | 3, La mayor parte del tiempo",NA,1,NA,direct-redcap
cdi2pes_i3,"CDI2, parent report (Spanish), question 3",Mi hijo(a)..no se gusta a si mismo(a).,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca | 1, Parte del tiempo | 2, A menudo | 3, La mayor parte del tiempo",NA,1,NA,direct-redcap
cdi2pes_i4,"CDI2, parent report (Spanish), question 4",Mi hijo(a)..se culpa de las cosas.,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca | 1, Parte del tiempo | 2, A menudo | 3, La mayor parte del tiempo",NA,1,NA,direct-redcap
cdi2pes_i5,"CDI2, parent report (Spanish), question 5",Mi hijo(a)..llora o se ve lloroso.,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca | 1, Parte del tiempo | 2, A menudo | 3, La mayor parte del tiempo",NA,1,NA,direct-redcap
cdi2pes_i6,"CDI2, parent report (Spanish), question 6",Mi hijo(a)..es malhumorado o irritable.,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca | 1, Parte del tiempo | 2, A menudo | 3, La mayor parte del tiempo",NA,1,NA,direct-redcap
cdi2pes_i7,"CDI2, parent report (Spanish), question 7",Mi hijo(a)..le gusta estar con la gente.,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca | 1, Parte del tiempo | 2, A menudo | 3, La mayor parte del tiempo",NA,1,NA,direct-redcap
cdi2pes_i8,"CDI2, parent report (Spanish), question 8",Mi hijo(a)..piensa que es feo(a).,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca | 1, Parte del tiempo | 2, A menudo | 3, La mayor parte del tiempo",NA,1,NA,direct-redcap
cdi2pes_i9,"CDI2, parent report (Spanish), question 9",Mi hijo(a)..tiene que esforzarse para hacer la tarea escolar.,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca | 1, Parte del tiempo | 2, A menudo | 3, La mayor parte del tiempo",NA,1,NA,direct-redcap
cdi2pes_i10,"CDI2, parent report (Spanish), question 10",Mi hijo(a)..tiene dificultad para dormir en la noche.,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca | 1, Parte del tiempo | 2, A menudo | 3, La mayor parte del tiempo",NA,1,NA,direct-redcap
cdi2pes_i11,"CDI2, parent report (Spanish), question 11",Mi hijo(a)..se ve cansado(a) o fatigado(a).,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca | 1, Parte del tiempo | 2, A menudo | 3, La mayor parte del tiempo",NA,1,NA,direct-redcap
cdi2pes_i12,"CDI2, parent report (Spanish), question 12",Mi hijo(a)..se le ve solitario(a).,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca | 1, Parte del tiempo | 2, A menudo | 3, La mayor parte del tiempo",NA,1,NA,direct-redcap
cdi2pes_i13,"CDI2, parent report (Spanish), question 13",Mi hijo(a)..le gusta la escuela.,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca | 1, Parte del tiempo | 2, A menudo | 3, La mayor parte del tiempo",NA,1,NA,direct-redcap
cdi2pes_i14,"CDI2, parent report (Spanish), question 14",Mi hijo(a)..pasa tiempo con amigos(as).,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca | 1, Parte del tiempo | 2, A menudo | 3, La mayor parte del tiempo",NA,1,NA,direct-redcap
cdi2pes_i15,"CDI2, parent report (Spanish), question 15",Mi hijo(a)..muestra peor desempeño escolar que antes.,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca | 1, Parte del tiempo | 2, A menudo | 3, La mayor parte del tiempo",NA,1,NA,direct-redcap
cdi2pes_i16,"CDI2, parent report (Spanish), question 16",Mi hijo(a)..hace lo que se le dice.,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca | 1, Parte del tiempo | 2, A menudo | 3, La mayor parte del tiempo",NA,1,NA,direct-redcap
cdi2pes_i17,"CDI2, parent report (Spanish), question 17",Mi hijo(a)..tiene desacuerdos y conflictos con otros.,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca | 1, Parte del tiempo | 2, A menudo | 3, La mayor parte del tiempo",NA,1,NA,direct-redcap
cdi2pes_scrdTotal,"CDI2, parent report (Spanish), total score","sum of cdi2pes items 1, 2*, 3, 4, 5, 6, 7*, 8, 9, 10, 11, 12, 13*, 14*, 15, 16*, 17 after asterisked items are reversed (NA if cdi2pes_percTotal < 1)",s1_r1_e1,Integer,"[0,51]",NA,NA,1,NA,code-instruments
