measure,english,draft_esla,edited_esla,esla_for_backtranslation,backtranslated_esla,reconciled_esla,final_esla,revised_esla_2023-04
CHEXI,CHILDHOOD EXECUTIVE FUNCTIONING INVENTORY (CHEXI),CUESTIONARIO DE FUNCIONAMIENTO EJECUTIVO PARA INFANTES (CHEXI),n/a,CUESTIONARIO DE FUNCIONAMIENTO EJECUTIVO PARA INFANTES (CHEXI),EXECUTIVE FUNCTIONING QUESTIONNAIRE FOR CHILDREN (CHEXI),,CUESTIONARIO DE FUNCIONAMIENTO EJECUTIVO PARA INFANTES (CHEXI),
CHEXI,FOR PARENTS AND TEACHERS,PARA PADRES Y PROFESORES,n/a,PARA PADRES Y PROFESORES,FOR PARENTS AND TEACHERS,,PARA PADRES Y PROFESORES,
CHEXI,"Below, you will find a number of statements. ",(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),"A continuación, va a encontrar una serie de declaraciones.",
CHEXI,Please read each statement carefully and thereafter indicate how well that statement is true for the child. ,Por favor lea cada declaración cuidadosamente y después indique el nivel de certeza de cada afirmación en relación al niño en cuestión. ,n/a,Por favor lea cada declaración cuidadosamente y después indique el nivel de certeza de cada afirmación en relación al niño en cuestión. ,Please read every statement carefully and later indicate how true each statement is in relation to the child in question.,,Por favor lea cada declaración cuidadosamente y después indique el nivel de certeza de cada afirmación en relación al niño en cuestión. ,
CHEXI,You indicate your response by circling one of the numbers (from 1 to 5) after each statement.,Marque su respuesta circulando uno de los números (del 1 al 5) después de cada declaración,n/a,Marque su respuesta circulando uno de los números (del 1 al 5) después de cada declaración,Mark your response by circling one of the numbers (from 1 to 5) after each statement.,,Marque su respuesta circulando uno de los números (del 1 al 5) después de cada declaración.,
CHEXI,Definitely not true,(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),Definitivamente no es cierto,
CHEXI,Not true,(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),No es cierto,
CHEXI,Partially true,(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),Mas o menos cierto,
CHEXI,TRUE,(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),Cierto,
CHEXI,Definitely true,(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),(recycled from esla texi),Definitivamente cierto,
