variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
covid_b_i1_sub1,"COVID (version b), question 1a","Before the pandemic, how would you rate the quality of your relationships and social interactions with: Family or close friends?",s1_r1_e1,Integer,"[0,10]","0, Poor | 1,  | 2,  | 3,  | 4,  | 5, Okay | 6,  | 7,  | 8,  | 9,  | 10, Very good",NA,1,NA,direct-redcap
covid_b_i1_sub2,"COVID (version b), question 1b","Before the pandemic, how would you rate the quality of your relationships and social interactions with: Classmates, coworkers, or other acquaintances?",s1_r1_e1,Integer,"[0,10]","0, Poor | 1,  | 2,  | 3,  | 4,  | 5, Okay | 6,  | 7,  | 8,  | 9,  | 10, Very good",NA,1,NA,direct-redcap
covid_b_i1_sub3,"COVID (version b), question 1c","Before the pandemic, how would you rate the quality of your relationships and social interactions with: New people?",s1_r1_e1,Integer,"[0,10]","0, Poor | 1,  | 2,  | 3,  | 4,  | 5, Okay | 6,  | 7,  | 8,  | 9,  | 10, Very good",NA,1,NA,direct-redcap
covid_b_i2,"COVID (version b), question 2","Before the pandemic, did you have the ability to engage in live audio/video streaming (via smartphone, computer, tablet, etc.) if you wanted to?",s1_r1_e1,Integer,"[0,3]","3, Yes, whenever I wanted to | 2, Yes, but sometimes this was not possible | 1, Yes, but access was very intermittent | 0, No",NA,1,NA,direct-redcap
covid_b_i3_sub1,"COVID (version b), question 3a","Before the pandemic, if given the choice, how did you prefer to interact with: Family or close friends?",s1_r1_e1,Integer,"[1,7]","1, Via traditional letter writing or email | 2, Through social media (e.g., Facebook, Twitter, Instagram, TikTok, etc.) | 3, Via text messaging (via a messaging application on the phone or computer) | 4, Through voice calls (e.g., via phone or audio-only streaming device) | 5, Via live audio/video streaming (e.g, via Zoom, Facetime, Skype, etc.) | 6, Via live audio/video streaming (e.g, via Zoom, Facetime, Skype, etc.) but with my video turned off | 7, In person",NA,1,NA,direct-redcap
covid_b_i3_sub2,"COVID (version b), question 3b","Before the pandemic, if given the choice, how did you prefer to interact with: Classmates, coworkers, or other acquaintances?",s1_r1_e1,Integer,"[1,7]","1, Via traditional letter writing or email | 2, Through social media (e.g., Facebook, Twitter, Instagram, TikTok, etc.) | 3, Via text messaging (via a messaging application on the phone or computer) | 4, Through voice calls (e.g., via phone or audio-only streaming device) | 5, Via live audio/video streaming (e.g, via Zoom, Facetime, Skype, etc.) | 6, Via live audio/video streaming (e.g, via Zoom, Facetime, Skype, etc.) but with my video turned off | 7, In person",NA,1,NA,direct-redcap
covid_b_i3_sub3,"COVID (version b), question 3c","Before the pandemic, if given the choice, how did you prefer to interact with: New people?",s1_r1_e1,Integer,"[1,7]","1, Via traditional letter writing or email | 2, Through social media (e.g., Facebook, Twitter, Instagram, TikTok, etc.) | 3, Via text messaging (via a messaging application on the phone or computer) | 4, Through voice calls (e.g., via phone or audio-only streaming device) | 5, Via live audio/video streaming (e.g, via Zoom, Facetime, Skype, etc.) | 6, Via live audio/video streaming (e.g, via Zoom, Facetime, Skype, etc.) but with my video turned off | 7, In person",NA,1,NA,direct-redcap
covid_b_i4_sub1,"COVID (version b), question 4a","During the pandemic, how would you rate the quality of your relationships and social interactions with: Family or close friends?",s1_r1_e1,Integer,"[0,10]","0, Poor | 1,  | 2,  | 3,  | 4,  | 5, Okay | 6,  | 7,  | 8,  | 9,  | 10, Very good",NA,1,NA,direct-redcap
covid_b_i4_sub2,"COVID (version b), question 4b","During the pandemic, how would you rate the quality of your relationships and social interactions with: Classmates, coworkers, or other acquaintances?",s1_r1_e1,Integer,"[0,10]","0, Poor | 1,  | 2,  | 3,  | 4,  | 5, Okay | 6,  | 7,  | 8,  | 9,  | 10, Very good",NA,1,NA,direct-redcap
covid_b_i4_sub3,"COVID (version b), question 4c","During the pandemic, how would you rate the quality of your relationships and social interactions with: New people?",s1_r1_e1,Integer,"[0,10]","0, Poor | 1,  | 2,  | 3,  | 4,  | 5, Okay | 6,  | 7,  | 8,  | 9,  | 10, Very good",NA,1,NA,direct-redcap
covid_b_i5,"COVID (version b), question 5","During the pandemic, did you have the ability to engage in live audio/video streaming (via smartphone, computer, tablet, etc.) if you wanted to?",s1_r1_e1,Integer,"[0,3]","3, Yes, whenever I wanted to | 2, Yes, but sometimes this was not possible | 1, Yes, but access was very intermittent | 0, No",NA,1,NA,direct-redcap
covid_b_i6_sub1,"COVID (version b), question 6a","During the pandemic, if given the choice, how did you prefer to interact with: Family or close friends?",s1_r1_e1,Integer,"[1,7]","1, Via traditional letter writing or email | 2, Through social media (e.g., Facebook, Twitter, Instagram, TikTok, etc.) | 3, Via text messaging (via a messaging application on the phone or computer) | 4, Through voice calls (e.g., via phone or audio-only streaming device) | 5, Via live audio/video streaming (e.g, via Zoom, Facetime, Skype, etc.) | 6, Via live audio/video streaming (e.g, via Zoom, Facetime, Skype, etc.) but with my video turned off | 7, In person",NA,1,NA,direct-redcap
covid_b_i6_sub2,"COVID (version b), question 6b","During the pandemic, if given the choice, how did you prefer to interact with: Classmates, coworkers, or other acquaintances?",s1_r1_e1,Integer,"[1,7]","1, Via traditional letter writing or email | 2, Through social media (e.g., Facebook, Twitter, Instagram, TikTok, etc.) | 3, Via text messaging (via a messaging application on the phone or computer) | 4, Through voice calls (e.g., via phone or audio-only streaming device) | 5, Via live audio/video streaming (e.g, via Zoom, Facetime, Skype, etc.) | 6, Via live audio/video streaming (e.g, via Zoom, Facetime, Skype, etc.) but with my video turned off | 7, In person",NA,1,NA,direct-redcap
covid_b_i6_sub3,"COVID (version b), question 6c","During the pandemic, if given the choice, how did you prefer to interact with: New people?",s1_r1_e1,Integer,"[1,7]","1, Via traditional letter writing or email | 2, Through social media (e.g., Facebook, Twitter, Instagram, TikTok, etc.) | 3, Via text messaging (via a messaging application on the phone or computer) | 4, Through voice calls (e.g., via phone or audio-only streaming device) | 5, Via live audio/video streaming (e.g, via Zoom, Facetime, Skype, etc.) | 6, Via live audio/video streaming (e.g, via Zoom, Facetime, Skype, etc.) but with my video turned off | 7, In person",NA,1,NA,direct-redcap
covid_b_i7_sub1,"COVID (version b), question 7a","How much (more or less) did you use live audio/video streaming (e.g, via Zoom, Facetime, Skype, etc.) DURING the pandemic than BEFORE to interact with: Family or close friends?",s1_r1_e1,Integer,"[0,10]","0, Much less | 1,  | 2,  | 3,  | 4,  | 5, The same | 6,  | 7,  | 8,  | 9,  | 10, Much more",NA,1,NA,direct-redcap
covid_b_i7_sub2,"COVID (version b), question 7b","How much (more or less) did you use live audio/video streaming (e.g, via Zoom, Facetime, Skype, etc.) DURING the pandemic than BEFORE to interact with: Classmates, coworkers, or other acquaintances?",s1_r1_e1,Integer,"[0,10]","0, Much less | 1,  | 2,  | 3,  | 4,  | 5, The same | 6,  | 7,  | 8,  | 9,  | 10, Much more",NA,1,NA,direct-redcap
covid_b_i7_sub3,"COVID (version b), question 7c","How much (more or less) did you use live audio/video streaming (e.g, via Zoom, Facetime, Skype, etc.) DURING the pandemic than BEFORE to interact with: New people?",s1_r1_e1,Integer,"[0,10]","0, Much less | 1,  | 2,  | 3,  | 4,  | 5, The same | 6,  | 7,  | 8,  | 9,  | 10, Much more",NA,1,NA,direct-redcap
covid_b_i8_sub1,"COVID (version b), question 8a","How much (more or less) did you turn off your video/camera when interacting virtually (e.g., via Zoom, FaceTime, Skype, etc.) with the following people DURING the pandemic than BEFORE the pandemic: Family or close friends?",s1_r1_e1,Integer,"[0,10]","0, Much less | 1,  | 2,  | 3,  | 4,  | 5, The same | 6,  | 7,  | 8,  | 9,  | 10, Much more",NA,1,NA,direct-redcap
covid_b_i8_sub2,"COVID (version b), question 8b","How much (more or less) did you turn off your video/camera when interacting virtually (e.g., via Zoom, FaceTime, Skype, etc.) with the following people DURING the pandemic than BEFORE the pandemic: Classmates, coworkers, or other acquaintances?",s1_r1_e1,Integer,"[0,10]","0, Much less | 1,  | 2,  | 3,  | 4,  | 5, The same | 6,  | 7,  | 8,  | 9,  | 10, Much more",NA,1,NA,direct-redcap
