record_id,adexi_s1_r1_e1_timestamp,adexi_i1_s1_r1_e1,adexi_i2_s1_r1_e1,adexi_i3_s1_r1_e1,adexi_i4_s1_r1_e1,adexi_i5_s1_r1_e1,adexi_i6_s1_r1_e1,adexi_i7_s1_r1_e1,adexi_i8_s1_r1_e1,adexi_i9_s1_r1_e1,adexi_i10_s1_r1_e1,adexi_i11_s1_r1_e1,adexi_i12_s1_r1_e1,adexi_i13_s1_r1_e1,adexi_i14_s1_r1_e1,adexi_s1_r1_e1_complete,adexi_s1_r2_e1_timestamp,adexi_i1_s1_r2_e1,adexi_i2_s1_r2_e1,adexi_i3_s1_r2_e1,adexi_i4_s1_r2_e1,adexi_i5_s1_r2_e1,adexi_i6_s1_r2_e1,adexi_i7_s1_r2_e1,adexi_i8_s1_r2_e1,adexi_i9_s1_r2_e1,adexi_i10_s1_r2_e1,adexi_i11_s1_r2_e1,adexi_i12_s1_r2_e1,adexi_i13_s1_r2_e1,adexi_i14_s1_r2_e1,adexi_s1_r2_e1_complete,adexi_wm_s1_r1_e1_perc_complete,adexi_wm_s1_r1_e1_scored,adexi_wm_s1_r2_e1_perc_complete,adexi_wm_s1_r2_e1_scored,adexi_inh_s1_r1_e1_perc_complete,adexi_inh_s1_r1_e1_scored,adexi_inh_s1_r2_e1_perc_complete,adexi_inh_s1_r2_e1_scored,adexi_total_s1_r1_e1_perc_complete,adexi_total_s1_r1_e1_scored,adexi_total_s1_r2_e1_perc_complete,adexi_total_s1_r2_e1_scored
130029,9/1/21 10:35,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2,9/1/21 10:35,,,,,,,,,,,,,,,0,1.0,27.0,0.0,,1.0,15.0,0.0,,1.0,42.0,0.0,
130032,9/4/21 21:37,4.0,5.0,2.0,3.0,2.0,2.0,1.0,5.0,1.0,4.0,2.0,2.0,1.0,3.0,2,9/4/21 21:37,,,,,,,,,,,,,,,0,1.0,23.0,0.0,,1.0,14.0,0.0,,1.0,37.0,0.0,
130035,9/9/21 15:34,3.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,4.0,3.0,3.0,1.0,4.0,2,9/9/21 15:34,,,,,,,,,,,,,,,0,1.0,21.0,0.0,,1.0,11.0,0.0,,1.0,32.0,0.0,
130042,9/19/21 16:53,3.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2,9/19/21 16:53,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.0,23.0,1.0,15.0,1.0,11.0,1.0,5.0,1.0,34.0,1.0,20.0
130043,9/20/21 16:43,3.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,5.0,4.0,4.0,2.0,1.0,2,9/20/21 16:43,,,,,,,,,,,,,,,0,1.0,24.0,0.0,,1.0,9.0,0.0,,1.0,33.0,0.0,
130044,9/23/21 15:57,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2,9/23/21 15:57,,,,,,,,,,,,,,,0,1.0,26.0,0.0,,1.0,15.0,0.0,,1.0,41.0,0.0,
130046,10/3/21 14:19,2.0,2.0,1.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,1.0,3.0,2,10/3/21 14:19,,,,,,,,,,,,,,,0,1.0,20.0,0.0,,1.0,14.0,0.0,,1.0,34.0,0.0,
130047,10/1/21 16:33,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,2,10/1/21 16:33,,,,,,,,,,,,,,,0,1.0,34.0,0.0,,1.0,19.0,0.0,,1.0,53.0,0.0,
130048,9/30/21 22:23,2.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,2,9/30/21 22:23,,,,,,,,,,,,,,,0,1.0,18.0,0.0,,1.0,10.0,0.0,,1.0,28.0,0.0,
130049,10/11/21 16:06,3.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,1.0,2,10/11/21 16:06,,,,,,,,,,,,,,,0,1.0,27.0,0.0,,1.0,12.0,0.0,,1.0,39.0,0.0,
