variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
dersp_i1,"DERS (parent version), question 1",My child is clear about their feelings,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost never | 2, Sometimes | 3, About half the time | 4, Most of the time | 5, Almost always",NA,1,NA,direct-redcap
dersp_i2,"DERS (parent version), question 2",My child pays attention to how they feel,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost never | 2, Sometimes | 3, About half the time | 4, Most of the time | 5, Almost always",NA,1,NA,direct-redcap
dersp_i3,"DERS (parent version), question 3",My child experiences their emotions as overwhelming and out of control,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost never | 2, Sometimes | 3, About half the time | 4, Most of the time | 5, Almost always",NA,1,NA,direct-redcap
dersp_i4,"DERS (parent version), question 4",My child is attentive to their feelings.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost never | 2, Sometimes | 3, About half the time | 4, Most of the time | 5, Almost always",NA,1,NA,direct-redcap
dersp_i5,"DERS (parent version), question 5",My child knows exactly how they are feeling.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost never | 2, Sometimes | 3, About half the time | 4, Most of the time | 5, Almost always",NA,1,NA,direct-redcap
dersp_i6,"DERS (parent version), question 6",My child cares about what they are feeling.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost never | 2, Sometimes | 3, About half the time | 4, Most of the time | 5, Almost always",NA,1,NA,direct-redcap
dersp_i7,"DERS (parent version), question 7","When my child is upset, they acknowledge their emotions",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost never | 2, Sometimes | 3, About half the time | 4, Most of the time | 5, Almost always",NA,1,NA,direct-redcap
dersp_i8,"DERS (parent version), question 8","When my child is upset, they become angry with themself for feeling that way.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost never | 2, Sometimes | 3, About half the time | 4, Most of the time | 5, Almost always",NA,1,NA,direct-redcap
dersp_i9,"DERS (parent version), question 9","When my child is upset, they become embarrassed for feeling that way",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost never | 2, Sometimes | 3, About half the time | 4, Most of the time | 5, Almost always",NA,1,NA,direct-redcap
dersp_i10,"DERS (parent version), question 10","When my child is upset, they have difficulty getting work done",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost never | 2, Sometimes | 3, About half the time | 4, Most of the time | 5, Almost always",NA,1,NA,direct-redcap
dersp_i11,"DERS (parent version), question 11","When my child is upset, they become out of control.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost never | 2, Sometimes | 3, About half the time | 4, Most of the time | 5, Almost always",NA,1,NA,direct-redcap
dersp_i12,"DERS (parent version), question 12","When my child is upset, they believe that they will remain that way for a long time.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost never | 2, Sometimes | 3, About half the time | 4, Most of the time | 5, Almost always",NA,1,NA,direct-redcap
dersp_i13,"DERS (parent version), question 13","When my child is upset, they believe that they will end up feeling very depressed.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost never | 2, Sometimes | 3, About half the time | 4, Most of the time | 5, Almost always",NA,1,NA,direct-redcap
dersp_i14,"DERS (parent version), question 14","When my child is upset, they have difficulty focusing on other things.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost never | 2, Sometimes | 3, About half the time | 4, Most of the time | 5, Almost always",NA,1,NA,direct-redcap
dersp_i15,"DERS (parent version), question 15","When my child is upset, they feel out of control.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost never | 2, Sometimes | 3, About half the time | 4, Most of the time | 5, Almost always",NA,1,NA,direct-redcap
dersp_i16,"DERS (parent version), question 16","When my child is upset, they feel ashamed with themself for feeling that way.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost never | 2, Sometimes | 3, About half the time | 4, Most of the time | 5, Almost always",NA,1,NA,direct-redcap
