variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
derspes_i1,"DERS (parent version, Spanish), question 1",Mi niño/a percibe con claridad sus sentimientos,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Casi nunca | 2, Algunas veces | 3, La mitad de las veces | 4, La mayoría de las veces | 5, Casi siempre",NA,1,NA,direct-redcap
derspes_i2,"DERS (parent version, Spanish), question 2",Mi niño/a presta atención a cómo se siente,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Casi nunca | 2, Algunas veces | 3, La mitad de las veces | 4, La mayoría de las veces | 5, Casi siempre",NA,1,NA,direct-redcap
derspes_i3,"DERS (parent version, Spanish), question 3",Mi niño/a vive sus emociones como algo desbordante y fuera de control,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Casi nunca | 2, Algunas veces | 3, La mitad de las veces | 4, La mayoría de las veces | 5, Casi siempre",NA,1,NA,direct-redcap
derspes_i4,"DERS (parent version, Spanish), question 4",Mi niño/a es atenta/o a sus sentimientos,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Casi nunca | 2, Algunas veces | 3, La mitad de las veces | 4, La mayoría de las veces | 5, Casi siempre",NA,1,NA,direct-redcap
derspes_i5,"DERS (parent version, Spanish), question 5",Mi niño/a sabe exactamente cómo se siente,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Casi nunca | 2, Algunas veces | 3, La mitad de las veces | 4, La mayoría de las veces | 5, Casi siempre",NA,1,NA,direct-redcap
derspes_i6,"DERS (parent version, Spanish), question 6",Mi niño/a le da importancia a lo que está sintiendo,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Casi nunca | 2, Algunas veces | 3, La mitad de las veces | 4, La mayoría de las veces | 5, Casi siempre",NA,1,NA,direct-redcap
derspes_i7,"DERS (parent version, Spanish), question 7","Cuando mi niño/a se siente disgustado/a, reconoce sus emociones",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Casi nunca | 2, Algunas veces | 3, La mitad de las veces | 4, La mayoría de las veces | 5, Casi siempre",NA,1,NA,direct-redcap
derspes_i8,"DERS (parent version, Spanish), question 8","Cuando mi niño/a se siente disgustado/a, se enfada consigo misma/o por sentirse de esa manera",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Casi nunca | 2, Algunas veces | 3, La mitad de las veces | 4, La mayoría de las veces | 5, Casi siempre",NA,1,NA,direct-redcap
derspes_i9,"DERS (parent version, Spanish), question 9","Cuando mi niño/a se siente disgustado/a, le da vergüenza sentirse de esa manera",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Casi nunca | 2, Algunas veces | 3, La mitad de las veces | 4, La mayoría de las veces | 5, Casi siempre",NA,1,NA,direct-redcap
derspes_i10,"DERS (parent version, Spanish), question 10","Cuando mi niño/a se siente disgustado/a, tiene dificultades para completar el trabajo.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Casi nunca | 2, Algunas veces | 3, La mitad de las veces | 4, La mayoría de las veces | 5, Casi siempre",NA,1,NA,direct-redcap
