variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
dsmxc_i1,"DSMXC, question 1","During the past two weeks, how often have you been bothered by stomachaches, headaches, or other aches and pains?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Not at all | 1, Rare, less than a day or two | 2, Several days | 3, More than half the days | 4, Nearly every day",NA,1,NA,direct-redcap
dsmxc_i2,"DSMXC, question 2","During the past two weeks, how often have you worried about your health or about getting sick?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Not at all | 1, Rare, less than a day or two | 2, Several days | 3, More than half the days | 4, Nearly every day",NA,1,NA,direct-redcap
dsmxc_i3,"DSMXC, question 3","During the past two weeks, how often have you been bothered by not being able to fall asleep or stay asleep, or by waking up too early?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Not at all | 1, Rare, less than a day or two | 2, Several days | 3, More than half the days | 4, Nearly every day",NA,1,NA,direct-redcap
dsmxc_i4,"DSMXC, question 4","During the past two weeks, how often have you been bothered by not being able to pay attention when you were in class or doing homework or reading a book or playing a game?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Not at all | 1, Rare, less than a day or two | 2, Several days | 3, More than half the days | 4, Nearly every day",NA,1,NA,direct-redcap
dsmxc_i5,"DSMXC, question 5","During the past two weeks, how often have you had less fun doing things than you used to?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Not at all | 1, Rare, less than a day or two | 2, Several days | 3, More than half the days | 4, Nearly every day",NA,1,NA,direct-redcap
dsmxc_i6,"DSMXC, question 6","During the past two weeks, how often have you felt sad or depressed for several hours?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Not at all | 1, Rare, less than a day or two | 2, Several days | 3, More than half the days | 4, Nearly every day",NA,1,NA,direct-redcap
dsmxc_i7,"DSMXC, question 7","During the past two weeks, how often have you felt more irritated or easily annoyed than usual?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Not at all | 1, Rare, less than a day or two | 2, Several days | 3, More than half the days | 4, Nearly every day",NA,1,NA,direct-redcap
dsmxc_i8,"DSMXC, question 8","During the past two weeks, how often have you felt angry or lost your temper?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Not at all | 1, Rare, less than a day or two | 2, Several days | 3, More than half the days | 4, Nearly every day",NA,1,NA,direct-redcap
dsmxc_i9,"DSMXC, question 9","During the past two weeks, how often have you started lots more projects than usual or done more risky things than usual?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Not at all | 1, Rare, less than a day or two | 2, Several days | 3, More than half the days | 4, Nearly every day",NA,1,NA,direct-redcap
dsmxc_i10,"DSMXC, question 10","During the past two weeks, how often have you slept less than usual but still had a lot of energy?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Not at all | 1, Rare, less than a day or two | 2, Several days | 3, More than half the days | 4, Nearly every day",NA,1,NA,direct-redcap
dsmxc_i11,"DSMXC, question 11","During the past two weeks, how often have you felt nervous, anxious, or scared?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Not at all | 1, Rare, less than a day or two | 2, Several days | 3, More than half the days | 4, Nearly every day",NA,1,NA,direct-redcap
dsmxc_i12,"DSMXC, question 12","During the past two weeks, how often have you not been able to stop worrying?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Not at all | 1, Rare, less than a day or two | 2, Several days | 3, More than half the days | 4, Nearly every day",NA,1,NA,direct-redcap
dsmxc_i13,"DSMXC, question 13","During the past two weeks, how often have you not been able to do things you wanted to or should have done, because they made you feel nervous?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Not at all | 1, Rare, less than a day or two | 2, Several days | 3, More than half the days | 4, Nearly every day",NA,1,NA,direct-redcap
dsmxc_i14,"DSMXC, question 14","During the past two weeks, how often have you heard voices - when there was no one there - speaking about you or telling you what to do or saying bad things to you?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Not at all | 1, Rare, less than a day or two | 2, Several days | 3, More than half the days | 4, Nearly every day",NA,1,NA,direct-redcap
dsmxc_i15,"DSMXC, question 15","During the past two weeks, how often have you had visions when you were completely awake, that is, seen something or someone that no one else could see?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Not at all | 1, Rare, less than a day or two | 2, Several days | 3, More than half the days | 4, Nearly every day",NA,1,NA,direct-redcap
dsmxc_i16,"DSMXC, question 16","During the past two weeks, how often have you had thoughts that kept coming into your mind that you would do something bad or that something bad would happen to you or to someone else?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Not at all | 1, Rare, less than a day or two | 2, Several days | 3, More than half the days | 4, Nearly every day",NA,1,NA,direct-redcap
dsmxc_i17,"DSMXC, question 17","During the past two weeks, how often have you felt the need to check on certain things over and over again, like whether a door was locked or whether the stove was turned off?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Not at all | 1, Rare, less than a day or two | 2, Several days | 3, More than half the days | 4, Nearly every day",NA,1,NA,direct-redcap
