variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
eatq_i1,"EATQ, question 1",Worries about getting into trouble.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost always untrue | 2, Usually untrue | 3, Sometimes true, sometimes untrue | 4, Usually true | 5, Almost always true",NA,1,NA,direct-redcap
eatq_i2,"EATQ, question 2","When angry at someone, says things s/he knows will hurt that person's feelings.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost always untrue | 2, Usually untrue | 3, Sometimes true, sometimes untrue | 4, Usually true | 5, Almost always true",NA,1,NA,direct-redcap
eatq_i3,"EATQ, question 3",Has a hard time finishing things on time.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost always untrue | 2, Usually untrue | 3, Sometimes true, sometimes untrue | 4, Usually true | 5, Almost always true",NA,1,NA,direct-redcap
eatq_i4,"EATQ, question 4",Thinks traveling to Africa or India would be exciting and fun.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost always untrue | 2, Usually untrue | 3, Sometimes true, sometimes untrue | 4, Usually true | 5, Almost always true",NA,1,NA,direct-redcap
eatq_i5,"EATQ, question 5","If having a problem with someone, usually tries to deal with it right away.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost always untrue | 2, Usually untrue | 3, Sometimes true, sometimes untrue | 4, Usually true | 5, Almost always true",NA,1,NA,direct-redcap
eatq_i6,"EATQ, question 6",Has a hard time waiting his/her turn to speak when excited.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost always untrue | 2, Usually untrue | 3, Sometimes true, sometimes untrue | 4, Usually true | 5, Almost always true",NA,1,NA,direct-redcap
eatq_i7,"EATQ, question 7",Often does not seem to enjoy things as much as his/her friends.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost always untrue | 2, Usually untrue | 3, Sometimes true, sometimes untrue | 4, Usually true | 5, Almost always true",NA,1,NA,direct-redcap
eatq_i8,"EATQ, question 8",Opens presents before s/he is supposed to.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost always untrue | 2, Usually untrue | 3, Sometimes true, sometimes untrue | 4, Usually true | 5, Almost always true",NA,1,NA,direct-redcap
eatq_i9,"EATQ, question 9",Would be frightened by the thought of skiing fast down a steep slope.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost always untrue | 2, Usually untrue | 3, Sometimes true, sometimes untrue | 4, Usually true | 5, Almost always true",NA,1,NA,direct-redcap
eatq_i10,"EATQ, question 10",Feels like crying over very little on some days.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost always untrue | 2, Usually untrue | 3, Sometimes true, sometimes untrue | 4, Usually true | 5, Almost always true",NA,1,NA,direct-redcap
eatq_i11,"EATQ, question 11","If very angry, might hit someone.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost always untrue | 2, Usually untrue | 3, Sometimes true, sometimes untrue | 4, Usually true | 5, Almost always true",NA,1,NA,direct-redcap
eatq_i12,"EATQ, question 12",Likes taking care of other people.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost always untrue | 2, Usually untrue | 3, Sometimes true, sometimes untrue | 4, Usually true | 5, Almost always true",NA,1,NA,direct-redcap
eatq_i13,"EATQ, question 13",Likes to be able to share his/her private thoughts with someone else.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost always untrue | 2, Usually untrue | 3, Sometimes true, sometimes untrue | 4, Usually true | 5, Almost always true",NA,1,NA,direct-redcap
eatq_i14,"EATQ, question 14","Usually does something fun for awhile before starting her/his homework, even though s/he is not supposed to.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost always untrue | 2, Usually untrue | 3, Sometimes true, sometimes untrue | 4, Usually true | 5, Almost always true",NA,1,NA,direct-redcap
eatq_i15,"EATQ, question 15",Finds it easy to really concentrate on a problem.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost always untrue | 2, Usually untrue | 3, Sometimes true, sometimes untrue | 4, Usually true | 5, Almost always true",NA,1,NA,direct-redcap
eatq_i16,"EATQ, question 16",Thinks it would be exciting to move to a new city.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost always untrue | 2, Usually untrue | 3, Sometimes true, sometimes untrue | 4, Usually true | 5, Almost always true",NA,1,NA,direct-redcap
eatq_i17,"EATQ, question 17","When asked to do something, does it right away, even if s/he doesn't want to.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost always untrue | 2, Usually untrue | 3, Sometimes true, sometimes untrue | 4, Usually true | 5, Almost always true",NA,1,NA,direct-redcap
eatq_i18,"EATQ, question 18",Would like to be able to spend time with a good friend every day.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost always untrue | 2, Usually untrue | 3, Sometimes true, sometimes untrue | 4, Usually true | 5, Almost always true",NA,1,NA,direct-redcap
eatq_i19,"EATQ, question 19",Tends to be rude to people s/he doesn't like.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost always untrue | 2, Usually untrue | 3, Sometimes true, sometimes untrue | 4, Usually true | 5, Almost always true",NA,1,NA,direct-redcap
eatq_i20,"EATQ, question 20",Is annoyed by little things other kids do.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost always untrue | 2, Usually untrue | 3, Sometimes true, sometimes untrue | 4, Usually true | 5, Almost always true",NA,1,NA,direct-redcap
eatq_i21,"EATQ, question 21",Gets very irritated when someone criticizes her/him.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost always untrue | 2, Usually untrue | 3, Sometimes true, sometimes untrue | 4, Usually true | 5, Almost always true",NA,1,NA,direct-redcap
eatq_i22,"EATQ, question 22"," When interrupted or distracted, forgets what s/he was about to say.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost always untrue | 2, Usually untrue | 3, Sometimes true, sometimes untrue | 4, Usually true | 5, Almost always true",NA,1,NA,direct-redcap
eatq_i23,"EATQ, question 23",Is more likely to do something s/he shouldn't do the more s/he tries to stop her/himself.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost always untrue | 2, Usually untrue | 3, Sometimes true, sometimes untrue | 4, Usually true | 5, Almost always true",NA,1,NA,direct-redcap
eatq_i24,"EATQ, question 24",Enjoys exchanging hugs with people s/he likes.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost always untrue | 2, Usually untrue | 3, Sometimes true, sometimes untrue | 4, Usually true | 5, Almost always true",NA,1,NA,direct-redcap
eatq_i25,"EATQ, question 25",Tends to try to blame mistakes on someone else.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Almost always untrue | 2, Usually untrue | 3, Sometimes true, sometimes untrue | 4, Usually true | 5, Almost always true",NA,1,NA,direct-redcap
