variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
eatqes_i1,"EATQ (Spanish version), question 1",Le preocupa meterse en problemas,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Casi siempre falsa | 2, Generalmente falsa | 3, Algunas veces falsa, otras veces cierta | 4, Generalmente cierta | 5, Casi siempre cierta",NA,1,NA,direct-redcap
eatqes_i2,"EATQ (Spanish version), question 2","Si está furioso/a con alguien, tiende a decir cosas para herir sus sentimientos",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Casi siempre falsa | 2, Generalmente falsa | 3, Algunas veces falsa, otras veces cierta | 4, Generalmente cierta | 5, Casi siempre cierta",NA,1,NA,direct-redcap
eatqes_i3,"EATQ (Spanish version), question 3",Le cuesta trabajo terminar las cosas a tiempo,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Casi siempre falsa | 2, Generalmente falsa | 3, Algunas veces falsa, otras veces cierta | 4, Generalmente cierta | 5, Casi siempre cierta",NA,1,NA,direct-redcap
eatqes_i4,"EATQ (Spanish version), question 4",Pensar en viajar a Africa o a la India le parece emocionante o divertido,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Casi siempre falsa | 2, Generalmente falsa | 3, Algunas veces falsa, otras veces cierta | 4, Generalmente cierta | 5, Casi siempre cierta",NA,1,NA,direct-redcap
eatqes_i5,"EATQ (Spanish version), question 5","Si tiene un problema con alguien, generalmente intenta arreglarlo rapidamente",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Casi siempre falsa | 2, Generalmente falsa | 3, Algunas veces falsa, otras veces cierta | 4, Generalmente cierta | 5, Casi siempre cierta",NA,1,NA,direct-redcap
eatqes_i6,"EATQ (Spanish version), question 6","Cuando está nervioso/a, le cuesta trabajo esperar su turno para hablar",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Casi siempre falsa | 2, Generalmente falsa | 3, Algunas veces falsa, otras veces cierta | 4, Generalmente cierta | 5, Casi siempre cierta",NA,1,NA,direct-redcap
eatqes_i7,"EATQ (Spanish version), question 7",Parece que sus amigos se lo pasan mejor que él/ella,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Casi siempre falsa | 2, Generalmente falsa | 3, Algunas veces falsa, otras veces cierta | 4, Generalmente cierta | 5, Casi siempre cierta",NA,1,NA,direct-redcap
eatqes_i8,"EATQ (Spanish version), question 8",Abre los regalos antes de tiempo,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Casi siempre falsa | 2, Generalmente falsa | 3, Algunas veces falsa, otras veces cierta | 4, Generalmente cierta | 5, Casi siempre cierta",NA,1,NA,direct-redcap
eatqes_i9,"EATQ (Spanish version), question 9",Le daría miedo la idea de esquiar rápido sobre una pendiente muy inclinada,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Casi siempre falsa | 2, Generalmente falsa | 3, Algunas veces falsa, otras veces cierta | 4, Generalmente cierta | 5, Casi siempre cierta",NA,1,NA,direct-redcap
eatqes_i10,"EATQ (Spanish version), question 10",Algunos días le dan ganas de llorar por pequeñas cosas,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Casi siempre falsa | 2, Generalmente falsa | 3, Algunas veces falsa, otras veces cierta | 4, Generalmente cierta | 5, Casi siempre cierta",NA,1,NA,direct-redcap
