variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
edshvsc_i1,"EDS (child report), question 1",You are treated with less courtesy or respect than other people.,s1_r1_e1,Integer,"5, 4, 3, 2, 1, 0","5, Almost everyday | 4, At least once a week | 3, A few times a month | 2, A few times a year | 1, Less than once a year | 0, Never",NA,1,NA,direct-redcap
edshvsc_i2,"EDS (child report), question 2",You receive poorer service than other people at restaurants or stores.,s1_r1_e1,Integer,"5, 4, 3, 2, 1, 0","5, Almost everyday | 4, At least once a week | 3, A few times a month | 2, A few times a year | 1, Less than once a year | 0, Never",NA,1,NA,direct-redcap
edshvsc_i3,"EDS (child report), question 3",People act as if they think you are not smart.,s1_r1_e1,Integer,"5, 4, 3, 2, 1, 0","5, Almost everyday | 4, At least once a week | 3, A few times a month | 2, A few times a year | 1, Less than once a year | 0, Never",NA,1,NA,direct-redcap
edshvsc_i4,"EDS (child report), question 4",People act as if they are afraid of you.,s1_r1_e1,Integer,"5, 4, 3, 2, 1, 0","5, Almost everyday | 4, At least once a week | 3, A few times a month | 2, A few times a year | 1, Less than once a year | 0, Never",NA,1,NA,direct-redcap
edshvsc_i5,"EDS (child report), question 5",You are threatened or harassed.,s1_r1_e1,Integer,"5, 4, 3, 2, 1, 0","5, Almost everyday | 4, At least once a week | 3, A few times a month | 2, A few times a year | 1, Less than once a year | 0, Never",NA,1,NA,direct-redcap
edshvsc_i6,"EDS (child report), question 6","If you answered ""A few times a year"" or more frequently to at least one question above: What do you think is the main reason for these experiences? (Check all that apply)",s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13","1, Your ancestry or national origins | 2, Your gender | 3, Your race | 4, Your age | 5, Your religion | 6, Your height | 7, Your weight | 8, Some other aspect of your physical appearance | 9, Your sexual orientation | 10, Your fmily's education or income level | 11, A physical disability | 12, Your shade of skin color | 13, Other (SPECIFY)",NA,1,NA,direct-redcap
edshvsc_i7,"EDS (child report), question 7","If edshvsc_i6=Other, specification",s1_r1_e1,Char,text,NA,NA,1,NA,direct-redcap
edshvsc_i8,"HVS (child report), question 1",Think in advance about the kinds of problems you are likely to experience?,s1_r1_e1,Integer,"4, 3, 2, 1, 0","4, Very often | 3, Fairly often | 2, Not too often | 1, Hardly ever | 0, Never",NA,1,NA,direct-redcap
edshvsc_i9,"HVS (child report), question 2",Try to prepare for possible insults before leaving home?,s1_r1_e1,Integer,"4, 3, 2, 1, 0","4, Very often | 3, Fairly often | 2, Not too often | 1, Hardly ever | 0, Never",NA,1,NA,direct-redcap
edshvsc_i10,"HVS (child report), question 3",Feel that you always have to be very careful about your appearance to get good service or avoid being harassed?,s1_r1_e1,Integer,"4, 3, 2, 1, 0","4, Very often | 3, Fairly often | 2, Not too often | 1, Hardly ever | 0, Never",NA,1,NA,direct-redcap
edshvsc_i11,"HVS (child report), question 4",Carefully watch what you say and how you say it?,s1_r1_e1,Integer,"4, 3, 2, 1, 0","4, Very often | 3, Fairly often | 2, Not too often | 1, Hardly ever | 0, Never",NA,1,NA,direct-redcap
edshvsc_i12,"HVS (child report), question 5",Carefully observe what happens around you?,s1_r1_e1,Integer,"4, 3, 2, 1, 0","4, Very often | 3, Fairly often | 2, Not too often | 1, Hardly ever | 0, Never",NA,1,NA,direct-redcap
edshvsc_i13,"HVS (child report), question 6",Try to avoid certain social situations and places?,s1_r1_e1,Integer,"4, 3, 2, 1, 0","4, Very often | 3, Fairly often | 2, Not too often | 1, Hardly ever | 0, Never",NA,1,NA,direct-redcap
edshvsc_scrdEdsEver,EDS (child report) ever/never score,count of edshvsc items 1-5 that are >0 (NA if edshvsc_percEdsEver < 1),s1_r1_e1,Integer,"[0,5]",NA,NA,1,NA,code-instruments
edshvsc_scrdEdsFreq,EDS (child report) frequency score,sum of edshvsc items 1-5 (NA if edshvsc_percEdsFreq < 1),s1_r1_e1,Integer,"[0,25]",NA,NA,1,NA,code-instruments
edshvsc_scrdEdsChron,EDS (child report) chronicity score,"sum of weighted responses to edshvsc items 1-5: 0≡0, 1≡0.5, 2≡3, 3≡36, 4≡104, 5≡260 (NA if edshvsc_scrdEdsChron < 1)",s1_r1_e1,Real,"[0,1300]",NA,NA,1,NA,code-instruments
edshvsc_scrdHvsEver,HVS (child report) ever/never score,count of edshvsc items 8-13 that are >0 (NA if edshvsc_percHvsEver < 1),s1_r1_e1,Integer,"[0,5]",NA,NA,1,NA,code-instruments
edshvsc_scrdHvsFreq,HVS (child report) frequency score,sum of edshvsc items 8-13 (NA if edshvsc_percHvsFreq < 1),s1_r1_e1,Integer,"[0,20]",NA,NA,1,NA,code-instruments
edshvsc_percEdsEver,EDS (child report) ever/never percentage response,percentage of response for eds ever/never items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
edshvsc_percEdsFreq,EDS (child report) frequency percentage response,percentage of response for eds frequency items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
edshvsc_percEdsChron,EDS (child report) chronicity percentage response,percentage of response for eds chronicity items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
edshvsc_percHvsEver,HVS (child report) ever/never percentage response,percentage of response for hvs ever/never items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
edshvsc_percHvsFreq,HVS (child report) frequency percentage response,percentage of response for hvs frequency items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
