variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
edshvsp_i1,"EDS (parent report), question 1",Your child is treated with less courtesy or respect than other people.,s1_r1_e1,Integer,"5, 4, 3, 2, 1, 0","5, Almost everyday | 4, At least once a week | 3, A few times a month | 2, A few times a year | 1, Less than once a year | 0, Never",NA,1,NA,direct-redcap
edshvsp_i2,"EDS (parent report), question 2",Your child receives poorer service than other people at restaurants or stores.,s1_r1_e1,Integer,"5, 4, 3, 2, 1, 0","5, Almost everyday | 4, At least once a week | 3, A few times a month | 2, A few times a year | 1, Less than once a year | 0, Never",NA,1,NA,direct-redcap
edshvsp_i3,"EDS (parent report), question 3",People act as if they think your child is not smart.,s1_r1_e1,Integer,"5, 4, 3, 2, 1, 0","5, Almost everyday | 4, At least once a week | 3, A few times a month | 2, A few times a year | 1, Less than once a year | 0, Never",NA,1,NA,direct-redcap
edshvsp_i4,"EDS (parent report), question 4",People act as if they are afraid of your child.,s1_r1_e1,Integer,"5, 4, 3, 2, 1, 0","5, Almost everyday | 4, At least once a week | 3, A few times a month | 2, A few times a year | 1, Less than once a year | 0, Never",NA,1,NA,direct-redcap
edshvsp_i5,"EDS (parent report), question 5",Your child is threatened or harassed.,s1_r1_e1,Integer,"5, 4, 3, 2, 1, 0","5, Almost everyday | 4, At least once a week | 3, A few times a month | 2, A few times a year | 1, Less than once a year | 0, Never",NA,1,NA,direct-redcap
edshvsp_i6,"EDS (parent report), question 6","If you answered ""A few times a year"" or more frequently to at least one question above:

What do you think is the main reason for these experiences? (Check all that apply)",s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13","1, Your child's ancestry or national origins | 2, Your child's gender | 3, Your child's race | 4, Your child's age | 5, Your child's religion | 6, Your child's height | 7, Your child's weight | 8, Some other aspect of your child's physical appearance | 9, Your child's sexual orientation | 10, Your familiy's education or income level | 11, A physical disability | 12, Your child's shade of skin color | 13, Other (SPECIFY)",NA,1,NA,direct-redcap
edshvsp_i7,"EDS (parent report), question 7","If edshvsp_i6=Other, specification",s1_r1_e1,Char,text,NA,NA,1,NA,direct-redcap
edshvsp_i8,"HVS (parent report), question 1",Think in advance about the kinds of problems they are likely to experience?,s1_r1_e1,Integer,"4, 3, 2, 1, 0","4, Very often | 3, Fairly often | 2, Not too often | 1, Hardly ever | 0, Never",NA,1,NA,direct-redcap
edshvsp_i9,"HVS (parent report), question 2",Try to prepare for possible insults before leaving home?,s1_r1_e1,Integer,"4, 3, 2, 1, 0","4, Very often | 3, Fairly often | 2, Not too often | 1, Hardly ever | 0, Never",NA,1,NA,direct-redcap
edshvsp_i10,"HVS (parent report), question 3",Feel that they always have to be very careful about their appearance to get good service or avoid being harassed?,s1_r1_e1,Integer,"4, 3, 2, 1, 0","4, Very often | 3, Fairly often | 2, Not too often | 1, Hardly ever | 0, Never",NA,1,NA,direct-redcap
edshvsp_i11,"HVS (parent report), question 4",Carefully watch what they say and how they say it?,s1_r1_e1,Integer,"4, 3, 2, 1, 0","4, Very often | 3, Fairly often | 2, Not too often | 1, Hardly ever | 0, Never",NA,1,NA,direct-redcap
edshvsp_i12,"HVS (parent report), question 5",Carefully observe what happens around them?,s1_r1_e1,Integer,"4, 3, 2, 1, 0","4, Very often | 3, Fairly often | 2, Not too often | 1, Hardly ever | 0, Never",NA,1,NA,direct-redcap
edshvsp_i13,"HVS (parent report), question 6",Try to avoid certain social situations and places?,s1_r1_e1,Integer,"4, 3, 2, 1, 0","4, Very often | 3, Fairly often | 2, Not too often | 1, Hardly ever | 0, Never",NA,1,NA,direct-redcap
edshvsp_scrdEdsEver,EDS (parent report) ever/never score,count of edshvs items 1-5 that are >0 (NA if edshvs_percEdsEver < 1),s1_r1_e1,Integer,"[0,5]",NA,NA,1,NA,code-instruments
edshvsp_scrdEdsFreq,EDS (parent report) frequency score,sum of edshvsp items 1-5 (NA if edshvsp_percEdsFreq < 1),s1_r1_e1,Integer,"[0,25]",NA,NA,1,NA,code-instruments
edshvsp_scrdEdsChron,EDS (parent report) chronicity score,"sum of weighted responses to edshvsp items 1-5: 0≡0, 1≡0.5, 2≡3, 3≡36, 4≡104, 5≡260 (NA if edshvsp_scrdEdsChron < 1)",s1_r1_e1,Real,"[0,1300]",NA,NA,1,NA,code-instruments
edshvsp_scrdHvsEver,HVS (parent report) ever/never score,count of edshvsp items 8-13 that are >0 (NA if edshvsp_percHvsEver < 1),s1_r1_e1,Integer,"[0,5]",NA,NA,1,NA,code-instruments
edshvsp_scrdHvsFreq,HVS (parent report) frequency score,sum of edshvsp items 8-13 (NA if edshvsp_percHvsFreq < 1),s1_r1_e1,Integer,"[0,20]",NA,NA,1,NA,code-instruments
edshvsp_percEdsEver,EDS (parent report) ever/never percentage response,percentage of response for eds ever/never items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
edshvsp_percEdsFreq,EDS (parent report) frequency percentage response,percentage of response for eds frequency items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
edshvsp_percEdsChron,EDS (parent report) chronicity percentage response,percentage of response for eds chronicity items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
