measure,english,translated_esla,backtranslated_esla,reconciled_esla,final_esla,corrected_esla_2023-5
EDS-P,"Everyday Discrimination Scale (Short Version, Parent Report)","Escala de Discrimanción Diaria (Versión Corta, Reporte Para Los Padres)","Daily Discrimination Scale (Short version, Parent Report)","BACK: Would ""everyday"" also match the Spanish? --confirmed","Escala de Discrimanción Diaria (Versión Corta, Reporte Para Los Padres)",
EDS-P,In your child’s day-to-day life how often have any of the following things happened to them?,"En la vida diaria de su hijo/a, ¿con que frecuencia le ha sucedido alguna de las siguientes cosas?","In the daily life of your son/daughter, how often have any of the following things occurred to you?","BACK: Does the Spanish imply ""you""? -- no, back translator re-reviewed and revised to ""In the daily life of your son/daughter, how often have any of the following things occurred?""","En la vida diaria de su hijo/a, ¿con que frecuencia le ha sucedido alguna de las siguientes cosas?",
EDS-P,Almost everyday,Casi todos los días,Almost every day,,Casi todos los días,
EDS-P,At least once a week,Al menos una vez por semana,At least once a week,,Al menos una vez por semana,
EDS-P,A few times a month,Algunas veces al mes,A few times a month,,Algunas veces al mes,
EDS-P,A few times a year,Algunas veces al año,A few times a year,,Algunas veces al año,
EDS-P,Less than once a year,Menos de una vez al año,Less than once a year,,Menos de una vez al año,
EDS-P,Never,Nunca,Never,,Nunca,
EDS-P,Your child is treated with less courtesy or respect than other people.,Su hijo/a es tratado con menos cortesía o respeto que otras personas.,Your son/daughter is treated with less courtesy or respect than other people,,Su hijo/a es tratado con menos cortesía o respeto que otras personas.,
EDS-P,Your child receives poorer service than other people at restaurants or stores.,Su hijo/a recibe peor servicio que otras personas en un restaurante o en una tienda.,Your son/daughter has received worse service than other people in a restaurant or in a store,"BACK: Because of the use of the present perfect (""has received""), the wording sounds specific versus general; is this intentional? -- yes, the way it's written in the acutal spanish implies past action that has specifically happened --decision that Spanish is accurate as is",Su hijo/a recibe peor servicio que otras personas en un restaurante o en una tienda.,
EDS-P,People act as if they think your child is not smart.,La gente actúa como si pensaran que su hijo/a no es inteligente.,People act as if they think your son/daughter is not intelligent,,La gente actúa como si pensaran que su hijo/a no es inteligente.,
EDS-P,People act as if they are afraid of your child.,La gente actúa como si le tuvieran miedo a su hijo/a.,People act as if they are afraid of your son/daughter,,La gente actúa como si le tuvieran miedo a su hijo/a.,
EDS-P,Your child is threatened or harassed.,Su hijo es amenazado o acosado.,Your son has been threatened or harassed. ,"FORWARD: Missing ""daughter"".
BACK: Because of the use of the present perfect (""has been""), the wording sounds specific versus general; is this intentional? -- yes, the way it's written in the acutal spanish implies past action that has specifically happened; decision that Spanish is accurate as is",Su hijo/a es amenazado o acosado.,
EDS-P,"If you answered “A few times a year” or more frequently to at least one question above,
what do you think is the main reason for these experiences?",Preguntas de seguimiento (Preguntadas solo a los que respondieron “Un par de veces al año” o con más frecuencia a al menos una pregunta): ¿Cual crees que es la razón principal para estas experiencias?,"Follow-up questions (Ask them only if they responded ""A few times a year"" or higher frequency for at least one question). What do you think is the main reason for these experiences?",FORWARD: Format does not match English (looks like a discrepancy in the EDS self-report Spanish).,Si usted respondió “Algunas veces al año” o con más frecuencia a al menos una pregunta: ¿Cual crees que es la razón principal para estas experiencias?,
EDS-P,(Check all that apply.),(Marque todo lo que corresponda.),Mark all that corresponds,"BACK: Would ""applies"" match the Spanish? --confirmed",(Marque todo lo que corresponda.),
EDS-P,Your child’s ancestry or national origins,La ascendencia u origen nacional de su hijo/a,The ancestry or national origin of your son/daughter,,La ascendencia u origen nacional de su hijo/a,
EDS-P,Your child's gender,El género de su hijo/a,The gender of your son/daughter,,El género de su hijo/a,
EDS-P,Your child's race,La raza de su hijo/a,The race of your son/daughter,,La raza de su hijo/a,
EDS-P,Your child's age,La edad de su hijo/a,The age of your son/daughter,,La edad de su hijo/a,
EDS-P,Your child's religion,La religión de su hijo/a,The religion of your son/daughter,,La religión de su hijo/a,
EDS-P,Your child's height,La estatura de su hijo/a,The height of your son/daughter,,La estatura de su hijo/a,
EDS-P,Your child's weight,El peso de su hijo/a,The weight of your son/daughter,,El peso de su hijo/a,
