variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
edshvspes_i1,"EDS (parent report, Spanish), question 1",Su hijo/a es tratado con menos cortesía o respeto que otras personas.,s1_r1_e1,Integer,"5, 4, 3, 2, 1, 0","5, Casi todos los días | 4, Al menos una vez por semana | 3, Algunas veces al mes | 2, Algunas veces al año | 1, Menos de una vez al año | 0, Nunca",NA,1,NA,direct-redcap
edshvspes_i2,"EDS (parent report, Spanish), question 2",Su hijo/a recibe peor servicio que otras personas en un restaurante o en una tienda.,s1_r1_e1,Integer,"5, 4, 3, 2, 1, 0","5, Casi todos los días | 4, Al menos una vez por semana | 3, Algunas veces al mes | 2, Algunas veces al año | 1, Menos de una vez al año | 0, Nunca",NA,1,NA,direct-redcap
edshvspes_i3,"EDS (parent report, Spanish), question 3",La gente actúa como si pensaran que su hijo/a no es inteligente.,s1_r1_e1,Integer,"5, 4, 3, 2, 1, 0","5, Casi todos los días | 4, Al menos una vez por semana | 3, Algunas veces al mes | 2, Algunas veces al año | 1, Menos de una vez al año | 0, Nunca",NA,1,NA,direct-redcap
edshvspes_i4,"EDS (parent report, Spanish), question 4",La gente actúa como si le tuvieran miedo a su hijo/a.,s1_r1_e1,Integer,"5, 4, 3, 2, 1, 0","5, Casi todos los días | 4, Al menos una vez por semana | 3, Algunas veces al mes | 2, Algunas veces al año | 1, Menos de una vez al año | 0, Nunca",NA,1,NA,direct-redcap
edshvspes_i5,"EDS (parent report, Spanish), question 5",Su hijo/a es amenazado o acosado.,s1_r1_e1,Integer,"5, 4, 3, 2, 1, 0","5, Casi todos los días | 4, Al menos una vez por semana | 3, Algunas veces al mes | 2, Algunas veces al año | 1, Menos de una vez al año | 0, Nunca",NA,1,NA,direct-redcap
edshvspes_i6,"EDS (parent report, Spanish), question 6","Si usted respondió ""Algunas veces al año"" o con más frecuencia a al menos una pregunta:

¿Cual crees que es la razón principal para estas experiencias? (Marque todo lo que corresponda.)",s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13","1, La ascendencia u origen nacional de su hijo/a | 2, El género de su hijo/a | 3, La raza de su hijo/a | 4, La edad de su hijo/a | 5, La religión de su hijo/a | 6, La estatura de su hijo/a | 7, El peso de su hijo/a | 8, Un otro aspecto de la apariencia física de su hijo/a | 9, La orientación sexual de su hijo/a | 10, El nivel de educación o nivel de ingreso de su familia | 11, Una discapacidad física | 12, El tono de piel de su hijo/a | 13, Otro (Especifique)",NA,1,NA,direct-redcap
edshvspes_i7,"EDS (parent report, Spanish), question 7","If edshvspes_i6=Other, specification",s1_r1_e1,Char,text,NA,NA,1,NA,direct-redcap
edshvspes_i8,"HVS (parent report, Spanish), question 1",¿Piensa de antemano en los tipos de problemas que es probable que experimente?,s1_r1_e1,Integer,"4, 3, 2, 1, 0","4, Muy a menudo | 3, Bastante a menudo | 2, No tan a menudo | 1, Casi nunca | 0, Nunca",NA,1,NA,direct-redcap
edshvspes_i9,"HVS (parent report, Spanish), question 2",¿Intenta prepararse para posibles insultos antes de salir de casa?,s1_r1_e1,Integer,"4, 3, 2, 1, 0","4, Muy a menudo | 3, Bastante a menudo | 2, No tan a menudo | 1, Casi nunca | 0, Nunca",NA,1,NA,direct-redcap
edshvspes_i10,"HVS (parent report, Spanish), question 3",¿Siente que siempre tiene que tener mucho cuidado con su apariencia para recibir un buen servicio o evitar ser acosado?,s1_r1_e1,Integer,"4, 3, 2, 1, 0","4, Muy a menudo | 3, Bastante a menudo | 2, No tan a menudo | 1, Casi nunca | 0, Nunca",NA,1,NA,direct-redcap
edshvspes_i11,"HVS (parent report, Spanish), question 4",¿Observa cuidadosamente lo que dicen y cómo lo dicen?,s1_r1_e1,Integer,"4, 3, 2, 1, 0","4, Muy a menudo | 3, Bastante a menudo | 2, No tan a menudo | 1, Casi nunca | 0, Nunca",NA,1,NA,direct-redcap
edshvspes_i12,"HVS (parent report, Spanish), question 5",¿Observa cuidadosamente lo que sucede a su alrededor?,s1_r1_e1,Integer,"4, 3, 2, 1, 0","4, Muy a menudo | 3, Bastante a menudo | 2, No tan a menudo | 1, Casi nunca | 0, Nunca",NA,1,NA,direct-redcap
edshvspes_i13,"HVS (parent report, Spanish), question 6",¿Trata de evitar ciertas situaciones sociales y lugares?,s1_r1_e1,Integer,"4, 3, 2, 1, 0","4, Muy a menudo | 3, Bastante a menudo | 2, No tan a menudo | 1, Casi nunca | 0, Nunca",NA,1,NA,direct-redcap
edshvspes_scrdEdsEver,"EDS (parent report, Spanish) ever/never score",count of edshvspes items 1-5 that are >0 (NA if edshvspes_percEdsEver < 1),s1_r1_e1,Integer,"[0,5]",NA,NA,1,NA,code-instruments
edshvspes_scrdEdsFreq,"EDS (parent report, Spanish) frequency score",sum of edshvspes items 1-5 (NA if edshvspes_percEdsFreq < 1),s1_r1_e1,Integer,"[0,25]",NA,NA,1,NA,code-instruments
edshvspes_scrdEdsChron,"EDS (parent report, Spanish) chronicity score","sum of weighted responses to edshvspes items 1-5: 0≡0, 1≡0.5, 2≡3, 3≡36, 4≡104, 5≡260 (NA if edshvspes_scrdEdsChron < 1)",s1_r1_e1,Real,"[0,1300]",NA,NA,1,NA,code-instruments
edshvspes_scrdHvsEver,"HVS (parent report, Spanish) ever/never score",count of edshvspes items 8-13 that are >0 (NA if edshvspes_percHvsEver < 1),s1_r1_e1,Integer,"[0,5]",NA,NA,1,NA,code-instruments
edshvspes_scrdHvsFreq,"HVS (parent report, Spanish) frequency score",sum of edshvspes items 8-13 (NA if edshvspes_percHvsFreq < 1),s1_r1_e1,Integer,"[0,20]",NA,NA,1,NA,code-instruments
edshvspes_percEdsEver,"EDS (parent report, Spanish) ever/never percentage response",percentage of response for eds ever/never items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
edshvspes_percEdsFreq,"EDS (parent report, Spanish) frequency percentage response",percentage of response for eds frequency items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
