variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
eisbpes_i1,"EISB (parent version, Spanish), question 1",Tiene claro lo que significa su identidad étnica para él/ella.,s1_r1_e1,Integer,"1, 2, 3, 4","1, No se describe en absoluto mi hijo/a | 2, Se describe un poco mi hijo/a | 3, Se describe bien mi hijo/a | 4, Se describe muy bien mi hijo/a",NA,1,NA,direct-redcap
eisbpes_i2,"EISB (parent version, Spanish), question 2",Ha asistido a eventos que le han ayudado a aprender más acerca de su identidad étnica.,s1_r1_e1,Integer,"1, 2, 3, 4","1, No se describe en absoluto mi hijo/a | 2, Se describe un poco mi hijo/a | 3, Se describe bien mi hijo/a | 4, Se describe muy bien mi hijo/a",NA,1,NA,direct-redcap
eisbpes_i3,"EISB (parent version, Spanish), question 3",Ha leído libros/revistas/periódicos u otros materiales que le han enseñado acerca de su identidad étnica.,s1_r1_e1,Integer,"1, 2, 3, 4","1, No se describe en absoluto mi hijo/a | 2, Se describe un poco mi hijo/a | 3, Se describe bien mi hijo/a | 4, Se describe muy bien mi hijo/a",NA,1,NA,direct-redcap
eisbpes_i4,"EISB (parent version, Spanish), question 4",Se siente negativo/a acerca de su identidad étnica.,s1_r1_e1,Integer,"1, 2, 3, 4","1, No se describe en absoluto mi hijo/a | 2, Se describe un poco mi hijo/a | 3, Se describe bien mi hijo/a | 4, Se describe muy bien mi hijo/a",NA,1,NA,direct-redcap
eisbpes_i5,"EISB (parent version, Spanish), question 5",Quisiera ser de otra identidad étnica.,s1_r1_e1,Integer,"1, 2, 3, 4","1, No se describe en absoluto mi hijo/a | 2, Se describe un poco mi hijo/a | 3, Se describe bien mi hijo/a | 4, Se describe muy bien mi hijo/a",NA,1,NA,direct-redcap
eisbpes_i6,"EISB (parent version, Spanish), question 6",Sabe lo que su identidad étnica significa para él/ella.,s1_r1_e1,Integer,"1, 2, 3, 4","1, No se describe en absoluto mi hijo/a | 2, Se describe un poco mi hijo/a | 3, Se describe bien mi hijo/a | 4, Se describe muy bien mi hijo/a",NA,1,NA,direct-redcap
eisbpes_i7,"EISB (parent version, Spanish), question 7",Ha participado en actividades que le han enseñado acerca de su identidad étnica.,s1_r1_e1,Integer,"1, 2, 3, 4","1, No se describe en absoluto mi hijo/a | 2, Se describe un poco mi hijo/a | 3, Se describe bien mi hijo/a | 4, Se describe muy bien mi hijo/a",NA,1,NA,direct-redcap
eisbpes_i8,"EISB (parent version, Spanish), question 8",No le gusta su identidad étnica.,s1_r1_e1,Integer,"1, 2, 3, 4","1, No se describe en absoluto mi hijo/a | 2, Se describe un poco mi hijo/a | 3, Se describe bien mi hijo/a | 4, Se describe muy bien mi hijo/a",NA,1,NA,direct-redcap
eisbpes_i9,"EISB (parent version, Spanish), question 9",Tiene un sentido claro de lo que su identidad étnica significa para él/ella.,s1_r1_e1,Integer,"1, 2, 3, 4","1, No se describe en absoluto mi hijo/a | 2, Se describe un poco mi hijo/a | 3, Se describe bien mi hijo/a | 4, Se describe muy bien mi hijo/a",NA,1,NA,direct-redcap
eisbpes_scrdEx,"EISB (parent version, Spanish) exploration subscore","average of eisbpes items 2, 3, and 7 (NA if eisbpes_percEx < 0.8)",s1_r1_e1,Real,"[1,4]",NA,NA,1,NA,code-instruments
eisbpes_scrdRe,"EISB (parent version, Spanish) resolution subscore","average of eisbpes items 1, 6, and 9 (NA if eisbpes_percRe < 0.8)",s1_r1_e1,Real,"[1,4]",NA,NA,1,NA,code-instruments
eisbpes_scrdAf,"EISB (parent version, Spanish) affirmation subscore","average of eisbpes items 4*, 5*, and 8* after asterisked items are reversed (NA if eisbpes_percAf < 0.8)",s1_r1_e1,Real,"[1,4]",NA,NA,1,NA,code-instruments
eisbpes_percEx,"EISB (parent version, Spanish) exploration subscore percentage response",percentage of response for eisbpes exploration items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
eisbpes_percRe,"EISB (parent version, Spanish) resolution subscore percentage response",percentage of response for eisbpes resolution items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
eisbpes_percAf,"EISB (parent version, Spanish) affirmation subscore percentage response",percentage of response for eisbpes affirmation items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
