variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
eisbp_i1,"EISB (parent version), question 1",My child is clear about what their ethnicity means to them.,s1_r1_e1,Integer,"1, 2, 3, 4","1, Does not describe my child at all | 2, Describes my child a little | 3, Describes my child well | 4, Describes my child very well",NA,1,NA,direct-redcap
eisbp_i2,"EISB (parent version), question 2",My child has attended events that have helped them learn more about their ethnicity.,s1_r1_e1,Integer,"1, 2, 3, 4","1, Does not describe my child at all | 2, Describes my child a little | 3, Describes my child well | 4, Describes my child very well",NA,1,NA,direct-redcap
eisbp_i3,"EISB (parent version), question 3",My child has read books/magazines/newspapers or other materials that have taught them about their ethnicity.,s1_r1_e1,Integer,"1, 2, 3, 4","1, Does not describe my child at all | 2, Describes my child a little | 3, Describes my child well | 4, Describes my child very well",NA,1,NA,direct-redcap
eisbp_i4,"EISB (parent version), question 4",My child feels negatively about their ethnicity.,s1_r1_e1,Integer,"1, 2, 3, 4","1, Does not describe my child at all | 2, Describes my child a little | 3, Describes my child well | 4, Describes my child very well",NA,1,NA,direct-redcap
eisbp_i5,"EISB (parent version), question 5",My child wishes that they were of a different ethnicity.,s1_r1_e1,Integer,"1, 2, 3, 4","1, Does not describe my child at all | 2, Describes my child a little | 3, Describes my child well | 4, Describes my child very well",NA,1,NA,direct-redcap
eisbp_i6,"EISB (parent version), question 6",My child knows what their ethnicity means to them.,s1_r1_e1,Integer,"1, 2, 3, 4","1, Does not describe my child at all | 2, Describes my child a little | 3, Describes my child well | 4, Describes my child very well",NA,1,NA,direct-redcap
eisbp_i7,"EISB (parent version), question 7",My child has participated in activities that have taught them about their ethnicity.,s1_r1_e1,Integer,"1, 2, 3, 4","1, Does not describe my child at all | 2, Describes my child a little | 3, Describes my child well | 4, Describes my child very well",NA,1,NA,direct-redcap
eisbp_i8,"EISB (parent version), question 8",My child dislikes their ethnicity.,s1_r1_e1,Integer,"1, 2, 3, 4","1, Does not describe my child at all | 2, Describes my child a little | 3, Describes my child well | 4, Describes my child very well",NA,1,NA,direct-redcap
eisbp_i9,"EISB (parent version), question 9",My child has a clear sense of what their ethnicity means to them.,s1_r1_e1,Integer,"1, 2, 3, 4","1, Does not describe my child at all | 2, Describes my child a little | 3, Describes my child well | 4, Describes my child very well",NA,1,NA,direct-redcap
eisbp_scrdEx,EISB (parent version) exploration subscore,"average of eisbp items 2, 3, and 7 (NA if eisbp_percEx < 0.8)",s1_r1_e1,Real,"[1,4]",NA,NA,1,NA,code-instruments
eisbp_scrdRe,EISB (parent version) resolution subscore,"average of eisbp items 1, 6, and 9 (NA if eisbp_percRe < 0.8)",s1_r1_e1,Real,"[1,4]",NA,NA,1,NA,code-instruments
eisbp_scrdAf,EISB (parent version) affirmation subscore,"average of eisbp items 4*, 5*, and 8* after asterisked items are reversed (NA if eisbp_percAf < 0.8)",s1_r1_e1,Real,"[1,4]",NA,NA,1,NA,code-instruments
eisbp_percEx,EISB (parent version) exploration subscore percentage response,percentage of response for eisbp exploration items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
eisbp_percRe,EISB (parent version) resolution subscore percentage response,percentage of response for eisbp resolution items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
eisbp_percAf,EISB (parent version) affirmation subscore percentage response,percentage of response for eisbp affirmation items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
