variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
eisb_i1,"EISB, question 1",I am clear about what my ethnicity means to me.,s1_r1_e1,Integer,"1, 2, 3, 4","1, Does not describe me at all | 2, Describes me a little | 3, Describes me well | 4, Describes me very well",NA,1,NA,direct-redcap
eisb_i2,"EISB, question 2",I have attended events that have helped me learn more about my ethnicity.,s1_r1_e1,Integer,"1, 2, 3, 4","1, Does not describe me at all | 2, Describes me a little | 3, Describes me well | 4, Describes me very well",NA,1,NA,direct-redcap
eisb_i3,"EISB, question 3",I have read books/magazines/newspapers or other materials that have taught me about my ethnicity.,s1_r1_e1,Integer,"1, 2, 3, 4","1, Does not describe me at all | 2, Describes me a little | 3, Describes me well | 4, Describes me very well",NA,1,NA,direct-redcap
eisb_i4,"EISB, question 4",I feel negatively about my ethnicity.,s1_r1_e1,Integer,"1, 2, 3, 4","1, Does not describe me at all | 2, Describes me a little | 3, Describes me well | 4, Describes me very well",NA,1,NA,direct-redcap
eisb_i5,"EISB, question 5",I wish I were of a different ethnicity.,s1_r1_e1,Integer,"1, 2, 3, 4","1, Does not describe me at all | 2, Describes me a little | 3, Describes me well | 4, Describes me very well",NA,1,NA,direct-redcap
eisb_i6,"EISB, question 6",I know what my ethnicity means to me.,s1_r1_e1,Integer,"1, 2, 3, 4","1, Does not describe me at all | 2, Describes me a little | 3, Describes me well | 4, Describes me very well",NA,1,NA,direct-redcap
eisb_i7,"EISB, question 7",I have participated in activities that have taught me about my ethnicity.,s1_r1_e1,Integer,"1, 2, 3, 4","1, Does not describe me at all | 2, Describes me a little | 3, Describes me well | 4, Describes me very well",NA,1,NA,direct-redcap
eisb_i8,"EISB, question 8",I dislike my ethnicity.,s1_r1_e1,Integer,"1, 2, 3, 4","1, Does not describe me at all | 2, Describes me a little | 3, Describes me well | 4, Describes me very well",NA,1,NA,direct-redcap
eisb_i9,"EISB, question 9",I have a clear sense of what my ethnicity means to me.,s1_r1_e1,Integer,"1, 2, 3, 4","1, Does not describe me at all | 2, Describes me a little | 3, Describes me well | 4, Describes me very well",NA,1,NA,direct-redcap
eisb_scrdEx,EISB exploration subscore,"average of eisb items 2, 3, and 7 (NA if eisb_percEx < 0.8)",s1_r1_e1,Real,"[1,4]",NA,NA,1,NA,code-instruments
eisb_scrdRe,EISB resolution subscore,"average of eisb items 1, 6, and 9 (NA if eisb_percRe < 0.8)",s1_r1_e1,Real,"[1,4]",NA,NA,1,NA,code-instruments
eisb_scrdAf,EISB affirmation subscore,"average of eisb items 4*, 5*, and 8* after asterisked items are reversed (NA if eisb_percAf < 0.8)",s1_r1_e1,Real,"[1,4]",NA,NA,1,NA,code-instruments
eisb_percEx,EISB exploration subscore percentage response,percentage of response for eisb exploration items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
eisb_percRe,EISB resolution subscore percentage response,percentage of response for eisb resolution items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
eisb_percAf,EISB affirmation subscore percentage response,percentage of response for eisb affirmation items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
