variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
erqca_i1,"ERQ (Child/Adolescent Version), question 1","When I want to feel happier, I think about something different",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, strongly disagree | 2, disagree | 3, half and half | 4, agree | 5, strongly agree",NA,1,NA,direct-redcap
erqca_i2,"ERQ (Child/Adolescent Version), question 2",I keep my feelings to myself,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, strongly disagree | 2, disagree | 3, half and half | 4, agree | 5, strongly agree",NA,1,NA,direct-redcap
erqca_i3,"ERQ (Child/Adolescent Version), question 3","When I want to feel less bad (e.g., sad, angry, or worried), I think about something different",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, strongly disagree | 2, disagree | 3, half and half | 4, agree | 5, strongly agree",NA,1,NA,direct-redcap
erqca_i4,"ERQ (Child/Adolescent Version), question 4","When I am feeling happy, I am careful not to show it",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, strongly disagree | 2, disagree | 3, half and half | 4, agree | 5, strongly agree",NA,1,NA,direct-redcap
erqca_i5,"ERQ (Child/Adolescent Version), question 5","When I'm worried about something, I make myself think about it in a way that helps me feel better",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, strongly disagree | 2, disagree | 3, half and half | 4, agree | 5, strongly agree",NA,1,NA,direct-redcap
erqca_i6,"ERQ (Child/Adolescent Version), question 6",I control my feelings by not showing them,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, strongly disagree | 2, disagree | 3, half and half | 4, agree | 5, strongly agree",NA,1,NA,direct-redcap
erqca_i7,"ERQ (Child/Adolescent Version), question 7","When I want to feel happier about something, I change the way I'm thinking about it",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, strongly disagree | 2, disagree | 3, half and half | 4, agree | 5, strongly agree",NA,1,NA,direct-redcap
erqca_i8,"ERQ (Child/Adolescent Version), question 8",I control my feelings about things by changing the way I think about them,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, strongly disagree | 2, disagree | 3, half and half | 4, agree | 5, strongly agree",NA,1,NA,direct-redcap
erqca_i9,"ERQ (Child/Adolescent Version), question 9","When I'm feeling bad (e.g., sad, angry, or worried), I'm careful not to show it",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, strongly disagree | 2, disagree | 3, half and half | 4, agree | 5, strongly agree",NA,1,NA,direct-redcap
erqca_i10,"ERQ (Child/Adolescent Version), question 10","When I want to feel less bad (e.g., sad, angry, or worried) about something, I change the way I'm thinking about it",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, strongly disagree | 2, disagree | 3, half and half | 4, agree | 5, strongly agree",NA,1,NA,direct-redcap
erqca_scrdCogRea,ERQ (Child/Adolescent Version) cognitive reappraisal subscore,"sum of erqca items 1, 3, 5, 7, 8, and 10 (NA if erqca_percCogRea < 1)",s1_r1_e1,Real,"[6,30]",NA,NA,1,NA,code-instruments
erqca_scrdExpSup,ERQ (Child/Adolescent Version) expressive suppression subscore,"sum of erqca items 2, 4, 6, and 9 (NA if erqca_percExpSup < 1)",s1_r1_e1,Real,"[4,20]",NA,NA,1,NA,code-instruments
erqca_percCogRea,ERQ (Child/Adolescent Version) cognitive reappraisal percentage response,percentage of response for erqca cognitive reappraisal items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
erqca_percExpSup,ERQ (Child/Adolescent Version) expressive suppression percentage response,percentage of response for erqca expressive suppression items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
