variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
erqes_i1,"ERQ (Spanish version), question 1","Cuando quiero incrementar mis emociones positivas (p.ej. alegría, diversión), cambio el tema sobre el que estoy pensando.",s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Muy en desacuerdo | 2, | 3, | 4, Neutral | 5, | 6, | 7, Muy de acuerdo",NA,1,NA,direct-redcap
erqes_i2,"ERQ (Spanish version), question 2",Guardo mis emociones para mí mismo.,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Muy en desacuerdo | 2, | 3, | 4, Neutral | 5, | 6, | 7, Muy de acuerdo",NA,1,NA,direct-redcap
erqes_i3,"ERQ (Spanish version), question 3","Cuando quiero reducir mis emociones negativas (p.ej. tristeza, enfado), cambio el tema sobre el que estoy pensando.",s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Muy en desacuerdo | 2, | 3, | 4, Neutral | 5, | 6, | 7, Muy de acuerdo",NA,1,NA,direct-redcap
erqes_i4,"ERQ (Spanish version), question 4","Cuando estoy sintiendo emociones positivas, tengo cuidado de no expresarlas.",s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Muy en desacuerdo | 2, | 3, | 4, Neutral | 5, | 6, | 7, Muy de acuerdo",NA,1,NA,direct-redcap
erqes_i5,"ERQ (Spanish version), question 5","Cuando me enfrento a una situación estresante, intento pensar en ella de un modo que me ayude a mantener la calma.",s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Muy en desacuerdo | 2, | 3, | 4, Neutral | 5, | 6, | 7, Muy de acuerdo",NA,1,NA,direct-redcap
erqes_i6,"ERQ (Spanish version), question 6",Controlo mis emociones no expresándolas.,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Muy en desacuerdo | 2, | 3, | 4, Neutral | 5, | 6, | 7, Muy de acuerdo",NA,1,NA,direct-redcap
erqes_i7,"ERQ (Spanish version), question 7","Cuando quiero incrementar mis emociones positivas, cambio mi manera de pensar sobre la situación.",s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Muy en desacuerdo | 2, | 3, | 4, Neutral | 5, | 6, | 7, Muy de acuerdo",NA,1,NA,direct-redcap
erqes_i8,"ERQ (Spanish version), question 8",Controlo mis emociones cambiando mi forma de pensar sobre la situación en la que me encuentro.,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Muy en desacuerdo | 2, | 3, | 4, Neutral | 5, | 6, | 7, Muy de acuerdo",NA,1,NA,direct-redcap
erqes_i9,"ERQ (Spanish version), question 9","Cuando estoy sintiendo emociones negativas, me aseguro de no expresarlas.",s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Muy en desacuerdo | 2, | 3, | 4, Neutral | 5, | 6, | 7, Muy de acuerdo",NA,1,NA,direct-redcap
erqes_i10,"ERQ (Spanish version), question 10","Cuando quiero reducir mis emociones negativas, cambio mi manera de pensar sobre la situación.",s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Muy en desacuerdo | 2, | 3, | 4, Neutral | 5, | 6, | 7, Muy de acuerdo",NA,1,NA,direct-redcap
erqes_scrdCogRea,ERQ (Spanish version) cognitive reappraisal subscore,"average of erqes items 1, 3, 5, 7, 8, and 10 (NA if erqes_percCogRea < 0.8)",s1_r1_e1,Real,"[1,7]",NA,NA,1,NA,code-instruments
erqes_scrdExpSup,ERQ (Spanish version) expressive suppression subscore,"average of erqes items 2, 4, 6, and 9 (NA if erqes_percExpSup < 0.8)",s1_r1_e1,Real,"[1,7]",NA,NA,1,NA,code-instruments
erqes_percCogRea,ERQ (Spanish version) cognitive reappraisal percentage response,percentage of response for erqes cognitive reappraisal items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
erqes_percExpSup,ERQ (Spanish version) expressive suppression percentage response,percentage of response for erqes expressive suppression items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
