measure,english,eseu,draft_esla,revised_esla,final_esla
ERQ,Emotion Regulation Questionnaire (ERQ),,Cuestionario de Regulación de Emociones,N/A,Cuestionario de Regulación de Emociones
ERQ,"We would like to ask you some questions about your emotional life, in particular, how you control (that is, regulate and manage) your emotions. The questions below involve two distinct aspects of your emotional life. One is your emotional experience, or what you feel like inside. The other is your emotional expression, or how you show your emotions in the way you talk, gesture, or behave. Although some of the following questions may seem similar to one another, they differ in important ways.",,"Nos gustaría hacerle algunas preguntas sobre su vida emocional, en particular, cómo usted controla (entiéndase regular y manejar) sus emociones. Las preguntas a continuación involucran dos aspectos distintos de su vida emocional. Una es su experiencia emocional, o cómo se siente por dentro. La otra es su expresión emocional, o cómo muestra sus emociones en su forma de hablar, gesticular, o comportarse. Aunque algunas de las siguientes preguntas parezcan similares, se diferencian en formas importantes.",N/A,"Nos gustaría hacerle algunas preguntas sobre su vida emocional, en particular, cómo usted controla (entiéndase regular y manejar) sus emociones. Las preguntas a continuación involucran dos aspectos distintos de su vida emocional. Una es su experiencia emocional, o cómo se siente por dentro. La otra es su expresión emocional, o cómo muestra sus emociones en su forma de hablar, gesticular, o comportarse. Aunque algunas de las siguientes preguntas parezcan similares, se diferencian en formas importantes."
ERQ,"1, Strongly disagree | 2,  | 3,  | 4, Neutral | 5,  | 6,  | 7, Strongly agree",,"1, Muy de acuerdo | 2, | 3, | 4, Neutral | 5, | 6, | 7, Muy en desacuerdo","1, Muy en desacuerdo | 2, | 3, | 4, Neutral | 5, | 6, | 7, Muy de acuerdo","1, Muy en desacuerdo | 2, | 3, | 4, Neutral | 5, | 6, | 7, Muy de acuerdo"
ERQ,"When I want to feel more positive emotion (such as joy or amusement), I change what I'm thinking about.","Cuando quiero incrementar mis emociones positivas (p.ej. alegría, diversión), cambio el tema sobre el que estoy pensando.","Cuando quiero incrementar mis emociones positivas (p.ej. alegría, diversión), cambio el tema sobre el que estoy pensando.",N/A,"Cuando quiero incrementar mis emociones positivas (p.ej. alegría, diversión), cambio el tema sobre el que estoy pensando."
ERQ,I keep my emotions to myself.,Guardo mis emociones para mí mismo.,Guardo mis emociones para mí mismo.,N/A,Guardo mis emociones para mí mismo.
ERQ,"When I want to feel less negative emotion (such as sadness or anger), I change what I'm thinking about.","Cuando quiero reducir mis emociones negativas (p.ej. tristeza, enfado), cambio el tema sobre el que estoy pensando.","Cuando quiero reducir mis emociones negativas (p.ej. tristeza, enfado), cambio el tema sobre el que estoy pensando.",N/A,"Cuando quiero reducir mis emociones negativas (p.ej. tristeza, enfado), cambio el tema sobre el que estoy pensando."
ERQ,"When I am feeling positive emotions, I am careful not to express them.","Cuando estoy sintiendo emociones positivas, tengo cuidado de no expresarlas.","Cuando estoy sintiendo emociones positivas, tengo cuidado de no expresarlas.",N/A,"Cuando estoy sintiendo emociones positivas, tengo cuidado de no expresarlas."
ERQ,"When I'm faced with a stressful situation, I make myself think about it in a way that helps me stay calm.","Cuando me enfrento a una situación estresante, intento pensar en ella de un modo que me ayude a mantener la calma.","Cuando me enfrento a una situación estresante, intento pensar en ella de un modo que me ayude a mantener la calma.",N/A,"Cuando me enfrento a una situación estresante, intento pensar en ella de un modo que me ayude a mantener la calma."
ERQ,I control my emotions by not expressing them.,Controlo mis emociones no expresándolas.,Controlo mis emociones no expresándolas.,N/A,Controlo mis emociones al no expresarlas.
ERQ,"When I want to feel more positive emotion, I change the way I'm thinking about the situation.","Cuando quiero incrementar mis emociones positivas, cambio mi manera de pensar sobre la situación.","Cuando quiero incrementar mis emociones positivas, cambio mi manera de pensar sobre la situación.",N/A,"Cuando quiero incrementar mis emociones positivas, cambio mi manera de pensar sobre la situación."
ERQ,I control my emotions by changing the way I think about the situation I'm in.,Controlo mis emociones cambiando mi forma de pensar sobre la situación en la que me encuentro.,Controlo mis emociones cambiando mi forma de pensar sobre la situación en la que me encuentro.,N/A,Controlo mis emociones cambiando mi forma de pensar sobre la situación en la que me encuentro.
ERQ,"When I am feeling negative emotions, I make sure not to express them.","Cuando estoy sintiendo emociones negativas, me aseguro de no expresarlas.","Cuando estoy sintiendo emociones negativas, me aseguro de no expresarlas.",N/A,"Cuando estoy sintiendo emociones negativas, me aseguro de no expresarlas."
ERQ,"When I want to feel less negative emotion, I change the way I'm thinking about the situation.","Cuando quiero reducir mis emociones negativas, cambio mi manera de pensar sobre la situación.","Cuando quiero reducir mis emociones negativas, cambio mi manera de pensar sobre la situación.",N/A,"Cuando quiero reducir mis emociones negativas, cambio mi manera de pensar sobre la situación."
