measure,english,draft_esla,revised_esla,esla_for_backtrans,backtranslated_esla,reconciled_esla,final_esla
ESI-P,Parent Report on Child Error Sensitivity Index,Índice de Reporte Parental sobre Sensibilidad de Errores del Niño/a,N/A,Índice de Reporte Parental sobre Sensibilidad de Errores del Niño/a,Parent Report of Child Sensitivity to Errors Index,N/A,Índice de Reporte Parental sobre Sensibilidad de Errores del Niño/a
ESI-P,not at all,Para nada de acuerdo,N/A,Para nada de acuerdo,Do not agree,totally different framework,Para nada
ESI-P,somewhat,Un poco,N/A,Un poco,Slightly agree,totally different framework,Un poco
ESI-P,a lot,Muy de acuerdo,N/A,Muy de acuerdo,Mostly agree,totally different framework,Mucho
ESI-P,"When my child makes a mistake, they feel upset.","Cuando mi niño/a comete un error, él/ella se siente disgustado/a.",N/A,"Cuando mi niño/a comete un error, él/ella se siente disgustado/a.","When my child makes a mistake, he/she feels upset.",N/A,"Cuando mi niño/a comete un error, él/ella se siente disgustado/a."
ESI-P,"When my child makes a mistake, their stomach feels sick.","Cuando mi niño/a comete un error, él/ella se siente mal del estómago.",N/A,"Cuando mi niño/a comete un error, él/ella se siente mal del estómago.","When my child makes a mistake, he/she feels sick to his/her stomach.",N/A,"Cuando mi niño/a comete un error, él/ella se siente mal del estómago."
ESI-P,"When my child makes a mistake, they always want to fix it.","Cuando mi niño/a comete un error, él/ella siempre quiere arreglarlo.",N/A,"Cuando mi niño/a comete un error, él/ella siempre quiere arreglarlo.","When my child makes a mistake, he/she always wants to fix it.",N/A,"Cuando mi niño/a comete un error, él/ella siempre quiere arreglarlo."
ESI-P,"When someone notices that my child made a mistake, my child feels upset.","Cuando alguien nota que mi niño/a cometió un error, mi niño/a se siente disgustado/a.",N/A,"Cuando alguien nota que mi niño/a cometió un error, mi niño/a se siente disgustado/a.","When someone notices that my child made a mistake, my child feels upset.",N/A,"Cuando alguien nota que mi niño/a cometió un error, mi niño/a se siente disgustado/a."
ESI-P,My child is afraid of making mistakes in front of other people.,Mi niño/a tiene miedo a cometer errores frente a otras personas,N/A,Mi niño/a tiene miedo a cometer errores frente a otras personas,My child is afraid of making mistakes in front of other people.,N/A,Mi niño/a tiene miedo a cometer errores frente a otras personas.
ESI-P,My child likes to do things perfectly.,A mi niño/a le gusta hacer las cosas perfectamente.,N/A,A mi niño/a le gusta hacer las cosas perfectamente.,My child likes to do things perfectly.,N/A,A mi niño/a le gusta hacer las cosas perfectamente.
ESI-P,My child feels upset when other people do not like what they have done.,Mi niño/a se siente disgustado/a cuando a otras personas no les gusta lo que él/ella hizo.,N/A,Mi niño/a se siente disgustado/a cuando a otras personas no les gusta lo que él/ella hizo.,My child feels upset when other people don't like what he/she did.,N/A,Mi niño/a se siente disgustado/a cuando a otras personas no les gusta lo que él/ella hizo.
ESI-P,"When my child makes a mistake, they feel anxious.","Cuando mi niño/a comete un error, se siente ansioso/a.",N/A,"Cuando mi niño/a comete un error, se siente ansioso/a.","When my child makes a mistake, he/she feels anxious.",N/A,"Cuando mi niño/a comete un error, se siente ansioso/a."
ESI-P,"When my child makes a mistake, they start sweating or blushing.  ","Cuando mi niño/a comete un error, comienza a sudar o sonrrojarse.",N/A,"Cuando mi niño/a comete un error, comienza a sudar o sonrrojarse.","When my child makes a mistake, he/she starts to sweat or blush.",N/A,"Cuando mi niño/a comete un error, comienza a sudar o sonrrojarse."
