variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
fasap_i1,"FASA (parent report), question 1",How often did you reassure your child?,s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Never | 1, 1-3 times a month | 2, 1-2 times a week | 3, 3-6 times a week | 4, Daily",NA,1,NA,direct-redcap
fasap_i2,"FASA (parent report), question 2",How often did you provide items needed because of anxiety?,s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Never | 1, 1-3 times a month | 2, 1-2 times a week | 3, 3-6 times a week | 4, Daily",NA,1,NA,direct-redcap
fasap_i3,"FASA (parent report), question 3",How often did you participate in behaviors related to your child's anxiety?,s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Never | 1, 1-3 times a month | 2, 1-2 times a week | 3, 3-6 times a week | 4, Daily",NA,1,NA,direct-redcap
fasap_i4,"FASA (parent report), question 4",How often did you assist your child in avoiding things that might make him/her more anxious?,s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Never | 1, 1-3 times a month | 2, 1-2 times a week | 3, 3-6 times a week | 4, Daily",NA,1,NA,direct-redcap
fasap_i5,"FASA (parent report), question 5","Have you avoided doing things, going places or being with people because of your child's anxiety?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Never | 1, 1-3 times a month | 2, 1-2 times a week | 3, 3-6 times a week | 4, Daily",NA,1,NA,direct-redcap
fasap_i6,"FASA (parent report), question 6",Have you modified your family routine because  of your child's symptoms?,s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Never | 1, 1-3 times a month | 2, 1-2 times a week | 3, 3-6 times a week | 4, Daily",NA,1,NA,direct-redcap
fasap_i7,"FASA (parent report), question 7",Have you had to do things that would usually be your child's responsibility?,s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Never | 1, 1-3 times a month | 2, 1-2 times a week | 3, 3-6 times a week | 4, Daily",NA,1,NA,direct-redcap
fasap_i8,"FASA (parent report), question 8",Have you modified your work schedule because of your child's anxiety?,s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Never | 1, 1-3 times a month | 2, 1-2 times a week | 3, 3-6 times a week | 4, Daily",NA,1,NA,direct-redcap
fasap_i9,"FASA (parent report), question 9",Have you modified your leisure activities because of your child's anxiety?,s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Never | 1, 1-3 times a month | 2, 1-2 times a week | 3, 3-6 times a week | 4, Daily",NA,1,NA,direct-redcap
fasap_i10,"FASA (parent report), question 10",Does helping your child in these ways cause you distress?,s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, No | 1, Mild | 2, Moderate | 3, Severe | 4, Extreme",NA,1,NA,direct-redcap
fasap_i11,"FASA (parent report), question 11",Has your child become distressed when you have not provided assistance? To what degree?,s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, No | 1, Mild | 2, Moderate | 3, Severe | 4, Extreme",NA,1,NA,direct-redcap
fasap_i12,"FASA (parent report), question 12",Has your child become angry/abusive when you have not provided assistance? To what degree?,s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, No | 1, Mild | 2, Moderate | 3, Severe | 4, Extreme",NA,1,NA,direct-redcap
fasap_i13,"FASA (parent report), question 13",Has your child's anxiety been worse when you have not provided assistance? How much worse?,s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, No | 1, Mild | 2, Moderate | 3, Severe | 4, Extreme",NA,1,NA,direct-redcap
fasap_scrdAcc,FASA (parent report) accommodation subscore,"sum of fasap items 1, 2, 3, 4, 5, 6, 7, 8, and 9 (NA if fasap_percAcc < 1)",s1_r1_e1,Integer,"[0,36]",NA,NA,1,NA,code-instruments
fasap_scrdPart,FASA (parent report) participation subscore,"sum of fasap items 1, 2, 3, 4, and 5 (NA if fasap_percPart < 1)",s1_r1_e1,Integer,"[0,20]",NA,NA,1,NA,code-instruments
fasap_scrdMod,FASA (parent report) modification subscore,"sum of fasap items 6, 7, 8, and 9 (NA if fasap_percMod < 1)",s1_r1_e1,Integer,"[0,16]",NA,NA,1,NA,code-instruments
fasap_scrdDist,FASA (parent report) distress subscore,score for fasap item 10 (NA if fasap_percDist < 1),s1_r1_e1,Integer,"[0,4]",NA,NA,1,NA,code-instruments
fasap_scrdCons,FASA (parent report) consequences subscore,"sum of fasap items 11, 12, and 13 (NA if fasap_percCons < 1)",s1_r1_e1,Integer,"[0,12]",NA,NA,1,NA,code-instruments
fasap_percAcc,FASA (parent report) accommodation percentage response,percentage of response for fasap accommodation items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
fasap_percPart,FASA (parent report) participation percentage response,percentage of response for fasap participation items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
fasap_percMod,FASA (parent report) modification percentage response,percentage of response for fasap modification items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
fasap_percDist,FASA (parent report) distress percentage response,percentage of response for fasap distress items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
fasap_percCons,FASA (parent report) consequences percentage response,percentage of response for fasap consequences items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
