variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
fasapes_i1,"FASA (parent report, Spanish), question 1",¿Con cuánta frecuencia tranquiliza a su hijo/a?,s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Nunca | 1, 1-3 veces por mes | 2, 1-2 veces por semana | 3, 3-6 veces por semana | 4, A diario",NA,1,NA,direct-redcap
fasapes_i2,"FASA (parent report, Spanish), question 2",¿Con qué frecuencia proporcionó elementos que su hijo/a necesitaba por la ansiedad? ,s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Nunca | 1, 1-3 veces por mes | 2, 1-2 veces por semana | 3, 3-6 veces por semana | 4, A diario",NA,1,NA,direct-redcap
fasapes_i3,"FASA (parent report, Spanish), question 3",¿Con qué frecuencia participó en conductas relacionadas a la ansiedad de su hijo/a?,s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Nunca | 1, 1-3 veces por mes | 2, 1-2 veces por semana | 3, 3-6 veces por semana | 4, A diario",NA,1,NA,direct-redcap
fasapes_i4,"FASA (parent report, Spanish), question 4",¿Con qué frecuencia ayudo a su hijo/a a evitar las cosas que le producían ansiedad? ,s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Nunca | 1, 1-3 veces por mes | 2, 1-2 veces por semana | 3, 3-6 veces por semana | 4, A diario",NA,1,NA,direct-redcap
fasapes_i5,"FASA (parent report, Spanish), question 5","¿Ha evitado hacer cosas, ir a sitios o gente por la ansiedad de su hijo/a?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Nunca | 1, 1-3 veces por mes | 2, 1-2 veces por semana | 3, 3-6 veces por semana | 4, A diario",NA,1,NA,direct-redcap
fasapes_i6,"FASA (parent report, Spanish), question 6",¿Ha modificado la rutina de su familia por los síntomas de su hijo/a?,s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Nunca | 1, 1-3 veces por mes | 2, 1-2 veces por semana | 3, 3-6 veces por semana | 4, A diario",NA,1,NA,direct-redcap
fasapes_i7,"FASA (parent report, Spanish), question 7",¿Ha tenido que hacer cosas que usualmente serían la responsabilidad de su hijo/a?,s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Nunca | 1, 1-3 veces por mes | 2, 1-2 veces por semana | 3, 3-6 veces por semana | 4, A diario",NA,1,NA,direct-redcap
fasapes_i8,"FASA (parent report, Spanish), question 8",¿Ha modificado su horario de trabajo por la ansiedad de su hijo/a?,s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Nunca | 1, 1-3 veces por mes | 2, 1-2 veces por semana | 3, 3-6 veces por semana | 4, A diario",NA,1,NA,direct-redcap
fasapes_i9,"FASA (parent report, Spanish), question 9",¿Ha modificado sus actividades de ocio por la ansiedad de su hijo/a?,s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Nunca | 1, 1-3 veces por mes | 2, 1-2 veces por semana | 3, 3-6 veces por semana | 4, A diario",NA,1,NA,direct-redcap
fasapes_i10,"FASA (parent report, Spanish), question 10",¿El ayudar a su hijo/a de estas maneras le causa angustia?,s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, No | 1, Leves | 2, Moderadas | 3, Severas | 4, Extremas",NA,1,NA,direct-redcap
fasapes_i11,"FASA (parent report, Spanish), question 11",¿Se ha angustiado su hijo/a cuando no le ha proporcianado asistencia? ¿En que grado?,s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, No | 1, Leves | 2, Moderadas | 3, Severas | 4, Extremas",NA,1,NA,direct-redcap
fasapes_i12,"FASA (parent report, Spanish), question 12",¿Su hijo/a se ha enfadado o vuelto abusivo cuando no le ha proporcioando asistencia? ¿En qué grado?,s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, No | 1, Leves | 2, Moderadas | 3, Severas | 4, Extremas",NA,1,NA,direct-redcap
fasapes_i13,"FASA (parent report, Spanish), question 13",¿La ansiedad de su hijo/a ha empeorado cuando no le ha proporcionado asistencia? ¿Cuánto peor?,s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, No | 1, Leves | 2, Moderadas | 3, Severas | 4, Extremas",NA,1,NA,direct-redcap
fasapes_scrdAcc,"FASA (parent report, Spanish) accommodation subscore","sum of fasapes items 1, 2, 3, 4, 5, 6, 7, 8, and 9 (NA if fasapes_percAcc < 1)",s1_r1_e1,Integer,"[0,36]",NA,NA,1,NA,code-instruments
fasapes_scrdPart,"FASA (parent report, Spanish) participation subscore","sum of fasapes items 1, 2, 3, 4, and 5 (NA if fasapes_percPart < 1)",s1_r1_e1,Integer,"[0,20]",NA,NA,1,NA,code-instruments
fasapes_scrdMod,"FASA (parent report, Spanish) modification subscore","sum of fasapes items 6, 7, 8, and 9 (NA if fasapes_percMod < 1)",s1_r1_e1,Integer,"[0,16]",NA,NA,1,NA,code-instruments
fasapes_scrdDist,"FASA (parent report, Spanish) distress subscore",score for fasapes item 10 (NA if fasapes_percDist < 1),s1_r1_e1,Integer,"[0,4]",NA,NA,1,NA,code-instruments
fasapes_scrdCons,"FASA (parent report, Spanish) consequences subscore","sum of fasapes items 11, 12, and 13 (NA if fasapes_percCons < 1)",s1_r1_e1,Integer,"[0,12]",NA,NA,1,NA,code-instruments
fasapes_percAcc,"FASA (parent report, Spanish) accommodation percentage response",percentage of response for fasapes accommodation items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
fasapes_percPart,"FASA (parent report, Spanish) participation percentage response",percentage of response for fasapes participation items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
fasapes_percMod,"FASA (parent report, Spanish) modification percentage response",percentage of response for fasapes modification items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
fasapes_percDist,"FASA (parent report, Spanish) distress percentage response",percentage of response for fasapes distress items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
fasapes_percCons,"FASA (parent report, Spanish) consequences percentage response",percentage of response for fasapes consequences items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
