variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
fpep_i1,"FPE (parent report), question 1","My child is uncomfortable exhibiting their talents to others, even if they think their talents will impress them.",s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Not at all True | 1,  | 2,  | 3,  | 4, Somewhat True | 5, | 6,  | 7,  | 8,  | 9, Very True",NA,1,NA,direct-redcap
fpep_i2,"FPE (parent report), question 2",It would make my child anxious to receive a compliment from someone that they were attracted to.,s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Not at all True | 1,  | 2,  | 3,  | 4, Somewhat True | 5, | 6,  | 7,  | 8,  | 9, Very True",NA,1,NA,direct-redcap
fpep_i3,"FPE (parent report), question 3",My child tries to choose clothes that will give people little impression of what they are like.,s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Not at all True | 1,  | 2,  | 3,  | 4, Somewhat True | 5, | 6,  | 7,  | 8,  | 9, Very True",NA,1,NA,direct-redcap
fpep_i4,"FPE (parent report), question 4",My child feels uneasy when they receive praise from authority figures.,s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Not at all True | 1,  | 2,  | 3,  | 4, Somewhat True | 5, | 6,  | 7,  | 8,  | 9, Very True",NA,1,NA,direct-redcap
fpep_i5,"FPE (parent report), question 5","If my child has something to say that they think a group will find interesting, they typically say it.",s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Not at all True | 1,  | 2,  | 3,  | 4, Somewhat True | 5, | 6,  | 7,  | 8,  | 9, Very True",NA,1,NA,direct-redcap
fpep_i6,"FPE (parent report), question 6",My child would rather receive a compliment from someone when they were alone with that person than when in the presence of others.,s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Not at all True | 1,  | 2,  | 3,  | 4, Somewhat True | 5, | 6,  | 7,  | 8,  | 9, Very True",NA,1,NA,direct-redcap
fpep_i7,"FPE (parent report), question 7","If my child was doing something well in front of others, they would wonder whether they were doing ''too well.''",s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Not at all True | 1,  | 2,  | 3,  | 4, Somewhat True | 5, | 6,  | 7,  | 8,  | 9, Very True",NA,1,NA,direct-redcap
fpep_i8,"FPE (parent report), question 8",My child generally feels uncomfortable when people give them compliments.,s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Not at all True | 1,  | 2,  | 3,  | 4, Somewhat True | 5, | 6,  | 7,  | 8,  | 9, Very True",NA,1,NA,direct-redcap
fpep_i9,"FPE (parent report), question 9","My child doesn't like to be noticed when they are in public places, even if they feel as though they are being admired.",s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Not at all True | 1,  | 2,  | 3,  | 4, Somewhat True | 5, | 6,  | 7,  | 8,  | 9, Very True",NA,1,NA,direct-redcap
fpep_i10,"FPE (parent report), question 10","My child often feels under-appreciated, and wishes people would comment more on their positive qualities.",s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Not at all True | 1,  | 2,  | 3,  | 4, Somewhat True | 5, | 6,  | 7,  | 8,  | 9, Very True",NA,1,NA,direct-redcap
fpep_scrdTotal,FPE (parent report) total score,"sum of fpep items 1, 2, 3, 4, 6, 7, 8, and 9 (NA if fpep_percTotal < 1)",s1_r1_e1,Integer,"[0,72]",NA,NA,1,NA,code-instruments
fpep_percTotal,FPE (parent report) total percentage response,percentage of response for fpep items used in scrdTotal (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
