variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
fpe_i1,"FPE, question 1","I am uncomfortable exhibiting my talents to others, even if I think my talents will impress them.",s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Not at all True | 1,  | 2,  | 3,  | 4, Somewhat True | 5, | 6,  | 7,  | 8,  | 9, Very True",NA,1,NA,direct-redcap
fpe_i2,"FPE, question 2",It would make me anxious to receive a compliment from someone that I am attracted to.,s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Not at all True | 1,  | 2,  | 3,  | 4, Somewhat True | 5, | 6,  | 7,  | 8,  | 9, Very True",NA,1,NA,direct-redcap
fpe_i3,"FPE, question 3",I try to choose clothes that will give people little impression of what I am like.,s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Not at all True | 1,  | 2,  | 3,  | 4, Somewhat True | 5, | 6,  | 7,  | 8,  | 9, Very True",NA,1,NA,direct-redcap
fpe_i4,"FPE, question 4",I feel uneasy when I receive praise from authority figures.,s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Not at all True | 1,  | 2,  | 3,  | 4, Somewhat True | 5, | 6,  | 7,  | 8,  | 9, Very True",NA,1,NA,direct-redcap
fpe_i5,"FPE, question 5","If I have something to say that I think a group will find interesting, I typically say it.",s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Not at all True | 1,  | 2,  | 3,  | 4, Somewhat True | 5, | 6,  | 7,  | 8,  | 9, Very True",NA,1,NA,direct-redcap
fpe_i6,"FPE, question 6",I would rather receive a compliment from someone when that person and I were alone than when in the presence of others.,s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Not at all True | 1,  | 2,  | 3,  | 4, Somewhat True | 5, | 6,  | 7,  | 8,  | 9, Very True",NA,1,NA,direct-redcap
fpe_i7,"FPE, question 7","If I was doing something well in front of others, I would wonder whether I was doing ''too well.''",s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Not at all True | 1,  | 2,  | 3,  | 4, Somewhat True | 5, | 6,  | 7,  | 8,  | 9, Very True",NA,1,NA,direct-redcap
fpe_i8,"FPE, question 8",I generally feel uncomfortable when people give me compliments.,s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Not at all True | 1,  | 2,  | 3,  | 4, Somewhat True | 5, | 6,  | 7,  | 8,  | 9, Very True",NA,1,NA,direct-redcap
fpe_i9,"FPE, question 9","I don't like to be noticed when I am in public places, even if I feel as though I am being admired.",s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Not at all True | 1,  | 2,  | 3,  | 4, Somewhat True | 5, | 6,  | 7,  | 8,  | 9, Very True",NA,1,NA,direct-redcap
fpe_i10,"FPE, question 10","I often feel under-appreciated, and wish people would comment more on my positive qualities.",s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Not at all True | 1,  | 2,  | 3,  | 4, Somewhat True | 5, | 6,  | 7,  | 8,  | 9, Very True",NA,1,NA,direct-redcap
fpe_scrdTotal,FPE total score,"sum of fpe items 1, 2, 3, 4, 6, 7, 8, and 9 (NA if fpe_percTotal < 1)",s1_r1_e1,Integer,"[0,72]",NA,NA,1,NA,code-instruments
fpe_percTotal,FPE total percentage response,percentage of response for fpe items used in scrdTotal (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
