measure,english,draft_esla,revised_esla,esla_for_backtrans,backtranslated_esla,reconciled_esla,final_esla
FPE-P,The Fear of Positive Evaluation Scale (Parent Report),La Escala de Miedo a Evaluación Positiva (Reporte Parental),N/A,La Escala de Miedo a Evaluación Positiva (Reporte Parental),The Fear of Positive Evaluation Scale (Parent Report),NA,La Escala de Miedo a Evaluación Positiva (Reporte Parental)
FPE-P,"Read each of the following statements carefully and select an option to indicate the degree to which you feel the statement is characteristic of your child. For each statement, respond as though it involves people that your child does not know very well.","Lea cuidadosamente cada uno de los siguientes enunciados y seleccione una opción para indicar el grado en el que usted cree que el enunciado describe a su niño/a. Para cada enunciado, responda como si involucrara personas que su niño/a no conoce muy bien.",N/A,"Lea cuidadosamente cada uno de los siguientes enunciados y seleccione una opción para indicar el grado en el que usted cree que el enunciado describe a su niño/a. Para cada enunciado, responda como si involucrara personas que su niño/a no conoce muy bien.","Read carefully each of the following statements and select one option to indicate the degree to which you believe the statement describes your child. For each statement, respond as if it involved people your child does not know very well.",NA,"Lea cuidadosamente cada uno de los siguientes enunciados y seleccione una opción para indicar el grado en el que usted cree que el enunciado describe a su niño/a. Para cada enunciado, responda como si involucrara personas que su niño/a no conoce muy bien."
FPE-P,"My child is uncomfortable exhibiting their talents to others, even if they think their talents will impress them.","A mi niño/a le incomoda exhibir sus talentos a otras personas, incluso si cree que sus talentos los impresionarán.",N/A,"A mi niño/a le incomoda exhibir sus talentos a otras personas, incluso si cree que sus talentos los impresionarán.","My child is uncomfortable showing off his/her talents to other people, including if he/she thinks his/her talents will impress them.","Any nuance between ""even if"" and ""including""? --confirmed ""incluso si"" is the most appropriate conjunction","A mi niño/a le incomoda exhibir sus talentos a otras personas, incluso si cree que sus talentos los impresionarán."
FPE-P,It would make my child anxious to receive a compliment from someone that they were attracted to.,Mi niño/a se sentiría ansioso/a si recibiera un cumplido de una persona que le atrae.,N/A,Mi niño/a se sentiría ansioso/a si recibiera un cumplido de una persona que le atrae.,My child would feel anxious if he/she received a compliment from a person he/she is attracted to.,NA,Mi niño/a se sentiría ansioso/a si recibiera un cumplido de una persona que le atrae.
FPE-P,My child tries to choose clothes that will give people little impression of what they are like.,Mi niño/a trata de escoger ropa que revele poca impresión de como es a otras personas. ,Mi niño/a trata de elegir ropa que le dé a las personas poca impresión de cómo es.,Mi niño/a trata de elegir ropa que le dé a las personas poca impresión de cómo es.,My child tries to choose clothes that give people little impression of what he/she is like.,NA,Mi niño/a trata de elegir ropa que le dé a las personas poca impresión de cómo es.
FPE-P,My child feels uneasy when they receive praise from authority figures.,A mi niño/a le incomoda recibir elogios de una figura de autoridad.,N/A,A mi niño/a le incomoda recibir elogios de una figura de autoridad.,My child is uncomfortable receiving praise from an authority figure.,"""Feeling uneasy"" versus ""uncomfortable""? --from back translator: incomoda can also imply the safety/security component, that aspect isnt lost",A mi niño/a le incomoda recibir elogios de una figura de autoridad.
FPE-P,"If my child has something to say that they think a group will find interesting, they typically say it.","Si mi niño/a tiene algo para decir que cree que un grupo encontrará interesante, típicamente lo dice.","Si mi niño/a tiene algo que decir que cree que un grupo encontrará interesante, típicamente lo dice.","Si mi niño/a tiene algo que decir que cree que un grupo encontrará interesante, típicamente lo dice.","If my child has something to say that he/she thinks a group will find interesting, he/she typically says it.",NA,"Si mi niño/a tiene algo que decir que cree que un grupo encontrará interesante, típicamente lo dice."
FPE-P,My child would rather receive a compliment from someone when they were alone with that person than when in the presence of others.,Mi niño/a preferiría recibir un cumplido de alguien cuando esta solo/a con esa persona antes que en presencia de otros,N/A,Mi niño/a preferiría recibir un cumplido de alguien cuando esta solo/a con esa persona antes que en presencia de otros,My child prefers receiving a compliment from someone when alone with that person than in the presence of others.,NA,Mi niño/a preferiría recibir un cumplido de alguien cuando esta solo/a con esa persona antes que en presencia de otros
FPE-P,"If my child was doing something well in front of others, they would wonder whether they were doing ''too well.''","Si mi niño/a estuviera haciendo algo bien frente a otras personas, se preguntaría si lo está haciendo ""demasiado bien.""",N/A,"Si mi niño/a estuviera haciendo algo bien frente a otras personas, se preguntaría si lo está haciendo ""demasiado bien.""","If my child were doing something well in front of other people, he/she would question if he/she was doing it ""too well"".",NA,"Si mi niño/a estuviera haciendo algo bien frente a otras personas, se preguntaría si lo está haciendo ""demasiado bien."""
FPE-P,My child generally feels uncomfortable when people give them compliments.,Mi niño/a generalmente se siente incómodo/a cuando la gente le hace cumplidos.,N/A,Mi niño/a generalmente se siente incómodo/a cuando la gente le hace cumplidos.,My child generally feels uncomfortable when people compliment him/her.,NA,Mi niño/a generalmente se siente incómodo/a cuando la gente le hace cumplidos.
FPE-P,"My child doesn't like to be noticed when they are in public places, even if they feel as though they are being admired.","A mi niño/a no le gusta llamar la atención cuando está en lugares públicos, incluso si siente que está siendo admirado/a,",N/A,"A mi niño/a no le gusta llamar la atención cuando está en lugares públicos, incluso si siente que está siendo admirado/a.","My child does not like to attract attention when he/she is in public places, including if he/she feels that he/she is being admired.","""Be noticed"" versus ""attract attention""?
Any nuance between ""even if"" and ""including""? --confirmed ""incluso si"" is the most appropriate conjunction","A mi niño/a no le gusta ser percibido en lugares públicos, incluso si siente que está siendo admirado/a."
FPE-P,"My child often feels under-appreciated, and wishes people would comment more on their positive qualities.","Mi niño/a se siente subvalorado a menudo, y desea que la gente comentara más acerca de sus cualidades positivas.",N/A,"Mi niño/a se siente subvalorado a menudo, y desea que la gente comentara más acerca de sus cualidades positivas.",My child oftentimes feels undervalued and wishes people would comment more about his/her positive qualities.,NA,"Mi niño/a se siente subvalorado a menudo, y desea que la gente comentara más acerca de sus cualidades positivas."
FPE-P,Not at all True,Para nada cierto,N/A,Para nada cierto,Not at all true,NA,Para nada cierto
FPE-P,Somewhat True,Parcialmente cierto,N/A,Parcialmente cierto,Partially true,NA,Parcialmente cierto
FPE-P,Very True,Muy cierto,N/A,Muy cierto,Very true,NA,Muy cierto
