variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
fpepes_i1,"FPE (parent report, Spanish), question 1","A mi niño/a le incomoda exhibir sus talentos a otras personas, incluso si cree que sus talentos los impresionarán.",s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Para nada cierto | 1,  | 2,  | 3,  | 4, Parcialmente cierto | 5,  | 6,  | 7,  | 8,  | 9, Muy cierto",NA,1,NA,direct-redcap
fpepes_i2,"FPE (parent report, Spanish), question 2",Mi niño/a se sentiría ansioso/a si recibiera un cumplido de una persona que le atrae.,s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Para nada cierto | 1,  | 2,  | 3,  | 4, Parcialmente cierto | 5,  | 6,  | 7,  | 8,  | 9, Muy cierto",NA,1,NA,direct-redcap
fpepes_i3,"FPE (parent report, Spanish), question 3",Mi niño/a trata de elegir ropa que le dé a las personas poca impresión de cómo es.,s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Para nada cierto | 1,  | 2,  | 3,  | 4, Parcialmente cierto | 5,  | 6,  | 7,  | 8,  | 9, Muy cierto",NA,1,NA,direct-redcap
fpepes_i4,"FPE (parent report, Spanish), question 4",A mi niño/a le incomoda recibir elogios de una figura de autoridad.,s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Para nada cierto | 1,  | 2,  | 3,  | 4, Parcialmente cierto | 5,  | 6,  | 7,  | 8,  | 9, Muy cierto",NA,1,NA,direct-redcap
fpepes_i5,"FPE (parent report, Spanish), question 5","Si mi niño/a tiene algo que decir que cree que un grupo encontrará interesante, típicamente lo dice.",s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Para nada cierto | 1,  | 2,  | 3,  | 4, Parcialmente cierto | 5,  | 6,  | 7,  | 8,  | 9, Muy cierto",NA,1,NA,direct-redcap
fpepes_i6,"FPE (parent report, Spanish), question 6",Mi niño/a preferiría recibir un cumplido de alguien cuando esta solo/a con esa persona antes que en presencia de otros.,s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Para nada cierto | 1,  | 2,  | 3,  | 4, Parcialmente cierto | 5,  | 6,  | 7,  | 8,  | 9, Muy cierto",NA,1,NA,direct-redcap
fpepes_i7,"FPE (parent report, Spanish), question 7","Si mi niño/a estuviera haciendo algo bien frente a otras personas, se preguntaría si lo está haciendo ""demasiado bien.""",s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Para nada cierto | 1,  | 2,  | 3,  | 4, Parcialmente cierto | 5,  | 6,  | 7,  | 8,  | 9, Muy cierto",NA,1,NA,direct-redcap
fpepes_i8,"FPE (parent report, Spanish), question 8",Mi niño/a generalmente se siente incómodo/a cuando la gente le hace cumplidos.,s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Para nada cierto | 1,  | 2,  | 3,  | 4, Parcialmente cierto | 5,  | 6,  | 7,  | 8,  | 9, Muy cierto",NA,1,NA,direct-redcap
fpepes_i9,"FPE (parent report, Spanish), question 9","A mi niño/a no le gusta ser percibido en lugares públicos, incluso si siente que está siendo admirado/a.",s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Para nada cierto | 1,  | 2,  | 3,  | 4, Parcialmente cierto | 5,  | 6,  | 7,  | 8,  | 9, Muy cierto",NA,1,NA,direct-redcap
fpepes_i10,"FPE (parent report, Spanish), question 10","Mi niño/a se siente subvalorado a menudo, y desea que la gente comentara más acerca de sus cualidades positivas.",s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Para nada cierto | 1,  | 2,  | 3,  | 4, Parcialmente cierto | 5,  | 6,  | 7,  | 8,  | 9, Muy cierto",NA,1,NA,direct-redcap
fpepes_scrdTotal,"FPE (parent report, Spanish) total score","sum of fpepes items 1, 2, 3, 4, 6, 7, 8, and 9 (NA if fpepes_percTotal < 1)",s1_r1_e1,Integer,"[0,72]",NA,NA,1,NA,code-instruments
fpepes_percTotal,"FPE (parent report, Spanish) total percentage response",percentage of response for fpepes items used in scrdTotal (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
