variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
fpees_i1,"FPE (Spanish version), question 1","Me incomoda exhibir mis talentos a otras personas, incluso si creo que mis talentos los impresionarán.",s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Para nada cierto | 1,  | 2,  | 3,  | 4, Parcialmente cierto | 5,  | 6,  | 7,  | 8,  | 9, Muy cierto",NA,1,NA,direct-redcap
fpees_i2,"FPE (Spanish version), question 2",Me sentiría ansioso/a si recibiera un cumplido de una persona que me atrae.,s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Para nada cierto | 1,  | 2,  | 3,  | 4, Parcialmente cierto | 5,  | 6,  | 7,  | 8,  | 9, Muy cierto",NA,1,NA,direct-redcap
fpees_i3,"FPE (Spanish version), question 3",Trato de elegir ropa que le dé a las personas poca impresión de cómo soy.,s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Para nada cierto | 1,  | 2,  | 3,  | 4, Parcialmente cierto | 5,  | 6,  | 7,  | 8,  | 9, Muy cierto",NA,1,NA,direct-redcap
fpees_i4,"FPE (Spanish version), question 4",Me incomoda recibir elogios de una figura de autoridad.,s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Para nada cierto | 1,  | 2,  | 3,  | 4, Parcialmente cierto | 5,  | 6,  | 7,  | 8,  | 9, Muy cierto",NA,1,NA,direct-redcap
fpees_i5,"FPE (Spanish version), question 5","Si tengo algo que decir que creo que un grupo encontrará interesante, típicamente lo digo.",s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Para nada cierto | 1,  | 2,  | 3,  | 4, Parcialmente cierto | 5,  | 6,  | 7,  | 8,  | 9, Muy cierto",NA,1,NA,direct-redcap
fpees_i6,"FPE (Spanish version), question 6",Preferiría recibir un cumplido de alguien cuando estoy solo/a con esa persona antes que en presencia de otros,s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Para nada cierto | 1,  | 2,  | 3,  | 4, Parcialmente cierto | 5,  | 6,  | 7,  | 8,  | 9, Muy cierto",NA,1,NA,direct-redcap
fpees_i7,"FPE (Spanish version), question 7","Si estuviera haciendo algo bien frente a otras personas, me preguntaría si lo estoy haciendo ""demasiado bien.""",s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Para nada cierto | 1,  | 2,  | 3,  | 4, Parcialmente cierto | 5,  | 6,  | 7,  | 8,  | 9, Muy cierto",NA,1,NA,direct-redcap
fpees_i8,"FPE (Spanish version), question 8",Generalmente me siento incómodo/a cuando la gente me hace cumplidos.,s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Para nada cierto | 1,  | 2,  | 3,  | 4, Parcialmente cierto | 5,  | 6,  | 7,  | 8,  | 9, Muy cierto",NA,1,NA,direct-redcap
fpees_i9,"FPE (Spanish version), question 9","No me gusta ser percibido/a en lugares públicos, incluso si siento que estoy siendo admirado/a.",s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Para nada cierto | 1,  | 2,  | 3,  | 4, Parcialmente cierto | 5,  | 6,  | 7,  | 8,  | 9, Muy cierto",NA,1,NA,direct-redcap
fpees_i10,"FPE (Spanish version), question 10","Me siento subvalorado/a a menudo, y deseo que la gente comentara más acerca de mis cualidades positivas.",s1_r1_e1,Integer,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, Para nada cierto | 1,  | 2,  | 3,  | 4, Parcialmente cierto | 5,  | 6,  | 7,  | 8,  | 9, Muy cierto",NA,1,NA,direct-redcap
fpees_scrdTotal,FPE (Spanish version) total score,"sum of fpees items 1, 2, 3, 4, 6, 7, 8, and 9 (NA if fpees_percTotal < 1)",s1_r1_e1,Integer,"[0,72]",NA,NA,1,NA,code-instruments
fpees_percTotal,FPE (Spanish version) total percentage response,percentage of response for fpees items used in scrdTotal (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
