variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
hsps_i1,"HSPS, question 1",Are you easily overwhelmed by strong sensory input?,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Not at all | 2,  | 3,  | 4, Moderately | 5,  | 6,  | 7, Extremely",NA,1,NA,direct-redcap
hsps_i2,"HSPS, question 2",Do you seem to be aware of subtleties in your environment?,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Not at all | 2,  | 3,  | 4, Moderately | 5,  | 6,  | 7, Extremely",NA,1,NA,direct-redcap
hsps_i3,"HSPS, question 3",Do other people's moods affect you?,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Not at all | 2,  | 3,  | 4, Moderately | 5,  | 6,  | 7, Extremely",NA,1,NA,direct-redcap
hsps_i4,"HSPS, question 4",Do you tend to be more sensitive to pain?,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Not at all | 2,  | 3,  | 4, Moderately | 5,  | 6,  | 7, Extremely",NA,1,NA,direct-redcap
hsps_i5,"HSPS, question 5","Do you find yourself needing to withdraw during busy days, into bed or into a darkened room or any place where you can have some privacy and relief from stimulation?",s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Not at all | 2,  | 3,  | 4, Moderately | 5,  | 6,  | 7, Extremely",NA,1,NA,direct-redcap
hsps_i6,"HSPS, question 6",Are you particularly sensitive to the effects of caffeine?,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Not at all | 2,  | 3,  | 4, Moderately | 5,  | 6,  | 7, Extremely",NA,1,NA,direct-redcap
hsps_i7,"HSPS, question 7","Are you easily overwhelmed by things like bright lights, strong smells, coarse fabrics, or sirens close by?",s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Not at all | 2,  | 3,  | 4, Moderately | 5,  | 6,  | 7, Extremely",NA,1,NA,direct-redcap
hsps_i8,"HSPS, question 8","Do you have a rich, complex inner life?",s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Not at all | 2,  | 3,  | 4, Moderately | 5,  | 6,  | 7, Extremely",NA,1,NA,direct-redcap
hsps_i9,"HSPS, question 9",Are you made uncomfortable by loud noises?,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Not at all | 2,  | 3,  | 4, Moderately | 5,  | 6,  | 7, Extremely",NA,1,NA,direct-redcap
hsps_i10,"HSPS, question 10",Are you deeply moved by the arts or music?,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Not at all | 2,  | 3,  | 4, Moderately | 5,  | 6,  | 7, Extremely",NA,1,NA,direct-redcap
hsps_i11,"HSPS, question 11",Does your nervous system sometimes feel so frazzled that you just have to go off by yourself?,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Not at all | 2,  | 3,  | 4, Moderately | 5,  | 6,  | 7, Extremely",NA,1,NA,direct-redcap
hsps_i12,"HSPS, question 12",Are you conscientious?,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Not at all | 2,  | 3,  | 4, Moderately | 5,  | 6,  | 7, Extremely",NA,1,NA,direct-redcap
hsps_i13,"HSPS, question 13",Do you startle easily?,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Not at all | 2,  | 3,  | 4, Moderately | 5,  | 6,  | 7, Extremely",NA,1,NA,direct-redcap
hsps_i14,"HSPS, question 14",Do you get rattled when you have a lot to do in a short amount of time?,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Not at all | 2,  | 3,  | 4, Moderately | 5,  | 6,  | 7, Extremely",NA,1,NA,direct-redcap
hsps_i15,"HSPS, question 15",When people are uncomfortable in a physical environment do you tend to know what needs to be done to make it more comfortable (like changing the lighting or the seating)?,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Not at all | 2,  | 3,  | 4, Moderately | 5,  | 6,  | 7, Extremely",NA,1,NA,direct-redcap
hsps_i16,"HSPS, question 16",Are you annoyed when people try to get you to do too many things at once?,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Not at all | 2,  | 3,  | 4, Moderately | 5,  | 6,  | 7, Extremely",NA,1,NA,direct-redcap
hsps_i17,"HSPS, question 17",Do you try hard to avoid making mistakes or forgetting things?,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Not at all | 2,  | 3,  | 4, Moderately | 5,  | 6,  | 7, Extremely",NA,1,NA,direct-redcap
hsps_i18,"HSPS, question 18",Do you make a point to avoid violent movies and TV shows?,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Not at all | 2,  | 3,  | 4, Moderately | 5,  | 6,  | 7, Extremely",NA,1,NA,direct-redcap
hsps_i19,"HSPS, question 19",Do you become unpleasantly aroused when a lot is going on around you?,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Not at all | 2,  | 3,  | 4, Moderately | 5,  | 6,  | 7, Extremely",NA,1,NA,direct-redcap
hsps_i20,"HSPS, question 20","Does being very hungry create a strong reaction in you, disrupting your concentration or mood?",s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Not at all | 2,  | 3,  | 4, Moderately | 5,  | 6,  | 7, Extremely",NA,1,NA,direct-redcap
hsps_i21,"HSPS, question 21",Do changes in your life shake you up?,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Not at all | 2,  | 3,  | 4, Moderately | 5,  | 6,  | 7, Extremely",NA,1,NA,direct-redcap
hsps_i22,"HSPS, question 22","Do you notice and enjoy delicate or fine scents, tastes, sounds, works of art?",s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Not at all | 2,  | 3,  | 4, Moderately | 5,  | 6,  | 7, Extremely",NA,1,NA,direct-redcap
hsps_i23,"HSPS, question 23",Do you find it unpleasant to have a lot going on at once?,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Not at all | 2,  | 3,  | 4, Moderately | 5,  | 6,  | 7, Extremely",NA,1,NA,direct-redcap
hsps_i24,"HSPS, question 24",Do you make it a high priority to arrange your life to avoid upsetting or overwhelming situations?,s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Not at all | 2,  | 3,  | 4, Moderately | 5,  | 6,  | 7, Extremely",NA,1,NA,direct-redcap
hsps_i25,"HSPS, question 25","Are you bothered by intense stimuli, like loud noises or chaotic scenes?",s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Not at all | 2,  | 3,  | 4, Moderately | 5,  | 6,  | 7, Extremely",NA,1,NA,direct-redcap
hsps_i26,"HSPS, question 26","When you must compete or be observed while performing a task, do you become so nervous or shaky that you do much worse than you would otherwise?",s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Not at all | 2,  | 3,  | 4, Moderately | 5,  | 6,  | 7, Extremely",NA,1,NA,direct-redcap
hsps_i27,"HSPS, question 27","When you were a child, did parents or teachers seem to see you as sensitive or shy?",s1_r1_e1,Integer,"1, 2, 3, 4, 5, 6, 7","1, Not at all | 2,  | 3,  | 4, Moderately | 5,  | 6,  | 7, Extremely",NA,1,NA,direct-redcap
hsps_scrdTotal,HSPS total score,average of all hsps items (NA if hsps_percTotal < 0.8),s1_r1_e1,Real,"[1,7]",NA,NA,1,NA,code-instruments
hsps_scrdEoe,HSPS ease of excitation subscore,"average of hsps items 3, 4, 13, 14, 16, 17, 20, 21, 23, 24, 26, and 27 (NA if hsps_percEoe < 0.8)",s1_r1_e1,Real,"[1,7]",NA,NA,1,NA,code-instruments
hsps_scrdAes,HSPS aesthetic sensitivity subscore,"average of hsps items 2, 5, 8, 10, 12, 15, and 22 (NA if hsps_percAes < 0.8)",s1_r1_e1,Real,"[1,7]",NA,NA,1,NA,code-instruments
