variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
idea_i1,"IDEA, question 1",Is this period of your life a…time of many possibilities?,s1_r1_e1,Integer,"1, 2, 3, 4","1, Strongly disagree | 2, Somewhat disagree | 3, Somewhat agree | 4, Strongly agree",NA,1,NA,direct-redcap
idea_i2,"IDEA, question 2",Is this period of your life a…time of exploration?,s1_r1_e1,Integer,"1, 2, 3, 4","1, Strongly disagree | 2, Somewhat disagree | 3, Somewhat agree | 4, Strongly agree",NA,1,NA,direct-redcap
idea_i3,"IDEA, question 3",Is this period of your life a…time of confusion?,s1_r1_e1,Integer,"1, 2, 3, 4","1, Strongly disagree | 2, Somewhat disagree | 3, Somewhat agree | 4, Strongly agree",NA,1,NA,direct-redcap
idea_i4,"IDEA, question 4",Is this period of your life a…time of experimentation?,s1_r1_e1,Integer,"1, 2, 3, 4","1, Strongly disagree | 2, Somewhat disagree | 3, Somewhat agree | 4, Strongly agree",NA,1,NA,direct-redcap
idea_i5,"IDEA, question 5",Is this period of your life a…time of personal freedom?,s1_r1_e1,Integer,"1, 2, 3, 4","1, Strongly disagree | 2, Somewhat disagree | 3, Somewhat agree | 4, Strongly agree",NA,1,NA,direct-redcap
idea_i6,"IDEA, question 6",Is this period of your life a…time of feeling restricted?,s1_r1_e1,Integer,"1, 2, 3, 4","1, Strongly disagree | 2, Somewhat disagree | 3, Somewhat agree | 4, Strongly agree",NA,1,NA,direct-redcap
idea_i7,"IDEA, question 7",Is this period of your life a…time of responsibility for yourself?,s1_r1_e1,Integer,"1, 2, 3, 4","1, Strongly disagree | 2, Somewhat disagree | 3, Somewhat agree | 4, Strongly agree",NA,1,NA,direct-redcap
idea_i8,"IDEA, question 8",Is this period of your life a…time of feeling stressed out?,s1_r1_e1,Integer,"1, 2, 3, 4","1, Strongly disagree | 2, Somewhat disagree | 3, Somewhat agree | 4, Strongly agree",NA,1,NA,direct-redcap
idea_i9,"IDEA, question 9",Is this period of your life a…time of instability?,s1_r1_e1,Integer,"1, 2, 3, 4","1, Strongly disagree | 2, Somewhat disagree | 3, Somewhat agree | 4, Strongly agree",NA,1,NA,direct-redcap
idea_i10,"IDEA, question 10",Is this period of your life a…time of optimism?,s1_r1_e1,Integer,"1, 2, 3, 4","1, Strongly disagree | 2, Somewhat disagree | 3, Somewhat agree | 4, Strongly agree",NA,1,NA,direct-redcap
idea_i11,"IDEA, question 11",Is this period of your life a…time of high pressure?,s1_r1_e1,Integer,"1, 2, 3, 4","1, Strongly disagree | 2, Somewhat disagree | 3, Somewhat agree | 4, Strongly agree",NA,1,NA,direct-redcap
idea_i12,"IDEA, question 12",Is this period of your life a…time of finding out who you are?,s1_r1_e1,Integer,"1, 2, 3, 4","1, Strongly disagree | 2, Somewhat disagree | 3, Somewhat agree | 4, Strongly agree",NA,1,NA,direct-redcap
