variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
ius_i1,"IUS, question 1",Unforeseen events upset me greatly.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
ius_i2,"IUS, question 2",It frustrates me not having all the information I need.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
ius_i3,"IUS, question 3",Uncertainty keeps me from living a full life.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
ius_i4,"IUS, question 4",One should always look ahead so as to avoid surprises.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
ius_i5,"IUS, question 5","A small unforeseen event can spoil everything, even with the best of planning.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
ius_i6,"IUS, question 6","When it's time to act, uncertainty paralyses me.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
ius_i7,"IUS, question 7",When I am uncertain I can't function very well.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
ius_i8,"IUS, question 8",I always want to know what the future has in store for me.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
ius_i9,"IUS, question 9",I can't stand being taken by surprise.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
ius_i10,"IUS, question 10",The smallest doubt can stop me from acting.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
ius_i11,"IUS, question 11",I should be able to organize everything in advance.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
ius_i12,"IUS, question 12",I must get away from all uncertain situations.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Not at all characteristic of me | 2, A little characteristic of me | 3, Somewhat characteristic of me | 4, Very characteristic of me | 5, Entirely characteristic of me",NA,1,NA,direct-redcap
ius_scrdTotal,IUS total score,sum of all ius items (NA if ius_percTotal < 1),s1_r1_e1,Integer,"[12,60]",NA,NA,1,NA,code-instruments
ius_scrdPas,IUS prospective anxiety score,"sum of ius items 1, 2, 4, 5, 8, 9, and 11 (NA if ius_percPas < 1)",s1_r1_e1,Integer,"[7,35]",NA,NA,1,NA,code-instruments
ius_scrdIas,IUS inhibitory anxiety score,"sum of ius items 3, 6, 7, 10, and 12 (NA if ius_percIas < 1)",s1_r1_e1,Integer,"[5,25]",NA,NA,1,NA,code-instruments
ius_percTotal,IUS total percentage response,percentage of response for ius items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
ius_percPas,IUS prospective anxiety percentage response,percentage of response for ius prospective anxiety items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
ius_percIas,IUS inhibitory anxiety percentage response,percentage of response for ius inhibitory anxiety items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
