variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
lsascl_i1,"LSAS (clinician report), question 1 (fear)",Talking on the phone to classmates or other people-Fear,s1_r1_e1,Integer,"0, 1, 2, 3","0, None<br>0 | 1, Mild<br>1 | 2, Moderate<br>2 | 3, Severe<br>3",NA,1,NA,direct-redcap
lsascl_i1ov,"LSAS (clinician report), question 1 (fear) - clinician override",Override?,s1_r1_e1,Integer,"0, 1","0, No | 1, Yes",NA,1,NA,direct-redcap
lsascl_i2,"LSAS (clinician report), question 1 (avoidance)",Talking on the phone to classmates or other people-Avoidance,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never<br>0 | 1, Occasionally<br>1 | 2, Often<br>2 | 3, Usually<br>3",NA,1,NA,direct-redcap
lsascl_i2ov,"LSAS (clinician report), question 1 (avoidance) - clinician override",Override?,s1_r1_e1,Integer,"0, 1","0, No | 1, Yes",NA,1,NA,direct-redcap
lsascl_i3,"LSAS (clinician report), question 2 (fear)",Participating in a small group activity in class-Fear,s1_r1_e1,Integer,"0, 1, 2, 3","0, None<br>0 | 1, Mild<br>1 | 2, Moderate<br>2 | 3, Severe<br>3",NA,1,NA,direct-redcap
lsascl_i3ov,"LSAS (clinician report), question 2 (fear) - clinician override",Override?,s1_r1_e1,Integer,"0, 1","0, No | 1, Yes",NA,1,NA,direct-redcap
lsascl_i4,"LSAS (clinician report), question 2 (avoidance)",Participating in a small group activity in class-Avoidance,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never<br>0 | 1, Occasionally<br>1 | 2, Often<br>2 | 3, Usually<br>3",NA,1,NA,direct-redcap
lsascl_i4ov,"LSAS (clinician report), question 2 (avoidance) - clinician override",Override?,s1_r1_e1,Integer,"0, 1","0, No | 1, Yes",NA,1,NA,direct-redcap
lsascl_i5,"LSAS (clinician report), question 3 (fear)","Eating in front of others (e.g., school cafeteria, restaurant)-Fear",s1_r1_e1,Integer,"0, 1, 2, 3","0, None<br>0 | 1, Mild<br>1 | 2, Moderate<br>2 | 3, Severe<br>3",NA,1,NA,direct-redcap
lsascl_i5ov,"LSAS (clinician report), question 3 (fear) - clinician override",Override?,s1_r1_e1,Integer,"0, 1","0, No | 1, Yes",NA,1,NA,direct-redcap
lsascl_i6,"LSAS (clinician report), question 3 (avoidance)","Eating in front of others (e.g., school cafeteria, restaurant)-Avoidance",s1_r1_e1,Integer,"0, 1, 2, 3","0, Never<br>0 | 1, Occasionally<br>1 | 2, Often<br>2 | 3, Usually<br>3",NA,1,NA,direct-redcap
lsascl_i6ov,"LSAS (clinician report), question 3 (avoidance) - clinician override",Override?,s1_r1_e1,Integer,"0, 1","0, No | 1, Yes",NA,1,NA,direct-redcap
lsascl_i7,"LSAS (clinician report), question 4 (fear)","Asking an adult that your child doesn't know well for help (e.g., store clerk, principal, police officer)-Fear",s1_r1_e1,Integer,"0, 1, 2, 3","0, None<br>0 | 1, Mild<br>1 | 2, Moderate<br>2 | 3, Severe<br>3",NA,1,NA,direct-redcap
lsascl_i7ov,"LSAS (clinician report), question 4 (fear) - clinician override",Override?,s1_r1_e1,Integer,"0, 1","0, No | 1, Yes",NA,1,NA,direct-redcap
lsascl_i8,"LSAS (clinician report), question 4 (avoidance)","Asking an adult that your child doesn't know well for help (e.g., store clerk, principal, police officer)-Avoidance",s1_r1_e1,Integer,"0, 1, 2, 3","0, Never<br>0 | 1, Occasionally<br>1 | 2, Often<br>2 | 3, Usually<br>3",NA,1,NA,direct-redcap
lsascl_i8ov,"LSAS (clinician report), question 4 (avoidance) - clinician override",Override?,s1_r1_e1,Integer,"0, 1","0, No | 1, Yes",NA,1,NA,direct-redcap
lsascl_i9,"LSAS (clinician report), question 5 (fear)",Giving an oral report or presentation in class-Fear,s1_r1_e1,Integer,"0, 1, 2, 3","0, None<br>0 | 1, Mild<br>1 | 2, Moderate<br>2 | 3, Severe<br>3",NA,1,NA,direct-redcap
lsascl_i9ov,"LSAS (clinician report), question 5 (fear) - clinician override",Override?,s1_r1_e1,Integer,"0, 1","0, No | 1, Yes",NA,1,NA,direct-redcap
lsascl_i10,"LSAS (clinician report), question 5 (avoidance)",Giving an oral report or presentation in class-Avoidance,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never<br>0 | 1, Occasionally<br>1 | 2, Often<br>2 | 3, Usually<br>3",NA,1,NA,direct-redcap
lsascl_i10ov,"LSAS (clinician report), question 5 (avoidance) - clinician override",Override?,s1_r1_e1,Integer,"0, 1","0, No | 1, Yes",NA,1,NA,direct-redcap
lsascl_i11,"LSAS (clinician report), question 6 (fear)","Going to parties, social gatherings, or other after-school social activities-Fear",s1_r1_e1,Integer,"0, 1, 2, 3","0, None<br>0 | 1, Mild<br>1 | 2, Moderate<br>2 | 3, Severe<br>3",NA,1,NA,direct-redcap
lsascl_i11ov,"LSAS (clinician report), question 6 (fear) - clinician override",Override?,s1_r1_e1,Integer,"0, 1","0, No | 1, Yes",NA,1,NA,direct-redcap
lsascl_i12,"LSAS (clinician report), question 6 (avoidance)","Going to parties, social gatherings, or other after-school social activities-Avoidance",s1_r1_e1,Integer,"0, 1, 2, 3","0, Never<br>0 | 1, Occasionally<br>1 | 2, Often<br>2 | 3, Usually<br>3",NA,1,NA,direct-redcap
lsascl_i12ov,"LSAS (clinician report), question 6 (avoidance) - clinician override",Override?,s1_r1_e1,Integer,"0, 1","0, No | 1, Yes",NA,1,NA,direct-redcap
lsascl_i13,"LSAS (clinician report), question 7 (fear)",Writing on the board in front of the class-Fear,s1_r1_e1,Integer,"0, 1, 2, 3","0, None<br>0 | 1, Mild<br>1 | 2, Moderate<br>2 | 3, Severe<br>3",NA,1,NA,direct-redcap
lsascl_i13ov,"LSAS (clinician report), question 7 (fear) - clinician override",Override?,s1_r1_e1,Integer,"0, 1","0, No | 1, Yes",NA,1,NA,direct-redcap
lsascl_i14,"LSAS (clinician report), question 7 (avoidance)",Writing on the board in front of the class-Avoidance,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never<br>0 | 1, Occasionally<br>1 | 2, Often<br>2 | 3, Usually<br>3",NA,1,NA,direct-redcap
lsascl_i14ov,"LSAS (clinician report), question 7 (avoidance) - clinician override",Override?,s1_r1_e1,Integer,"0, 1","0, No | 1, Yes",NA,1,NA,direct-redcap
