variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
lsasp_i1,"LSAS (parent report), question 1 (fear)",Talking on the phone to classmates or other people-Fear,s1_r1_e1,Integer,"0, 1, 2, 3","0, None<br>0 | 1, Mild<br>1 | 2, Moderate<br>2 | 3, Severe<br>3",NA,1,NA,direct-redcap
lsasp_i2,"LSAS (parent report), question 1 (avoidance)",Talking on the phone to classmates or other people-Avoidance,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never<br>0 | 1, Occasionally<br>1 | 2, Often<br>2 | 3, Usually<br>3",NA,1,NA,direct-redcap
lsasp_i3,"LSAS (parent report), question 2 (fear)",Participating in a small group activity in class-Fear,s1_r1_e1,Integer,"0, 1, 2, 3","0, None<br>0 | 1, Mild<br>1 | 2, Moderate<br>2 | 3, Severe<br>3",NA,1,NA,direct-redcap
lsasp_i4,"LSAS (parent report), question 2 (avoidance)",Participating in a small group activity in class-Avoidance,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never<br>0 | 1, Occasionally<br>1 | 2, Often<br>2 | 3, Usually<br>3",NA,1,NA,direct-redcap
lsasp_i5,"LSAS (parent report), question 3 (fear)","Eating in front of others (e.g., school cafeteria, restaurant)-Fear",s1_r1_e1,Integer,"0, 1, 2, 3","0, None<br>0 | 1, Mild<br>1 | 2, Moderate<br>2 | 3, Severe<br>3",NA,1,NA,direct-redcap
lsasp_i6,"LSAS (parent report), question 3 (avoidance)","Eating in front of others (e.g., school cafeteria, restaurant)-Avoidance",s1_r1_e1,Integer,"0, 1, 2, 3","0, Never<br>0 | 1, Occasionally<br>1 | 2, Often<br>2 | 3, Usually<br>3",NA,1,NA,direct-redcap
lsasp_i7,"LSAS (parent report), question 4 (fear)","Asking an adult that your child doesn't know well for help (e.g., store clerk, principal, police officer)-Fear",s1_r1_e1,Integer,"0, 1, 2, 3","0, None<br>0 | 1, Mild<br>1 | 2, Moderate<br>2 | 3, Severe<br>3",NA,1,NA,direct-redcap
lsasp_i8,"LSAS (parent report), question 4 (avoidance)","Asking an adult that your child doesn't know well for help (e.g., store clerk, principal, police officer)-Avoidance",s1_r1_e1,Integer,"0, 1, 2, 3","0, Never<br>0 | 1, Occasionally<br>1 | 2, Often<br>2 | 3, Usually<br>3",NA,1,NA,direct-redcap
lsasp_i9,"LSAS (parent report), question 5 (fear)",Giving an oral report or presentation in class-Fear,s1_r1_e1,Integer,"0, 1, 2, 3","0, None<br>0 | 1, Mild<br>1 | 2, Moderate<br>2 | 3, Severe<br>3",NA,1,NA,direct-redcap
lsasp_i10,"LSAS (parent report), question 5 (avoidance)",Giving an oral report or presentation in class-Avoidance,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never<br>0 | 1, Occasionally<br>1 | 2, Often<br>2 | 3, Usually<br>3",NA,1,NA,direct-redcap
lsasp_i11,"LSAS (parent report), question 6 (fear)","Going to parties, social gatherings, or other after-school social activities-Fear",s1_r1_e1,Integer,"0, 1, 2, 3","0, None<br>0 | 1, Mild<br>1 | 2, Moderate<br>2 | 3, Severe<br>3",NA,1,NA,direct-redcap
lsasp_i12,"LSAS (parent report), question 6 (avoidance)","Going to parties, social gatherings, or other after-school social activities-Avoidance",s1_r1_e1,Integer,"0, 1, 2, 3","0, Never<br>0 | 1, Occasionally<br>1 | 2, Often<br>2 | 3, Usually<br>3",NA,1,NA,direct-redcap
lsasp_i13,"LSAS (parent report), question 7 (fear)",Writing on the board in front of the class-Fear,s1_r1_e1,Integer,"0, 1, 2, 3","0, None<br>0 | 1, Mild<br>1 | 2, Moderate<br>2 | 3, Severe<br>3",NA,1,NA,direct-redcap
lsasp_i14,"LSAS (parent report), question 7 (avoidance)",Writing on the board in front of the class-Avoidance,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never<br>0 | 1, Occasionally<br>1 | 2, Often<br>2 | 3, Usually<br>3",NA,1,NA,direct-redcap
lsasp_i15,"LSAS (parent report), question 8 (fear)",Talking to other kids that your child doesn't know well-Fear,s1_r1_e1,Integer,"0, 1, 2, 3","0, None<br>0 | 1, Mild<br>1 | 2, Moderate<br>2 | 3, Severe<br>3",NA,1,NA,direct-redcap
lsasp_i16,"LSAS (parent report), question 8 (avoidance)",Talking to other kids that your child doesn't know well-Avoidance,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never<br>0 | 1, Occasionally<br>1 | 2, Often<br>2 | 3, Usually<br>3",NA,1,NA,direct-redcap
lsasp_i17,"LSAS (parent report), question 9 (fear)",Starting a conversation with people your child doesn't know well-Fear,s1_r1_e1,Integer,"0, 1, 2, 3","0, None<br>0 | 1, Mild<br>1 | 2, Moderate<br>2 | 3, Severe<br>3",NA,1,NA,direct-redcap
lsasp_i18,"LSAS (parent report), question 9 (avoidance)",Starting a conversation with people your child doesn't know well-Avoidance,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never<br>0 | 1, Occasionally<br>1 | 2, Often<br>2 | 3, Usually<br>3",NA,1,NA,direct-redcap
lsasp_i19,"LSAS (parent report), question 10 (fear)",Using school or public bathrooms-Fear,s1_r1_e1,Integer,"0, 1, 2, 3","0, None<br>0 | 1, Mild<br>1 | 2, Moderate<br>2 | 3, Severe<br>3",NA,1,NA,direct-redcap
lsasp_i20,"LSAS (parent report), question 10 (avoidance)",Using school or public bathrooms-Avoidance,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never<br>0 | 1, Occasionally<br>1 | 2, Often<br>2 | 3, Usually<br>3",NA,1,NA,direct-redcap
lsasp_i21,"LSAS (parent report), question 11 (fear)","Going into a classroom or another place (e.g., church, cafeteria) when other people are already there-Fear",s1_r1_e1,Integer,"0, 1, 2, 3","0, None<br>0 | 1, Mild<br>1 | 2, Moderate<br>2 | 3, Severe<br>3",NA,1,NA,direct-redcap
lsasp_i22,"LSAS (parent report), question 11 (avoidance)","Going into a classroom or another place (e.g., church, cafeteria) when other people are already there-Avoidance",s1_r1_e1,Integer,"0, 1, 2, 3","0, Never<br>0 | 1, Occasionally<br>1 | 2, Often<br>2 | 3, Usually<br>3",NA,1,NA,direct-redcap
lsasp_i23,"LSAS (parent report), question 12 (fear)","Being the center of attention (e.g., child's birthday party)-Fear",s1_r1_e1,Integer,"0, 1, 2, 3","0, None<br>0 | 1, Mild<br>1 | 2, Moderate<br>2 | 3, Severe<br>3",NA,1,NA,direct-redcap
lsasp_i24,"LSAS (parent report), question 12 (avoidance)","Being the center of attention (e.g., child's birthday party)-Avoidance",s1_r1_e1,Integer,"0, 1, 2, 3","0, Never<br>0 | 1, Occasionally<br>1 | 2, Often<br>2 | 3, Usually<br>3",NA,1,NA,direct-redcap
lsasp_i25,"LSAS (parent report), question 13 (fear)",Asking questions in class-Fear,s1_r1_e1,Integer,"0, 1, 2, 3","0, None<br>0 | 1, Mild<br>1 | 2, Moderate<br>2 | 3, Severe<br>3",NA,1,NA,direct-redcap
lsasp_i26,"LSAS (parent report), question 13 (avoidance)",Asking questions in class-Avoidance,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never<br>0 | 1, Occasionally<br>1 | 2, Often<br>2 | 3, Usually<br>3",NA,1,NA,direct-redcap
lsasp_i27,"LSAS (parent report), question 14 (fear)",Answering questions in class-Fear,s1_r1_e1,Integer,"0, 1, 2, 3","0, None<br>0 | 1, Mild<br>1 | 2, Moderate<br>2 | 3, Severe<br>3",NA,1,NA,direct-redcap
lsasp_i28,"LSAS (parent report), question 14 (avoidance)",Answering questions in class-Avoidance,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never<br>0 | 1, Occasionally<br>1 | 2, Often<br>2 | 3, Usually<br>3",NA,1,NA,direct-redcap
lsasp_i29,"LSAS (parent report), question 15 (fear)",Reading out loud in class-Fear,s1_r1_e1,Integer,"0, 1, 2, 3","0, None<br>0 | 1, Mild<br>1 | 2, Moderate<br>2 | 3, Severe<br>3",NA,1,NA,direct-redcap
lsasp_i30,"LSAS (parent report), question 15 (avoidance)",Reading out loud in class-Avoidance,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never<br>0 | 1, Occasionally<br>1 | 2, Often<br>2 | 3, Usually<br>3",NA,1,NA,direct-redcap
lsasp_i31,"LSAS (parent report), question 16 (fear)",Taking tests-Fear,s1_r1_e1,Integer,"0, 1, 2, 3","0, None<br>0 | 1, Mild<br>1 | 2, Moderate<br>2 | 3, Severe<br>3",NA,1,NA,direct-redcap
lsasp_i32,"LSAS (parent report), question 16 (avoidance)",Taking tests-Avoidance,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never<br>0 | 1, Occasionally<br>1 | 2, Often<br>2 | 3, Usually<br>3",NA,1,NA,direct-redcap
lsasp_i33,"LSAS (parent report), question 17 (fear)","Saying ""no"" when people ask your child to do things he/she doesn't want to do (e.g., to borrow something or to look at homework)-Fear",s1_r1_e1,Integer,"0, 1, 2, 3","0, None<br>0 | 1, Mild<br>1 | 2, Moderate<br>2 | 3, Severe<br>3",NA,1,NA,direct-redcap
lsasp_i34,"LSAS (parent report), question 17 (avoidance)","Saying ""no"" when people ask your child to do things he/she doesn't want to do (e.g., to borrow something or to look at homework)-Avoidance",s1_r1_e1,Integer,"0, 1, 2, 3","0, Never<br>0 | 1, Occasionally<br>1 | 2, Often<br>2 | 3, Usually<br>3",NA,1,NA,direct-redcap
lsasp_i35,"LSAS (parent report), question 18 (fear)",Your child telling people that he/she doesn't agree with them or that he/she is mad at them-Fear,s1_r1_e1,Integer,"0, 1, 2, 3","0, None<br>0 | 1, Mild<br>1 | 2, Moderate<br>2 | 3, Severe<br>3",NA,1,NA,direct-redcap
lsasp_i36,"LSAS (parent report), question 18 (avoidance)",Your child telling people that he/she doesn't agree with them or that he/she is mad at them-Avoidance,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never<br>0 | 1, Occasionally<br>1 | 2, Often<br>2 | 3, Usually<br>3",NA,1,NA,direct-redcap
lsasp_i37,"LSAS (parent report), question 19 (fear)",Looking at people your child doesn't know well in the eye-Fear,s1_r1_e1,Integer,"0, 1, 2, 3","0, None<br>0 | 1, Mild<br>1 | 2, Moderate<br>2 | 3, Severe<br>3",NA,1,NA,direct-redcap
lsasp_i38,"LSAS (parent report), question 19 (avoidance)",Looking at people your child doesn't know well in the eye-Avoidance,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never<br>0 | 1, Occasionally<br>1 | 2, Often<br>2 | 3, Usually<br>3",NA,1,NA,direct-redcap
lsasp_i39,"LSAS (parent report), question 20 (fear)","Asking questions in a store (e.g., to exchange something)-Fear",s1_r1_e1,Integer,"0, 1, 2, 3","0, None<br>0 | 1, Mild<br>1 | 2, Moderate<br>2 | 3, Severe<br>3",NA,1,NA,direct-redcap
lsasp_i40,"LSAS (parent report), question 20 (avoidance)","Asking questions in a store (e.g., to exchange something)-Avoidance",s1_r1_e1,Integer,"0, 1, 2, 3","0, Never<br>0 | 1, Occasionally<br>1 | 2, Often<br>2 | 3, Usually<br>3",NA,1,NA,direct-redcap
lsasp_i41,"LSAS (parent report), question 21 (fear)","Playing a sport or performing in front of other people (e.g., school show, musical performance)-Fear",s1_r1_e1,Integer,"0, 1, 2, 3","0, None<br>0 | 1, Mild<br>1 | 2, Moderate<br>2 | 3, Severe<br>3",NA,1,NA,direct-redcap
lsasp_i42,"LSAS (parent report), question 21 (avoidance)","Playing a sport or performing in front of other people (e.g., school show, musical performance)-Avoidance",s1_r1_e1,Integer,"0, 1, 2, 3","0, Never<br>0 | 1, Occasionally<br>1 | 2, Often<br>2 | 3, Usually<br>3",NA,1,NA,direct-redcap
lsasp_i43,"LSAS (parent report), question 22 (fear)",Joining a club or group-Fear,s1_r1_e1,Integer,"0, 1, 2, 3","0, None<br>0 | 1, Mild<br>1 | 2, Moderate<br>2 | 3, Severe<br>3",NA,1,NA,direct-redcap
lsasp_i44,"LSAS (parent report), question 22 (avoidance)",Joining a club or group-Avoidance,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never<br>0 | 1, Occasionally<br>1 | 2, Often<br>2 | 3, Usually<br>3",NA,1,NA,direct-redcap
lsasp_i45,"LSAS (parent report), question 23 (fear)",Meeting new people-Fear,s1_r1_e1,Integer,"0, 1, 2, 3","0, None<br>0 | 1, Mild<br>1 | 2, Moderate<br>2 | 3, Severe<br>3",NA,1,NA,direct-redcap
lsasp_i46,"LSAS (parent report), question 23 (avoidance)",Meeting new people-Avoidance,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never<br>0 | 1, Occasionally<br>1 | 2, Often<br>2 | 3, Usually<br>3",NA,1,NA,direct-redcap
lsasp_i47,"LSAS (parent report), question 24 (fear)","Asking a teacher permission to leave the classroom (e.g., go to the bathroom or the school nurse)-Fear",s1_r1_e1,Integer,"0, 1, 2, 3","0, None<br>0 | 1, Mild<br>1 | 2, Moderate<br>2 | 3, Severe<br>3",NA,1,NA,direct-redcap
