variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
lsasca_i1,"LSAS (child/ado self-report), question 1 (fear)",Talking on the phone to classmates or other people-Fear,s1_r1_e1,Integer,"0, 1, 2, 3","0, None | 1, Mild | 2, Moderate | 3, Severe",NA,1,NA,direct-redcap
lsasca_i2,"LSAS (child/ado self-report), question 1 (avoidance)",Talking on the phone to classmates or other people-Avoidance,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never | 1, Occasionally | 2, Often | 3, Usually",NA,1,NA,direct-redcap
lsasca_i3,"LSAS (child/ado self-report), question 2 (fear)",Participating in a small group activity in class-Fear,s1_r1_e1,Integer,"0, 1, 2, 3","0, None | 1, Mild | 2, Moderate | 3, Severe",NA,1,NA,direct-redcap
lsasca_i4,"LSAS (child/ado self-report), question 2 (avoidance)",Participating in a small group activity in class-Avoidance,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never | 1, Occasionally | 2, Often | 3, Usually",NA,1,NA,direct-redcap
lsasca_i5,"LSAS (child/ado self-report), question 3 (fear)","Eating in front of others (e.g., school cafeteria, restaurant)-Fear",s1_r1_e1,Integer,"0, 1, 2, 3","0, None | 1, Mild | 2, Moderate | 3, Severe",NA,1,NA,direct-redcap
lsasca_i6,"LSAS (child/ado self-report), question 3 (avoidance)","Eating in front of others (e.g., school cafeteria, restaurant)-Avoidance",s1_r1_e1,Integer,"0, 1, 2, 3","0, Never | 1, Occasionally | 2, Often | 3, Usually",NA,1,NA,direct-redcap
lsasca_i7,"LSAS (child/ado self-report), question 4 (fear)","Asking an adult that you don't know well for help (e.g., store clerk, principal, police officer)-Fear",s1_r1_e1,Integer,"0, 1, 2, 3","0, None | 1, Mild | 2, Moderate | 3, Severe",NA,1,NA,direct-redcap
lsasca_i8,"LSAS (child/ado self-report), question 4 (avoidance)","Asking an adult that you don't know well for help (e.g., store clerk, principal, police officer)-Avoidance",s1_r1_e1,Integer,"0, 1, 2, 3","0, Never | 1, Occasionally | 2, Often | 3, Usually",NA,1,NA,direct-redcap
lsasca_i9,"LSAS (child/ado self-report), question 5 (fear)",Giving an oral report or presentation in class-Fear,s1_r1_e1,Integer,"0, 1, 2, 3","0, None | 1, Mild | 2, Moderate | 3, Severe",NA,1,NA,direct-redcap
lsasca_i10,"LSAS (child/ado self-report), question 5 (avoidance)",Giving an oral report or presentation in class-Avoidance,s1_r1_e1,Integer,"0, 1, 2, 3","0, Never | 1, Occasionally | 2, Often | 3, Usually",NA,1,NA,direct-redcap
