variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
lsaspes_i1,"LSAS (parent report, Spanish), question 1 (fear)",Hablando por teléfono a compañeros de clase u otras personas.-Miedo,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nada<br>0 | 1, Leve<br>1 | 2, Moderado<br>2 | 3, Severo<br>3",NA,1,NA,direct-redcap
lsaspes_i2,"LSAS (parent report, Spanish), question 1 (avoidance)",Hablando por teléfono a compañeros de clase u otras personas.-Evitación,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca<br>0 | 1, A veces<br>1 | 2, A menudo<br>2 | 3, Generalmente<br>3",NA,1,NA,direct-redcap
lsaspes_i3,"LSAS (parent report, Spanish), question 2 (fear)",Participando en una actividad de grupo pequeño en clase.-Miedo,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nada<br>0 | 1, Leve<br>1 | 2, Moderado<br>2 | 3, Severo<br>3",NA,1,NA,direct-redcap
lsaspes_i4,"LSAS (parent report, Spanish), question 2 (avoidance)",Participando en una actividad de grupo pequeño en clase.-Evitación,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca<br>0 | 1, A veces<br>1 | 2, A menudo<br>2 | 3, Generalmente<br>3",NA,1,NA,direct-redcap
lsaspes_i5,"LSAS (parent report, Spanish), question 3 (fear)","Comiendo en frente de otros (ej., cafetería de la escuela, restaurante).-Miedo",s1_r1_e1,Integer,"0, 1, 2, 3","0, Nada<br>0 | 1, Leve<br>1 | 2, Moderado<br>2 | 3, Severo<br>3",NA,1,NA,direct-redcap
lsaspes_i6,"LSAS (parent report, Spanish), question 3 (avoidance)","Comiendo en frente de otros (ej., cafetería de la escuela, restaurante).-Evitación",s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca<br>0 | 1, A veces<br>1 | 2, A menudo<br>2 | 3, Generalmente<br>3",NA,1,NA,direct-redcap
lsaspes_i7,"LSAS (parent report, Spanish), question 4 (fear)","Pidiéndole ayuda a un adulto que su hijo/a no conoce (ej., trabajador de una tienda, director de la escuela, policía).-Miedo",s1_r1_e1,Integer,"0, 1, 2, 3","0, Nada<br>0 | 1, Leve<br>1 | 2, Moderado<br>2 | 3, Severo<br>3",NA,1,NA,direct-redcap
lsaspes_i8,"LSAS (parent report, Spanish), question 4 (avoidance)","Pidiéndole ayuda a un adulto que su hijo/a no conoce (ej., trabajador de una tienda, director de la escuela, policía).-Evitación",s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca<br>0 | 1, A veces<br>1 | 2, A menudo<br>2 | 3, Generalmente<br>3",NA,1,NA,direct-redcap
lsaspes_i9,"LSAS (parent report, Spanish), question 5 (fear)",Dando un reporte oral o una presentación en clase.-Miedo,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nada<br>0 | 1, Leve<br>1 | 2, Moderado<br>2 | 3, Severo<br>3",NA,1,NA,direct-redcap
lsaspes_i10,"LSAS (parent report, Spanish), question 5 (avoidance)",Dando un reporte oral o una presentación en clase.-Evitación,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca<br>0 | 1, A veces<br>1 | 2, A menudo<br>2 | 3, Generalmente<br>3",NA,1,NA,direct-redcap
lsaspes_i11,"LSAS (parent report, Spanish), question 6 (fear)","Yendo a fiestas, reuniones sociales, u otras actividades sociales fuera de la escuela.-Miedo",s1_r1_e1,Integer,"0, 1, 2, 3","0, Nada<br>0 | 1, Leve<br>1 | 2, Moderado<br>2 | 3, Severo<br>3",NA,1,NA,direct-redcap
lsaspes_i12,"LSAS (parent report, Spanish), question 6 (avoidance)","Yendo a fiestas, reuniones sociales, u otras actividades sociales fuera de la escuela.-Evitación",s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca<br>0 | 1, A veces<br>1 | 2, A menudo<br>2 | 3, Generalmente<br>3",NA,1,NA,direct-redcap
lsaspes_i13,"LSAS (parent report, Spanish), question 7 (fear)",Escribiendo en la pizarra en frente de la clase.-Miedo,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nada<br>0 | 1, Leve<br>1 | 2, Moderado<br>2 | 3, Severo<br>3",NA,1,NA,direct-redcap
lsaspes_i14,"LSAS (parent report, Spanish), question 7 (avoidance)",Escribiendo en la pizarra en frente de la clase.-Evitación,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca<br>0 | 1, A veces<br>1 | 2, A menudo<br>2 | 3, Generalmente<br>3",NA,1,NA,direct-redcap
lsaspes_i15,"LSAS (parent report, Spanish), question 8 (fear)",Hablando con otros niños que no conoce bien.-Miedo,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nada<br>0 | 1, Leve<br>1 | 2, Moderado<br>2 | 3, Severo<br>3",NA,1,NA,direct-redcap
lsaspes_i16,"LSAS (parent report, Spanish), question 8 (avoidance)",Hablando con otros niños que no conoce bien.-Evitación,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca<br>0 | 1, A veces<br>1 | 2, A menudo<br>2 | 3, Generalmente<br>3",NA,1,NA,direct-redcap
lsaspes_i17,"LSAS (parent report, Spanish), question 9 (fear)",Empezando una conversación con gente que no conoce bien.-Miedo,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nada<br>0 | 1, Leve<br>1 | 2, Moderado<br>2 | 3, Severo<br>3",NA,1,NA,direct-redcap
lsaspes_i18,"LSAS (parent report, Spanish), question 9 (avoidance)",Empezando una conversación con gente que no conoce bien.-Evitación,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca<br>0 | 1, A veces<br>1 | 2, A menudo<br>2 | 3, Generalmente<br>3",NA,1,NA,direct-redcap
lsaspes_i19,"LSAS (parent report, Spanish), question 10 (fear)",Usando baños públicos o baños de la escuela.-Miedo,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nada<br>0 | 1, Leve<br>1 | 2, Moderado<br>2 | 3, Severo<br>3",NA,1,NA,direct-redcap
lsaspes_i20,"LSAS (parent report, Spanish), question 10 (avoidance)",Usando baños públicos o baños de la escuela.-Evitación,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca<br>0 | 1, A veces<br>1 | 2, A menudo<br>2 | 3, Generalmente<br>3",NA,1,NA,direct-redcap
lsaspes_i21,"LSAS (parent report, Spanish), question 11 (fear)","Entrando a una clase o cualquier otro lugar (ej., iglesia, cafetería) cuando otras personas ya están ahí.-Miedo",s1_r1_e1,Integer,"0, 1, 2, 3","0, Nada<br>0 | 1, Leve<br>1 | 2, Moderado<br>2 | 3, Severo<br>3",NA,1,NA,direct-redcap
lsaspes_i22,"LSAS (parent report, Spanish), question 11 (avoidance)","Entrando a una clase o cualquier otro lugar (ej., iglesia, cafetería) cuando otras personas ya están ahí.-Evitación",s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca<br>0 | 1, A veces<br>1 | 2, A menudo<br>2 | 3, Generalmente<br>3",NA,1,NA,direct-redcap
lsaspes_i23,"LSAS (parent report, Spanish), question 12 (fear)","Siendo el centro de atención (ej., fiesta de cumpleaños de su hijo/a).-Miedo",s1_r1_e1,Integer,"0, 1, 2, 3","0, Nada<br>0 | 1, Leve<br>1 | 2, Moderado<br>2 | 3, Severo<br>3",NA,1,NA,direct-redcap
lsaspes_i24,"LSAS (parent report, Spanish), question 12 (avoidance)","Siendo el centro de atención (ej., fiesta de cumpleaños de su hijo/a).-Evitación",s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca<br>0 | 1, A veces<br>1 | 2, A menudo<br>2 | 3, Generalmente<br>3",NA,1,NA,direct-redcap
lsaspes_i25,"LSAS (parent report, Spanish), question 13 (fear)",Haciendo preguntas en clase.-Miedo,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nada<br>0 | 1, Leve<br>1 | 2, Moderado<br>2 | 3, Severo<br>3",NA,1,NA,direct-redcap
lsaspes_i26,"LSAS (parent report, Spanish), question 13 (avoidance)",Haciendo preguntas en clase.-Evitación,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca<br>0 | 1, A veces<br>1 | 2, A menudo<br>2 | 3, Generalmente<br>3",NA,1,NA,direct-redcap
lsaspes_i27,"LSAS (parent report, Spanish), question 14 (fear)",Respondiendo preguntas en clase.-Miedo,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nada<br>0 | 1, Leve<br>1 | 2, Moderado<br>2 | 3, Severo<br>3",NA,1,NA,direct-redcap
lsaspes_i28,"LSAS (parent report, Spanish), question 14 (avoidance)",Respondiendo preguntas en clase.-Evitación,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca<br>0 | 1, A veces<br>1 | 2, A menudo<br>2 | 3, Generalmente<br>3",NA,1,NA,direct-redcap
lsaspes_i29,"LSAS (parent report, Spanish), question 15 (fear)",Leyendo en voz alta en clase.-Miedo,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nada<br>0 | 1, Leve<br>1 | 2, Moderado<br>2 | 3, Severo<br>3",NA,1,NA,direct-redcap
lsaspes_i30,"LSAS (parent report, Spanish), question 15 (avoidance)",Leyendo en voz alta en clase.-Evitación,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca<br>0 | 1, A veces<br>1 | 2, A menudo<br>2 | 3, Generalmente<br>3",NA,1,NA,direct-redcap
lsaspes_i31,"LSAS (parent report, Spanish), question 16 (fear)",Tomando exámenes.-Miedo,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nada<br>0 | 1, Leve<br>1 | 2, Moderado<br>2 | 3, Severo<br>3",NA,1,NA,direct-redcap
lsaspes_i32,"LSAS (parent report, Spanish), question 16 (avoidance)",Tomando exámenes.-Evitación,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca<br>0 | 1, A veces<br>1 | 2, A menudo<br>2 | 3, Generalmente<br>3",NA,1,NA,direct-redcap
lsaspes_i33,"LSAS (parent report, Spanish), question 17 (fear)","Diciendo ""no"" cuando le piden que haga cosas que el/ella no quiere hacer (ej., darle prestado algo o que miren su tarea).-Miedo",s1_r1_e1,Integer,"0, 1, 2, 3","0, Nada<br>0 | 1, Leve<br>1 | 2, Moderado<br>2 | 3, Severo<br>3",NA,1,NA,direct-redcap
lsaspes_i34,"LSAS (parent report, Spanish), question 17 (avoidance)","Diciendo ""no"" cuando le piden que haga cosas que el/ella no quiere hacer (ej., darle prestado algo o que miren su tarea).-Evitación",s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca<br>0 | 1, A veces<br>1 | 2, A menudo<br>2 | 3, Generalmente<br>3",NA,1,NA,direct-redcap
lsaspes_i35,"LSAS (parent report, Spanish), question 18 (fear)",Su hijo/a diciéndole a personas que no está de acuerdo con ellos o que está molesto/a con ellos.-Miedo,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nada<br>0 | 1, Leve<br>1 | 2, Moderado<br>2 | 3, Severo<br>3",NA,1,NA,direct-redcap
lsaspes_i36,"LSAS (parent report, Spanish), question 18 (avoidance)",Su hijo/a diciéndole a personas que no está de acuerdo con ellos o que está molesto/a con ellos.-Evitación,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca<br>0 | 1, A veces<br>1 | 2, A menudo<br>2 | 3, Generalmente<br>3",NA,1,NA,direct-redcap
lsaspes_i37,"LSAS (parent report, Spanish), question 19 (fear)",Mirándole a los ojos a personas que su hijo/a no conoce bien.-Miedo,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nada<br>0 | 1, Leve<br>1 | 2, Moderado<br>2 | 3, Severo<br>3",NA,1,NA,direct-redcap
lsaspes_i38,"LSAS (parent report, Spanish), question 19 (avoidance)",Mirándole a los ojos a personas que su hijo/a no conoce bien.-Evitación,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca<br>0 | 1, A veces<br>1 | 2, A menudo<br>2 | 3, Generalmente<br>3",NA,1,NA,direct-redcap
lsaspes_i39,"LSAS (parent report, Spanish), question 20 (fear)","Haciendo preguntas en una tienda (ej., para cambiar algo).-Miedo",s1_r1_e1,Integer,"0, 1, 2, 3","0, Nada<br>0 | 1, Leve<br>1 | 2, Moderado<br>2 | 3, Severo<br>3",NA,1,NA,direct-redcap
lsaspes_i40,"LSAS (parent report, Spanish), question 20 (avoidance)","Haciendo preguntas en una tienda (ej., para cambiar algo).-Evitación",s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca<br>0 | 1, A veces<br>1 | 2, A menudo<br>2 | 3, Generalmente<br>3",NA,1,NA,direct-redcap
lsaspes_i41,"LSAS (parent report, Spanish), question 21 (fear)","Jugando un deporte o actuando delante de otra gente (ej., una obra de la escuela, una actuación musical).-Miedo",s1_r1_e1,Integer,"0, 1, 2, 3","0, Nada<br>0 | 1, Leve<br>1 | 2, Moderado<br>2 | 3, Severo<br>3",NA,1,NA,direct-redcap
lsaspes_i42,"LSAS (parent report, Spanish), question 21 (avoidance)","Jugando un deporte o actuando delante de otra gente (ej., una obra de la escuela, una actuación musical).-Evitación",s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca<br>0 | 1, A veces<br>1 | 2, A menudo<br>2 | 3, Generalmente<br>3",NA,1,NA,direct-redcap
lsaspes_i43,"LSAS (parent report, Spanish), question 22 (fear)",Unirse a un club o a un grupo.-Miedo,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nada<br>0 | 1, Leve<br>1 | 2, Moderado<br>2 | 3, Severo<br>3",NA,1,NA,direct-redcap
lsaspes_i44,"LSAS (parent report, Spanish), question 22 (avoidance)",Unirse a un club o a un grupo.-Evitación,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca<br>0 | 1, A veces<br>1 | 2, A menudo<br>2 | 3, Generalmente<br>3",NA,1,NA,direct-redcap
lsaspes_i45,"LSAS (parent report, Spanish), question 23 (fear)",Conociendo a gente nueva.-Miedo,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nada<br>0 | 1, Leve<br>1 | 2, Moderado<br>2 | 3, Severo<br>3",NA,1,NA,direct-redcap
lsaspes_i46,"LSAS (parent report, Spanish), question 23 (avoidance)",Conociendo a gente nueva.-Evitación,s1_r1_e1,Integer,"0, 1, 2, 3","0, Nunca<br>0 | 1, A veces<br>1 | 2, A menudo<br>2 | 3, Generalmente<br>3",NA,1,NA,direct-redcap
lsaspes_i47,"LSAS (parent report, Spanish), question 24 (fear)","Pidiéndole permiso a un/a profesor/a para salir de la clase (ej., para ir al baño o a ver a la enfermera de la escuela).-Miedo",s1_r1_e1,Integer,"0, 1, 2, 3","0, Nada<br>0 | 1, Leve<br>1 | 2, Moderado<br>2 | 3, Severo<br>3",NA,1,NA,direct-redcap
