variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
masi_b_i0,Initial question so that MASI only presented to participants who identify as having a heritage culture,Do you have a heritage culture (other than American)?,s1_r1_e1,Logical,"0,1","1, Yes | 0, No",NA,1,NA,direct-redcap
masi_b_i1,"MASI (version b), question 1",I don't speak my family's heritage language or don't speak it well.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_b_i2,"MASI (version b), question 2",I feel uncomfortable being around people who only speak my family's heritage language.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_b_i3,"MASI (version b), question 3",I feel pressure to learn my family's heritage language.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_b_i4,"MASI (version b), question 4",I have a hard time understanding others when they speak my family's heritage language.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_b_i5,"MASI (version b), question 5","Since I don't speak my family's heritage language well, people have treated me rudely or unfairly.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_b_i6,"MASI (version b), question 6",It bothers me when people assume that I speak my family's heritage language.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_b_i7,"MASI (version b), question 7",I have been discriminated against because I have difficulty speaking my family's heritage language.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_b_i8,"MASI (version b), question 8",I don't speak English or don't speak it well.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_b_i9,"MASI (version b), question 9",I have been discriminated against because I have difficulty speaking English.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_b_i10,"MASI (version b), question 10","Since I don't speak English well, people have treated me rudely or unfairly.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_b_i11,"MASI (version b), question 11",I feel pressure to learn English.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_b_i12,"MASI (version b), question 12",It bothers me that I speak English with an accent.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_b_i13,"MASI (version b), question 13",I have a hard time understanding others when they speak English.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_b_i14,"MASI (version b), question 14",I feel uncomfortable being around people who only speak English.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_b_i15,"MASI (version b), question 15",It bothers me when people pressure me to assimilate to the American way of doing things.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_b_i16,"MASI (version b), question 16",It bothers me when people don't respect my family's cultural values.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_b_i17,"MASI (version b), question 17","Because of my cultural background, I have a hard time fitting in with White Americans.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_b_i18,"MASI (version b), question 18",I feel uncomfortable when others expect me to know American ways of doing things.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_b_i19,"MASI (version b), question 19",I don't feel accepted by White Americans.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_b_i20,"MASI (version b), question 20",I feel uncomfortable when I have to choose between my family's heritage culture and American ways of doing things.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_b_i21,"MASI (version b), question 21",People look down upon me if I practice customs from my family's heritage culture.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_b_i22,"MASI (version b), question 22",I have had conflicts with others because I prefer American customs over those from my family's heritage culture.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
masi_b_i23,"MASI (version b), question 23",People look down upon me if I practice American customs.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree",NA,1,NA,direct-redcap
