variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
masies_b_heritage,Initial question so that MASI only presented to participants who identify as having a heritage culture,Tiene alguna cultura de origen (además de la americana o estadounidense)?,s1_r1_e1,Logical,"0,1","1, Sí | 0, No",NA,1,NA,direct-redcap
masies_b_which,Specification of heritage culture,Nuestra cultura de origen (que no sea americana o estadounidense) es:,s1_r1_e1,Char,NA,NA,NA,1,NA,direct-redcap
masies_b_i1,"MASI (version b, Spanish), question 1",No hablo el idioma de herencia de mi familia o no lo hablo bien.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Muy en desacuerdo | 2, | 3, | 4, | 5, Muy de acuerdo",NA,1,NA,direct-redcap
masies_b_i2,"MASI (version b, Spanish), question 2",Me siento incómodo/a al rededor de personas que sólo hablan el idioma de herencia de mi familia.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Muy en desacuerdo | 2, | 3, | 4, | 5, Muy de acuerdo",NA,1,NA,direct-redcap
masies_b_i3,"MASI (version b, Spanish), question 3",Me siento presionado/a a aprender el idioma de herencia de mi familia.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Muy en desacuerdo | 2, | 3, | 4, | 5, Muy de acuerdo",NA,1,NA,direct-redcap
masies_b_i4,"MASI (version b, Spanish), question 4",Me cuesta entender a otras personas cuando hablan el idioma de herencia de mi familia.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Muy en desacuerdo | 2, | 3, | 4, | 5, Muy de acuerdo",NA,1,NA,direct-redcap
masies_b_i5,"MASI (version b, Spanish), question 5","Como no hablo bien el idioma de herencia de mi familia, la gente me ha tratado de manera grosera o injusta.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Muy en desacuerdo | 2, | 3, | 4, | 5, Muy de acuerdo",NA,1,NA,direct-redcap
masies_b_i6,"MASI (version b, Spanish), question 6",Me molesta cuando la gente asume que hablo el idioma de herencia de mi familia.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Muy en desacuerdo | 2, | 3, | 4, | 5, Muy de acuerdo",NA,1,NA,direct-redcap
masies_b_i7,"MASI (version b, Spanish), question 7",He sido discriminado/a porque tengo dificultad para hablar el idioma de herencia de mi familia.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Muy en desacuerdo | 2, | 3, | 4, | 5, Muy de acuerdo",NA,1,NA,direct-redcap
masies_b_i8,"MASI (version b, Spanish), question 8",No hablo inglés o no lo hablo bien.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Muy en desacuerdo | 2, | 3, | 4, | 5, Muy de acuerdo",NA,1,NA,direct-redcap
masies_b_i9,"MASI (version b, Spanish), question 9",He sido discriminado/a porque tengo dificultad para hablar en inglés.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Muy en desacuerdo | 2, | 3, | 4, | 5, Muy de acuerdo",NA,1,NA,direct-redcap
masies_b_i10,"MASI (version b, Spanish), question 10","Como no hablo bien inglés, la gente me ha tratado de manera grosera o injusta.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Muy en desacuerdo | 2, | 3, | 4, | 5, Muy de acuerdo",NA,1,NA,direct-redcap
masies_b_i11,"MASI (version b, Spanish), question 11",Me siento presionado/a a aprender inglés.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Muy en desacuerdo | 2, | 3, | 4, | 5, Muy de acuerdo",NA,1,NA,direct-redcap
masies_b_i12,"MASI (version b, Spanish), question 12",Me molesta que hablo inglés con un acento.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Muy en desacuerdo | 2, | 3, | 4, | 5, Muy de acuerdo",NA,1,NA,direct-redcap
masies_b_i13,"MASI (version b, Spanish), question 13",Me cuesta entender a otras personas cuando hablan en inglés.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Muy en desacuerdo | 2, | 3, | 4, | 5, Muy de acuerdo",NA,1,NA,direct-redcap
masies_b_i14,"MASI (version b, Spanish), question 14",Me siento incómodo/a al rededor de personas que sólo hablan inglés.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Muy en desacuerdo | 2, | 3, | 4, | 5, Muy de acuerdo",NA,1,NA,direct-redcap
masies_b_i15,"MASI (version b, Spanish), question 15",Me molesta cuando la gente me presiona para que asuma la manera americana de hacer las cosas.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Muy en desacuerdo | 2, | 3, | 4, | 5, Muy de acuerdo",NA,1,NA,direct-redcap
masies_b_i16,"MASI (version b, Spanish), question 16",Me molesta cuando la gente no respeta los valores culturales de mi familia.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Muy en desacuerdo | 2, | 3, | 4, | 5, Muy de acuerdo",NA,1,NA,direct-redcap
masies_b_i17,"MASI (version b, Spanish), question 17","Debido a mi trasfondo cultural, me cuesta mucho encajar con los estadounidenses blancos.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Muy en desacuerdo | 2, | 3, | 4, | 5, Muy de acuerdo",NA,1,NA,direct-redcap
masies_b_i18,"MASI (version b, Spanish), question 18",Me siento incómodo/a cuando otras personas esperan que conozca la manera americana de hacer las cosas.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Muy en desacuerdo | 2, | 3, | 4, | 5, Muy de acuerdo",NA,1,NA,direct-redcap
masies_b_i19,"MASI (version b, Spanish), question 19",No me siento aceptado/a por estadounidenses blancos.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Muy en desacuerdo | 2, | 3, | 4, | 5, Muy de acuerdo",NA,1,NA,direct-redcap
masies_b_i20,"MASI (version b, Spanish), question 20",Me siento incómodo/a cuando tengo que escoger entre la cultura de herencia de mi familia y la manera americana de hacer las cosas.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Muy en desacuerdo | 2, | 3, | 4, | 5, Muy de acuerdo",NA,1,NA,direct-redcap
masies_b_i21,"MASI (version b, Spanish), question 21",La gente me mira con desprecio si practico costumbres de la cultura de herencia de mi familia.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Muy en desacuerdo | 2, | 3, | 4, | 5, Muy de acuerdo",NA,1,NA,direct-redcap
masies_b_i22,"MASI (version b, Spanish), question 22",He tenido conflictos con otras personas porque prefiero las costumbres americanas que las de la cultura de herencia de mi familia.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Muy en desacuerdo | 2, | 3, | 4, | 5, Muy de acuerdo",NA,1,NA,direct-redcap
