measure,english,draft_esla,revised_esla,esla_for_backtrans,backtranslated_esla,reconciled_esla,final_esla,revised_en,revised_esla
MASI,Multidimensional Acculturative Stress Inventory,Inventorio de Estrés Multidimensional por Aculturación,N/A,Inventorio de Estrés Multidimensional por Aculturación,Multidimensional Acculturative Stress Inventory,NA,Inventorio de Estrés Multidimensional por Aculturación,,
MASI,"1, Yes | 0, No","1, Sí | 0, No",N/A,"1, Sí | 0, No","1, Yes | 0, No",NA,"1, Sí | 0, No",,
MASI,Do you have a heritage culture (other than American)?,Tiene alguna cultura de herencia (además de la Americana?),N/A,Tiene alguna cultura de herencia (además de la Americana?),Do you have any cultural heritage (besides American)?,NA,Tiene alguna cultura de herencia (además de la Americana?),Do you have a heritage culture (other than mainstream American)?,Tiene alguna cultura de origen (además de la Americana o estadounidense)?
MASI,Your heritage culture (other than American) is:,NA,NA,NA,NA,NA,NA,[from ABCD data dictionary] Your heritage culture (other than mainstream American) is:,[from ABCD data dictionary] Nuestra cultura de origen (que no sea americana o estadounidense) es:
MASI,Please rate how strongly you agree/disagree with the following statements.,Por favor califique que tan de acuerdo o en desacuerdo está con las siguientes afirmaciones.,N/A,Por favor califique que tan de acuerdo o en desacuerdo está con las siguientes afirmaciones.,Please rate how much you agree or disagree with the following statements.,NA,Por favor califique que tan de acuerdo o en desacuerdo está con las siguientes afirmaciones.,,
MASI,"1, strongly disagree | 2,  | 3,  | 4,  | 5, strongly agree","1, Muy en desacuerdo | 2, | 3, | 4, | 5, Muy de acuerdo",N/A,"1, Muy en desacuerdo | 2, | 3, | 4, | 5, Muy de acuerdo","1, Strongly disagree | 2, | 3, | 4, | 5, Strongly agree",NA,"1, Muy en desacuerdo | 2, | 3, | 4, | 5, Muy de acuerdo",,
MASI,I don't speak my family's heritage language or don't speak it well.,No hablo el idioma de herencia de mi familia o no lo hablo bien.,N/A,No hablo el idioma de herencia de mi familia o no lo hablo bien.,I do not speak my family's heritage language or I do not speak it well.,NA,No hablo el idioma de herencia de mi familia o no lo hablo bien.,,
MASI,I feel uncomfortable being around people who only speak my family's heritage language.,Me siento incómodo/a al rededor de personas que sólo hablan el idioma de herencia de mi familia.,N/A,Me siento incómodo/a al rededor de personas que sólo hablan el idioma de herencia de mi familia.,I feel uncomfortable around people who only speak my family's heritage language.,NA,Me siento incómodo/a al rededor de personas que sólo hablan el idioma de herencia de mi familia.,,
MASI,I feel pressure to learn my family's heritage language.,Me siento presionado/a a aprender el idioma de herencia de mi familia.,N/A,Me siento presionado/a a aprender el idioma de herencia de mi familia.,I feel pressured to learn my family's heritage language.,NA,Me siento presionado/a a aprender el idioma de herencia de mi familia.,,
MASI,I have a hard time understanding others when they speak my family's heritage language.,Me cuesta entender a otras personas cuando hablan el idioma de herencia de mi familia.,N/A,Me cuesta entender a otras personas cuando hablan el idioma de herencia de mi familia.,I have a hard time understanding other people when they speak my family's heritage language.,NA,Me cuesta entender a otras personas cuando hablan el idioma de herencia de mi familia.,,
MASI,"Since I don't speak my family's heritage language well, people have treated me rudely or unfairly.",La gente me ha tratado de forma ruda o injusta por no hablar bien el idioma de herencia de mi familia.,"Como no hablo bien el idioma de herencia de mi familia, la gente me ha tratado de manera grosera o injusta.","Como no hablo bien el idioma de herencia de mi familia, la gente me ha tratado de manera grosera o injusta.","Because I don't speak my family's heritage language well, people have treated me rudely or unfairly.",NA,"Como no hablo bien el idioma de herencia de mi familia, la gente me ha tratado de manera grosera o injusta.",,
MASI,It bothers me when people assume that I speak my family's heritage language.,Me molesta cuando la gente asume que hablo el idioma de herencia de mi familia.,N/A,Me molesta cuando la gente asume que hablo el idioma de herencia de mi familia.,It bothers me when people assume that I speak my family's heritage language.,NA,Me molesta cuando la gente asume que hablo el idioma de herencia de mi familia.,,
MASI,I have been discriminated against because I have difficulty speaking my family's heritage language.,He sido discriminado/a porque tengo dificultad para hablar el idioma de herencia de mi familia.,N/A,He sido discriminado/a porque tengo dificultad para hablar el idioma de herencia de mi familia.,I have been discriminated against because I have difficulty speaking my family's heritage language.,NA,He sido discriminado/a porque tengo dificultad para hablar el idioma de herencia de mi familia.,,
MASI,I don't speak English or don't speak it well.,No hablo inglés o no lo hablo bien.,N/A,No hablo inglés o no lo hablo bien.,I don't speak English or I don't speak it well.,NA,No hablo inglés o no lo hablo bien.,,
