measure,english,draft_esla,revised_esla,esla_for_backtrans,backtranslated_esla,reconciled_esla,final_esla
PDSF-P,Has your child begun to menstruate?,Su niña ha comenzado la menstruación?,N/A,Su niña ha comenzado la menstruación?,Has your daughter started menstruation?,"(Note for all rows: group decision to use ""niña"" in this context based on ABCD study.  Expect ""child"" versus ""daughter"" discrepanices in reconciliation.)",Su niña ha comenzado la menstruación?
PDSF-P,How old were they when they started to menstruate?,Qué edad tenía cuando empezó a menstruar?,N/A,Qué edad tenía cuando empezó a menstruar?,What age did she have when she began menstruating?,"The English is a bit awkward, is that intentional? -- From backtranslator: i translated it more literally (""Qué edad tenía"" is more literally ""what age did [they] have"")  but ""how old was she"" is completely fine! that's just how its said in spanish",Qué edad tenía cuando empezó a menstruar?
PDSF-P,(In years.),(En años.) ,N/A,(En años.) ,(In years.),NA,(En años.) 
PDSF-P,What was the date of the first day of your child's last period?,Cuál fue el primer día del último período de su niña?,N/A,Cuál fue el primer día del último período de su niña?,What was the first day of your daughter's last period?,NA,Cuál fue el primer día del último período de su niña?
PDSF-P,"On average, how many days are there between the first day of their period and the first day of their next period?","En promedio, cuántos días pasan entre el primer día de su período y el primer día del próximo período?",N/A,"En promedio, cuántos días pasan entre el primer día de su período y el primer día del próximo período?","On average, how many days pass between the first day of your daughter's period and the first day of her next period?",NA,"En promedio, cuántos días pasan entre el primer día de su período y el primer día del próximo período?"
PDSF-P,"(E.g., 30 days.)",(e.j. 30 días.),N/A,(e.j. 30 días.),(ex. 30 days.),NA,(e.j. 30 días.)
PDSF-P,Is your child's menstrual cycle regular?,El ciclo menstrual de su niña es regular?,N/A,El ciclo menstrual de su niña es regular?,Is your daughter's menstrual cycle regular?,NA,El ciclo menstrual de su niña es regular?
PDSF-P,"Is your child currently using hormonal birth control (e.g. the pill, hormone patch, hormone injection)?","Actualmente su niña usa contracepción hormonal? (e.j. pastillas, parches, inyecciones)?",N/A,"Actualmente su niña usa contracepción hormonal? (e.j. pastillas, parches, inyecciones)?","Currently, does your daughter use hormonal contraception? (ex. pills, patches, injections)?",NA,"Actualmente su niña usa contracepción hormonal? (e.j. pastillas, parches, inyecciones)?"
PDSF-P,"Do they experience premenstrual irritability, fatigue, tearfulness, etc., which start before their period and stop within a few days of bleeding?","Su niña experimenta irritabilidad, fatiga, sensibilidad emocional, etc., durante la etapa premenstrual, la cual empieza antes de su período y termina algunos días después de comenzar el sangrado?",N/A,"Su niña experimenta irritabilidad, fatiga, sensibilidad emocional, etc., durante la etapa premenstrual, la cual empieza antes de su período y termina algunos días después de comenzar el sangrado?","Does your daughter experience irritability, fatigue, emotional sensitivity, et cetera, during the premenstrual stage, which begins before her period and ends a few days after the bleeding begins?",NA,"Su niña experimenta irritabilidad, fatiga, sensibilidad emocional, etc., durante la etapa premenstrual, la cual empieza antes de su período y termina algunos días después de comenzar el sangrado?"
PDSF-P,"Do their premenstrual symptoms interfere with their relationships with family and friends, productivity, and/or social life activities?","Los síntomas premenstruales de su niña interfieren en sus relaciones con familia y amigos, productividad, y/o actividades de su vida social?",N/A,"Los síntomas premenstruales de su niña interfieren en sus relaciones con familia y amigos, productividad, y/o actividades de su vida social?","Does your daughter's premenstrual symptoms interfere with her relationships with family and friends, productivity, and/or activities in her social life?","Should ""Does"" be ""Do""? -- Confirmed typo from backtranslator.","Los síntomas premenstruales de su niña interfieren en sus relaciones con familia y amigos, productividad, y/o actividades de su vida social?"
