variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
pds_i0,"PDS, initial question for display logic",What do you consider yourself to be:,s1_r1_e1,Integer,"1, 2, 3","1, Male | 2, Female | 3, Other",NA,1,NA,direct-redcap
pds_i1,"PDS, question 1",Would you say that your growth in height... ,s1_r1_e1,Integer,"NA, 1, 2, 3, 4","1, Has not yet begun to spurt | 2, Has barely started | 3, Is definitely underway | 4, Seems complete | NA, I don't know",NA,1,NA,direct-redcap
pds_i2,"PDS, question 2","And how about the growth of your body hair? (""Body hair"" means hair any place other than your head, such as under your arms.) Would you say that your body hair growth:",s1_r1_e1,Integer,"NA, 1, 2, 3, 4","1, Has not yet begun to grow | 2, Has barely started to grow | 3, Is definitely underway | 4, Seems complete | NA, I don't know",NA,1,NA,direct-redcap
pds_i3,"PDS, question 3","Have you noticed any skin changes, especially pimples?",s1_r1_e1,Integer,"NA, 1, 2, 3, 4","1, Skin has not yet started changing | 2, Skin has barely started changing | 3, Skin changes are definitely underway | 4, Skin changes seem complete | NA, I don't know",NA,1,NA,direct-redcap
pds_i4,"PDS, question 4 (female only)",Have you noticed that your breasts have begun to grow?,s1_r1_e1,Integer,"NA, 1, 2, 3, 4","1, Have not yet started growing | 2, Have barely started growing | 3, Breast growth is definitely underway | 4, Breast growth seems complete | NA, I don't know",NA,1,NA,direct-redcap
pds_i5,"PDS, question 5 (female only)",Have you begun to menstruate (started to have your period)?,s1_r1_e1,Integer,"NA 0, 4","4, Yes | 0, No | NA, I don't know",NA,1,NA,direct-redcap
pds_i6,"PDS, question 6 (female only, if menstruation has begun)",How old were you when you started to menstruate?,s1_r1_e1,Integer,"[1,20]",years,NA,1,NA,direct-redcap
pds_i6dk_999,"PDS, question 6 ""I don't know"" response option (female only, if menstruation has begun)",How old were you when you started to menstruate?,s1_r1_e1,Integer,"NA, 1","1, I don't know",NA,1,NA,direct-redcap
pds_i7,"PDS, question 7 (male only)",Have you noticed a deepening of your voice?,s1_r1_e1,Integer,"NA, 1, 2, 3, 4","1, Voice has not yet started changing | 2, Voice has barely started changing | 3, Voice changes are definitely underway | 4, Voice changes seem complete | NA, I don't know",NA,1,NA,direct-redcap
pds_i8,"PDS, question 8 (male only)",Have you begun to grow hair on your face?,s1_r1_e1,Integer,"NA, 1, 2, 3, 4","1, Facial hair has not yet started growing | 2, Facial hair has barely started growing | 3, Facial hair has definitely started | 4, Facial hair growth seems complete | NA, I don't know",NA,1,NA,direct-redcap
pds_scrdFem,PDS total score for females,average of pds items 1-5 (NA if pds_percFem < 0.8),s1_r1_e1,Real,"[1,4]",NA,NA,1,NA,code-instruments
pds_percFem,PDS female percentage response,percentage of response for pds female items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
pds_scrdMal,PDS total score for males,"average of pds items 1, 2, 3, 7 and 8 (NA if pds_percMal < 0.8)",s1_r1_e1,Real,"[1,4]",NA,NA,1,NA,code-instruments
pds_percMal,PDS male percentage response,percentage of response for pds male items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
