variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
pdsp_i0,"PDS (parent report), initial question for display logic","What sex was the child assigned at birth, on the original birth certificate?",s1_r1_e1,Integer,"1, 2, 34, 999","1, Male | 2, Female | 3, Intersex-Male | 4, Intersex-Female | 999, Don't know",NA,1,NA,direct-redcap
pdsp_i1,"PDS (parent report), question 1",Would you say that your child's growth in height:,s1_r1_e1,Integer,"NA, 1, 2, 3, 4","1, Has not yet begun to spurt | 2, Has barely started | 3, Is definitely underway | 4, Seems complete | NA, I don't know",NA,1,NA,direct-redcap
pdsp_i2,"PDS (parent report), question 2","And how about the growth of your child's body hair (""body hair"" means hair any place other than their head, such as under their arms)? Would you say that your child's body hair growth:",s1_r1_e1,Integer,"NA, 1, 2, 3, 4","1, Has not yet begun to grow | 2, Has barely started to grow | 3, Is definitely underway | 4, Seems complete | NA, I don't know",NA,1,NA,direct-redcap
pdsp_i3,"PDS (parent report), question 3","Have you noticed any changes to their skin, especially pimples?",s1_r1_e1,Integer,"NA, 1, 2, 3, 4","1, Skin has not yet started changing | 2, Skin has barely started changing | 3, Skin changes are definitely underway | 4, Skin changes seem complete | NA, I don't know",NA,1,NA,direct-redcap
pdsp_i4,"PDS (parent report), question 4 (female only)",Have you noticed that your child's breasts have begun to grow?,s1_r1_e1,Integer,"NA, 1, 2, 3, 4","1, Have not yet started growing | 2, Have barely started growing | 3, Breast growth is definitely underway | 4, Breast growth seems complete | NA, I don't know",NA,1,NA,direct-redcap
pdsp_i5,"PDS (parent report), question 5 (female only)",Has your child begun to menstruate?,s1_r1_e1,Integer,"NA, 0, 4","4, Yes | 0, No | NA, I don't know",NA,1,NA,direct-redcap
pdsp_i6,"PDS (parent report), question 6 (female only, if menstruation has begun)",How old were they when they started to menstruate?,s1_r1_e1,Integer,"[1,20]",years,NA,1,NA,direct-redcap
pdsp_i6dk_999,"PDS (parent report), question 6 ""I don't know"" response option (female only, if menstruation has begun)",How old were they when they started to menstruate?,s1_r1_e1,Integer,"NA, 1","1, I don't know",NA,1,NA,direct-redcap
pdsp_i7,"PDS (parent report), question 7 (male only)",Have you noticed a deepening of his voice? ,s1_r1_e1,Integer,"NA, 1, 2, 3, 4","1, Voice has not yet started changing | 2, Voice has barely started changing | 3, Voice changes are definitely underway | 4, Voice changes seem complete | NA, I don't know",NA,1,NA,direct-redcap
pdsp_i8,"PDS (parent report), question 8 (male only)",Has he begun to grow hair on his face?,s1_r1_e1,Integer,"NA, 1, 2, 3, 4","1, Facial hair has not yet started growing | 2, Facial hair has barely started growing | 3, Facial hair has definitely started | 4, Facial hair growth seems complete | NA, I don't know",NA,1,NA,direct-redcap
pdsp_scrdFem,PDS (parent report) total score for females,average of pdsp items 1-5 (NA if pdsp_percFem < 0.8),s1_r1_e1,Real,"[1,4]",NA,NA,1,NA,code-instruments
pdsp_percFem,PDS (parent report) female percentage response,percentage of response for pdsp female items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
pdsp_scrdMal,PDS (parent report) total score for males,"average of pdsp items 1, 2, 3, 7 and 8 (NA if pdsp_percMal < 0.8)",s1_r1_e1,Real,"[1,4]",NA,NA,1,NA,code-instruments
pdsp_percMal,PDS (parent report) male percentage response,percentage of response for pdsp male items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
