variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
pdsfp_b_i1,"PDS (female, parent version B), question 1",Would you say that your child's growth in height:,s1_r1_e1,Integer,"NA, 1, 2, 3, 4","1, Has not yet begun to spurt | 2, Has barely started | 3, Is definitely underway | 4, Seems complete | NA, I don't know",NA,1,NA,direct-redcap
pdsfp_b_i2,"PDS (female, parent version B), question 2","And how about the growth of your child's body hair (""body hair"" means hair any place other than their head, such as under their arms)? Would you say that your child's body hair growth:",s1_r1_e1,Integer,"NA, 1, 2, 3, 4","1, Has not yet begun to grow | 2, Has barely started to grow | 3, Is definitely underway | 4, Seems complete | NA, I don't know",NA,1,NA,direct-redcap
pdsfp_b_i3,"PDS (female, parent version B), question 3","Have you noticed any changes to their skin, especially pimples?",s1_r1_e1,Integer,"NA, 1, 2, 3, 4","1, Skin has not yet started changing | 2, Skin has barely started changing | 3, Skin changes are definitely underway | 4, Skin changes seem complete | NA, I don't know",NA,1,NA,direct-redcap
pdsfp_b_i4,"PDS (female, parent version B), question 4",Have you noticed that your child's breasts have begun to grow?,s1_r1_e1,Integer,"NA, 1, 2, 3, 4","1, Have not yet started growing | 2, Have barely started growing | 3, Breast growth is definitely underway | 4, Breast growth seems complete | NA, I don't know",NA,1,NA,direct-redcap
pdsfp_b_i5,"PDS (female, parent version B), question 5",Has your child begun to menstruate?,s1_r1_e1,Integer,"0, 1, 4","4, Yes | 0, No | 999, I don't know",NA,1,NA,direct-redcap
pdsfp_b_i6,"PDS (female, parent version B), question 6","How old were they when they started to menstruate? (If you don't know, please choose ""I don't know"" in what follows below.)",s1_r1_e1,Char,NA,NA,NA,1,NA,direct-redcap
pdsfp_b_i6dk,"PDS (female, parent version B), question 6: don't know option",Selected if participant does not know the answer to question 6,s1_r1_e1,Integer,999,"999, I don't know",NA,1,NA,direct-redcap
pdsfp_b_i7,"PDS (female, parent version B), question 7","What was the date of the first day of your child's last period? (If you don't know, please choose ""I don't know"" in what follows below.)",s1_r1_e1,Date,yyyy-mm-dd,yyyy-mm-dd,NA,1,NA,direct-redcap
pdsfp_b_i7dk,"PDS (female, parent version B), question 7: don't know option",Selected if participant does not know the answer to question 7,s1_r1_e1,Integer,999,"999, I don't know",NA,1,NA,direct-redcap
pdsfp_b_i8,"PDS (female, parent version B), question 8","On average, how many days are there between the first day of their period and the first day of their next period? (If you don't know, please choose ""I don't know"" in what follows below.)",s1_r1_e1,Integer,"[0,inf]",days,NA,1,NA,direct-redcap
pdsfp_b_i8dk,"PDS (female, parent version B), question 8: don't know option",Selected if participant does not know the answer to question 8,s1_r1_e1,Integer,999,"999, I don't know",NA,1,NA,direct-redcap
pdsfp_b_i9,"PDS (female, parent version B), question 9",Is your child's menstrual cycle regular?,s1_r1_e1,Integer,"0, 1, 999","1, Yes | 0, No | 999, I don't know",NA,1,NA,direct-redcap
pdsfp_b_i10,"PDS (female, parent version B), question 10","Is your child currently using hormonal birth control (e.g. the pill, hormone patch, hormone injection)?",s1_r1_e1,Integer,"0, 1, 999","1, Yes | 0, No | 999, I don't know",NA,1,NA,direct-redcap
pdsfp_b_i11,"PDS (female, parent version B), question 11","Do they experience premenstrual irritability, fatigue, tearfulness, etc., which start before their period and stop within a few days of bleeding?",s1_r1_e1,Integer,"1, 2, 3, 4, 999","1, Not at all | 2, Mild | 3, Moderate | 4, Severe | 999, Don't know",NA,1,NA,direct-redcap
pdsfp_b_i12,"PDS (female, parent version B), question 12","Do their premenstrual symptoms interfere with their relationships with family and friends, productivity, and/or social life activities?",s1_r1_e1,Integer,"1, 2, 3, 4, 999","1, Not at all | 2, Mild | 3, Moderate | 4, Severe | 999, Don't know",NA,1,NA,direct-redcap
pdsfp_b_scrdTotal,"PDS (female, parent version B), total score",average of pdsfp_b items 1-5 (NA if pdsfp_b_percTotal < 0.8),s1_r1_e1,Real,"[1,4]",NA,NA,1,NA,code-instruments
pdsfp_b_percTotal,"PDS (female, parent version B), percentage response",percentage of response for pdsfp_b items 1-5 (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
