variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
pdsfpes_b_i1,"PDS (female, parent version B, Spanish), question 1","Con respecto a la estatura de su niño(a), ¿diría usted que...?",s1_r1_e1,Integer,"NA, 1, 2, 3, 4","1, Aún no ha empezado a crecer | 2, Apenas ha empezado a crecer | 3, Definitivamente está creciendo | 4, Parece haber terminado de crecer | NA, No sé",NA,1,NA,direct-redcap
pdsfpes_b_i2,"PDS (female, parent version B, Spanish), question 2","¿Y qué diría del crecimiento del vello corporal de su niño(a) (""vello corporal"" se refiere al vello que crece en cualquier parte del cuerpo que no sea el pelo de la cabeza, como en las axilas)?¿Diría usted que el vello corporal de su niño(a)...?",s1_r1_e1,Integer,"NA, 1, 2, 3, 4","1, Aún no le ha empezado a salir | 2, Apenas le está empezando a salir | 3, Definitivamente ya le está saliendo | 4, Parece haber terminado de salir | NA, No sé",NA,1,NA,direct-redcap
pdsfpes_b_i3,"PDS (female, parent version B, Spanish), question 3","¿Ha notado cambios en la piel de su niño(a), particularmente acné, granos o espinillas?",s1_r1_e1,Integer,"NA, 1, 2, 3, 4","1, Su piel aún no ha empezado a mostrar cambios | 2, Su piel apenas ha empezado a mostrar cambios | 3, Definitivamente ya están ocurriendo cambios en su piel | 4, Parece haber terminado de cambiarle la piel | NA, No sé",NA,1,NA,direct-redcap
pdsfpes_b_i4,"PDS (female, parent version B, Spanish), question 4",¿Ha notado que los senos de su niña han empezado a crecer?,s1_r1_e1,Integer,"NA, 1, 2, 3, 4","1, Aún no le han empezado a crecer | 2, Apenas le han empezado a crecer | 3, Definitivamente ya le están creciendo los senos | 4, Sus senos ya parecen haber terminado de crecer | NA, No sé",NA,1,NA,direct-redcap
pdsfpes_b_i5,"PDS (female, parent version B, Spanish), question 5",Su niña ha comenzado la menstruación?,s1_r1_e1,Integer,"0, 1, 4","4, Sí | 0, No | 999, No sé",NA,1,NA,direct-redcap
pdsfpes_b_i6,"PDS (female, parent version B, Spanish), question 6","Qué edad tenía cuando empezó a menstruar? (Si no sabe, por favor escoja ""No sé"" en lo que sigue abajo.)",s1_r1_e1,Char,NA,NA,NA,1,NA,direct-redcap
pdsfpes_b_i6dk,"PDS (female, parent version B, Spanish), question 6: don't know option",Selected if participant does not know the answer to question 6,s1_r1_e1,Integer,999,"999, No sé",NA,1,NA,direct-redcap
pdsfpes_b_i7,"PDS (female, parent version B, Spanish), question 7","Cuál fue el primer día del último período de su niña? (Si no sabe, por favor escoja ""No sé"" en lo que sigue abajo.)",s1_r1_e1,Date,yyyy-mm-dd,yyyy-mm-dd,NA,1,NA,direct-redcap
pdsfpes_b_i7dk,"PDS (female, parent version B, Spanish), question 7: don't know option",Selected if participant does not know the answer to question 7,s1_r1_e1,Integer,999,"999, No sé",NA,1,NA,direct-redcap
pdsfpes_b_i8,"PDS (female, parent version B, Spanish), question 8","En promedio, cuántos días pasan entre el primer día de su período y el primer día del próximo período? (Si no sabe, por favor escoja ""No sé"" en lo que sigue abajo.)",s1_r1_e1,Integer,"[0,inf]",days,NA,1,NA,direct-redcap
pdsfpes_b_i8dk,"PDS (female, parent version B, Spanish), question 8: don't know option",Selected if participant does not know the answer to question 8,s1_r1_e1,Integer,999,"999, No sé",NA,1,NA,direct-redcap
pdsfpes_b_i9,"PDS (female, parent version B, Spanish), question 9",El ciclo menstrual de su niña es regular?,s1_r1_e1,Integer,"0, 1, 999","1, Sí | 0, No | 999, No sé",NA,1,NA,direct-redcap
pdsfpes_b_i10,"PDS (female, parent version B, Spanish), question 10","Actualmente su niña usa contracepción hormonal? (e.j. pastillas, parches, inyecciones)?",s1_r1_e1,Integer,"0, 1, 999","1, Sí | 0, No | 999, No sé",NA,1,NA,direct-redcap
pdsfpes_b_i11,"PDS (female, parent version B, Spanish), question 11","Su niña experimenta irritabilidad, fatiga, sensibilidad emocional, etc., durante la etapa premenstrual, la cual empieza antes de su período y termina algunos días después de comenzar el sangrado?",s1_r1_e1,Integer,"1, 2, 3, 4, 999","1, Para nada | 2, Leves | 3, Moderados | 4, Graves | 999, No sé",NA,1,NA,direct-redcap
pdsfpes_b_i12,"PDS (female, parent version B, Spanish), question 12","Los síntomas premenstruales de su niña interfieren en sus relaciones con familia y amigos, productividad, y/o actividades de su vida social?",s1_r1_e1,Integer,"1, 2, 3, 4, 999","1, Para nada | 2, Leves | 3, Moderados | 4, Graves | 999, No sé",NA,1,NA,direct-redcap
pdsfpes_b_scrdTotal,"PDS (female, parent version B, Spanish), total score",average of pdsfpes_b items 1-5 (NA if pdsfpes_b_percTotal < 0.8),s1_r1_e1,Real,"[1,4]",NA,NA,1,NA,code-instruments
pdsfpes_b_percTotal,"PDS (female, parent version B, Spanish), percentage response",percentage of response for pdsfpes_b items 1-5 (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
