variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
pdspes_i0,"PDS (parent report, Spanish), initial question for display logic","Qué sexo se le asignó al niño/a cuando nació, en su acta de nacimiento original?",s1_r1_e1,Integer,"1, 2, 3, 4, 999","1, Masculino | 2, Femenino | 3, Entre sexo-masculino | 4, Entre sexo-femenino | 999, No sé",NA,1,NA,direct-redcap
pdspes_i1,"PDS (parent report, Spanish), question 1","Con respecto a la estatura de su niño(a), ¿diría usted que...?",s1_r1_e1,Integer,"NA, 1, 2, 3, 4","1, Aún no ha empezado a crecer | 2, Apenas ha empezado a crecer | 3, Definitivamente está creciendo | 4, Parece haber terminado de crecer | NA, No sé",NA,1,NA,direct-redcap
pdspes_i2,"PDS (parent report, Spanish), question 2","¿Y qué diría del crecimiento del vello corporal de su niño(a) (""vello corporal"" se refiere al vello que crece en cualquier parte del cuerpo que no sea el pelo de la cabeza, como en las axilas)?¿Diría usted que el vello corporal de su niño(a)...?",s1_r1_e1,Integer,"NA, 1, 2, 3, 4","1, Aún no le ha empezado a salir | 2, Apenas le está empezando a salir | 3, Definitivamente ya le está saliendo | 4, Parece haber terminado de salir | NA, No sé",NA,1,NA,direct-redcap
pdspes_i3,"PDS (parent report, Spanish), question 3","¿Ha notado cambios en la piel de su niño(a), particularmente acné, granos o espinillas?",s1_r1_e1,Integer,"NA, 1, 2, 3, 4","1, Su piel aún no ha empezado a mostrar cambios | 2, Su piel apenas ha empezado a mostrar cambios | 3, Definitivamente ya están ocurriendo cambios en su piel | 4, Parece haber terminado de cambiarle la piel | NA, No sé",NA,1,NA,direct-redcap
pdspes_i4,"PDS (parent report, Spanish), question 4 (female only)",¿Ha notado que los senos de su niña han empezado a crecer?,s1_r1_e1,Integer,"NA, 1, 2, 3, 4","1, Aún no le han empezado a crecer | 2, Apenas le han empezado a crecer | 3, Definitivamente ya le están creciendo los senos | 4, Sus senos ya parecen haber terminado de crecer | NA, No sé",NA,1,NA,direct-redcap
pdspes_i5,"PDS (parent report, Spanish), question 5 (female only)",Su niña ha comenzado la menstruación?,s1_r1_e1,Integer,"NA, 0, 4","4, Sí | 0, No | NA, No sé",NA,1,NA,direct-redcap
pdspes_i6,"PDS (parent report, Spanish), question 6 (female only, if menstruation has begun)",Qué edad tenía cuando empezó a menstruar?,s1_r1_e1,Integer,"[1,20]",years,NA,1,NA,direct-redcap
pdspes_i6dk,"PDS (parent report, Spanish), question 6 ""I don't know"" response option (female only, if menstruation has begun)",Qué edad tenía cuando empezó a menstruar?,s1_r1_e1,Integer,999,"999, No sé",NA,1,NA,direct-redcap
pdspes_i7,"PDS (parent report, Spanish), question 7 (male only)",¿Ha notado que la voz de su niño se ha vuelto más profunda?,s1_r1_e1,Integer,"NA, 1, 2, 3, 4","1, Su voz aún no ha empezado a cambiar | 2, Su voz apenas ha empezado a cambiar | 3, Definitivamente ya están ocurriendo cambios en su voz | 4, Parece haber terminado de cambiar su voz | NA, No sé",NA,1,NA,direct-redcap
pdspes_i8,"PDS (parent report, Spanish), question 8 (male only)",¿A su niño le ha empezado a crecer vello en la cara?,s1_r1_e1,Integer,"NA, 1, 2, 3, 4","1, Aún no le ha empezado a salir vello facial | 2, Apenas le ha empezado a salir vello facial | 3, Definitivamente ya le ha empezado a salir vello facial | 4, Ya parece haber terminado de salirle el vello facial | NA, No sé",NA,1,NA,direct-redcap
pdspes_scrdFem,"PDS (parent report, Spanish) total score for females",average of pdspes items 1-5 (NA if pdspes_percFem < 0.8),s1_r1_e1,Real,"[1,4]",NA,NA,1,NA,code-instruments
pdspes_percFem,"PDS (parent report, Spanish) female percentage response",percentage of response for pdspes female items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
pdspes_scrdMal,"PDS (parent report, Spanish) total score for males","average of pdspes items 1, 2, 3, 7 and 8 (NA if pdspes_percMal < 0.8)",s1_r1_e1,Real,"[1,4]",NA,NA,1,NA,code-instruments
pdspes_percMal,"PDS (parent report, Spanish) male percentage response",percentage of response for pdspes male items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
