variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
phq8es_i1,"PHQ8 (Spanish version), question 1",Poco interés o placer en hacer cosas,s1_r1_e1,Integer,"0, 1, 2, 3","0, Ningún día | 1, Varios días | 2, Más de la mitad de los días | 3, Casi todos los días",NA,1,NA,direct-redcap
phq8es_i2,"PHQ8 (Spanish version), question 2","Se ha sentido decaído(a), deprimido(a) o sin esperanzas",s1_r1_e1,Integer,"0, 1, 2, 3","0, Ningún día | 1, Varios días | 2, Más de la mitad de los días | 3, Casi todos los días",NA,1,NA,direct-redcap
phq8es_i3,"PHQ8 (Spanish version), question 3","Ha tenido dificultad para quedarse o permanecer dormido(a), o ha dormido demasiado",s1_r1_e1,Integer,"0, 1, 2, 3","0, Ningún día | 1, Varios días | 2, Más de la mitad de los días | 3, Casi todos los días",NA,1,NA,direct-redcap
phq8es_i4,"PHQ8 (Spanish version), question 4",Se ha sentido cansado(a) o con poca energía,s1_r1_e1,Integer,"0, 1, 2, 3","0, Ningún día | 1, Varios días | 2, Más de la mitad de los días | 3, Casi todos los días",NA,1,NA,direct-redcap
phq8es_i5,"PHQ8 (Spanish version), question 5",Sin apetito o ha comido en exceso,s1_r1_e1,Integer,"0, 1, 2, 3","0, Ningún día | 1, Varios días | 2, Más de la mitad de los días | 3, Casi todos los días",NA,1,NA,direct-redcap
phq8es_i6,"PHQ8 (Spanish version), question 6",Se ha sentido mal con usted mismo(a) - o que es un fracaso o que ha quedado mal con usted mismo(a) o con su familia,s1_r1_e1,Integer,"0, 1, 2, 3","0, Ningún día | 1, Varios días | 2, Más de la mitad de los días | 3, Casi todos los días",NA,1,NA,direct-redcap
phq8es_i7,"PHQ8 (Spanish version), question 7","Ha tenido dificultad para concentrarse en ciertas actividades, tales como leer el periódico o ver la televisión",s1_r1_e1,Integer,"0, 1, 2, 3","0, Ningún día | 1, Varios días | 2, Más de la mitad de los días | 3, Casi todos los días",NA,1,NA,direct-redcap
phq8es_i8,"PHQ8 (Spanish version), question 8",¿Se ha movido o hablado tan lento que otras personas podrían haberlo notado? o lo contrario - muy inquieto(a) o agitado(a) que ha estado moviéndose mucho más de lo normal,s1_r1_e1,Integer,"0, 1, 2, 3","0, Ningún día | 1, Varios días | 2, Más de la mitad de los días | 3, Casi todos los días",NA,1,NA,direct-redcap
phq8es_scrdTotal,PHQ8 (Spanish version) total score,sum of all phq8es items (NA if phq8es_percTotal < 1),s1_r1_e1,Integer,"[0,24]",NA,NA,1,NA,code-instruments
phq8es_percTotal,PHQ8 (Spanish version) percentage response,percentage of response for phq8es items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
