variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
pscei_i1,"PSCEI, question 1","When I notice a mistake my child made, I feel upset.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, not at all like you | 2, a little like you | 3, moderately like you | 4, a lot like you | 5, extremely like you",NA,1,NA,direct-redcap
pscei_i2,"PSCEI, question 2","My stomach feels like it ""drops"" when I see my child make a mistake.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, not at all like you | 2, a little like you | 3, moderately like you | 4, a lot like you | 5, extremely like you",NA,1,NA,direct-redcap
pscei_i3,"PSCEI, question 3","If my child makes a mistake, I have a strong urge to fix it immediately.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, not at all like you | 2, a little like you | 3, moderately like you | 4, a lot like you | 5, extremely like you",NA,1,NA,direct-redcap
pscei_i4,"PSCEI, question 4","When someone notices my child did something wrong, I feel upset.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, not at all like you | 2, a little like you | 3, moderately like you | 4, a lot like you | 5, extremely like you",NA,1,NA,direct-redcap
pscei_i5,"PSCEI, question 5",I am afraid of my child making mistakes in front of other people.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, not at all like you | 2, a little like you | 3, moderately like you | 4, a lot like you | 5, extremely like you",NA,1,NA,direct-redcap
pscei_i6,"PSCEI, question 6",I feel an urge to check over things my child has done to make sure they did not make a mistake.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, not at all like you | 2, a little like you | 3, moderately like you | 4, a lot like you | 5, extremely like you",NA,1,NA,direct-redcap
pscei_i7,"PSCEI, question 7","If my child makes a mistake and I can't fix it, I feel like ""something isn't right.""",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, not at all like you | 2, a little like you | 3, moderately like you | 4, a lot like you | 5, extremely like you",NA,1,NA,direct-redcap
pscei_i8,"PSCEI, question 8",I have a strong need for my child to do things close to perfectly.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, not at all like you | 2, a little like you | 3, moderately like you | 4, a lot like you | 5, extremely like you",NA,1,NA,direct-redcap
pscei_i9,"PSCEI, question 9",I feel upset when other people criticize something my child has done.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, not at all like you | 2, a little like you | 3, moderately like you | 4, a lot like you | 5, extremely like you",NA,1,NA,direct-redcap
pscei_i10,"PSCEI, question 10","When my child makes a mistake, I feel anxious.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, not at all like you | 2, a little like you | 3, moderately like you | 4, a lot like you | 5, extremely like you",NA,1,NA,direct-redcap
pscei_i11,"PSCEI, question 11","I often want to make sure something my child has done is ""just right"" or perfect.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, not at all like you | 2, a little like you | 3, moderately like you | 4, a lot like you | 5, extremely like you",NA,1,NA,direct-redcap
pscei_i12,"PSCEI, question 12","When someone notices a mistake my child made, I feel more upset than other people.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, not at all like you | 2, a little like you | 3, moderately like you | 4, a lot like you | 5, extremely like you",NA,1,NA,direct-redcap
pscei_i13,"PSCEI, question 13",I am more concerned about my child's mistakes than other people's mistakes.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, not at all like you | 2, a little like you | 3, moderately like you | 4, a lot like you | 5, extremely like you",NA,1,NA,direct-redcap
pscei_i14,"PSCEI, question 14","After my child makes a mistake, I think about it for a long time.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, not at all like you | 2, a little like you | 3, moderately like you | 4, a lot like you | 5, extremely like you",NA,1,NA,direct-redcap
pscei_i15,"PSCEI, question 15",My child making mistakes means I am a less good person.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, not at all like you | 2, a little like you | 3, moderately like you | 4, a lot like you | 5, extremely like you",NA,1,NA,direct-redcap
pscei_i16,"PSCEI, question 16","When my child makes a mistake, I start sweating or blushing.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, not at all like you | 2, a little like you | 3, moderately like you | 4, a lot like you | 5, extremely like you",NA,1,NA,direct-redcap
pscei_i17,"PSCEI, question 17",I like to feel in control of my child more than other people do.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, not at all like you | 2, a little like you | 3, moderately like you | 4, a lot like you | 5, extremely like you",NA,1,NA,direct-redcap
pscei_i18,"PSCEI, question 18",My child being good at something means not making mistakes.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, not at all like you | 2, a little like you | 3, moderately like you | 4, a lot like you | 5, extremely like you",NA,1,NA,direct-redcap
pscei_i19,"PSCEI, question 19","I care about my child making mistakes during silly tasks, even when I know it doesn't matter.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, not at all like you | 2, a little like you | 3, moderately like you | 4, a lot like you | 5, extremely like you",NA,1,NA,direct-redcap
pscei_i20,"PSCEI, question 20",I like to watch my child do things to make sure they don't make mistakes.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, not at all like you | 2, a little like you | 3, moderately like you | 4, a lot like you | 5, extremely like you",NA,1,NA,direct-redcap
pscei_scrdTotal,PSCEI total score,sum of all pscei items (NA if pscei_percTotal < 1),s1_r1_e1,Integer,"[20,100]",NA,NA,1,NA,code-instruments
pscei_percTotal,PSCEI percentage response,percentage of response for pscei items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
