variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
psceies_i1,"PSCEI (Spanish version), question 1","Cuando noto un error que cometió mi niño/a, me siento disgustado/a.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Para nada como usted | 2, Un poco como usted | 3, Moderadamente como usted | 4, Bastante como usted | 5, Extremadamente como usted",NA,1,NA,direct-redcap
psceies_i2,"PSCEI (Spanish version), question 2",Siento mi estomago caer cuando veo a mi niño/a cometer un error.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Para nada como usted | 2, Un poco como usted | 3, Moderadamente como usted | 4, Bastante como usted | 5, Extremadamente como usted",NA,1,NA,direct-redcap
psceies_i3,"PSCEI (Spanish version), question 3","Si mi niño/a comete un error, siento un fuerte impulso de arreglarlo inmediatamente.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Para nada como usted | 2, Un poco como usted | 3, Moderadamente como usted | 4, Bastante como usted | 5, Extremadamente como usted",NA,1,NA,direct-redcap
psceies_i4,"PSCEI (Spanish version), question 4","Cuando alguien nota que mi niño/a hizo algo incorrectamente, me siento disgustado/a.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Para nada como usted | 2, Un poco como usted | 3, Moderadamente como usted | 4, Bastante como usted | 5, Extremadamente como usted",NA,1,NA,direct-redcap
psceies_i5,"PSCEI (Spanish version), question 5",Tengo miedo de que mi niño/a cometa errores frente a otras personas.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Para nada como usted | 2, Un poco como usted | 3, Moderadamente como usted | 4, Bastante como usted | 5, Extremadamente como usted",NA,1,NA,direct-redcap
psceies_i6,"PSCEI (Spanish version), question 6",Siento un impulso de revisar las cosas que ha hecho mi niño/a para asegurarme de que no haya cometido un error.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Para nada como usted | 2, Un poco como usted | 3, Moderadamente como usted | 4, Bastante como usted | 5, Extremadamente como usted",NA,1,NA,direct-redcap
psceies_i7,"PSCEI (Spanish version), question 7","Si mi niño/a comete un error y no puedo arreglarlo, siento que ""algo no está bien.""",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Para nada como usted | 2, Un poco como usted | 3, Moderadamente como usted | 4, Bastante como usted | 5, Extremadamente como usted",NA,1,NA,direct-redcap
psceies_i8,"PSCEI (Spanish version), question 8",Tengo una fuerte necesidad de que mi niño/a haga las cosas casi perfectamente.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Para nada como usted | 2, Un poco como usted | 3, Moderadamente como usted | 4, Bastante como usted | 5, Extremadamente como usted",NA,1,NA,direct-redcap
psceies_i9,"PSCEI (Spanish version), question 9",Me siento disgustado/a cuando otras personas critican algo que ha hecho mi niño/a.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Para nada como usted | 2, Un poco como usted | 3, Moderadamente como usted | 4, Bastante como usted | 5, Extremadamente como usted",NA,1,NA,direct-redcap
psceies_i10,"PSCEI (Spanish version), question 10","Cuando mi niño/a comete un error, me siento ansioso/a.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Para nada como usted | 2, Un poco como usted | 3, Moderadamente como usted | 4, Bastante como usted | 5, Extremadamente como usted",NA,1,NA,direct-redcap
psceies_i11,"PSCEI (Spanish version), question 11","A menudo quiero asegurarme que algo que mi niño haya hecho sea ""adecuado"" o perfecto.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Para nada como usted | 2, Un poco como usted | 3, Moderadamente como usted | 4, Bastante como usted | 5, Extremadamente como usted",NA,1,NA,direct-redcap
psceies_i12,"PSCEI (Spanish version), question 12","Cuando alguien nota un error que cometió mi niño/a, me siento más disgustado/a que otras personas.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Para nada como usted | 2, Un poco como usted | 3, Moderadamente como usted | 4, Bastante como usted | 5, Extremadamente como usted",NA,1,NA,direct-redcap
psceies_i13,"PSCEI (Spanish version), question 13",Me preocupo más por los errores de mi niño/a que los errores de otras personas.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Para nada como usted | 2, Un poco como usted | 3, Moderadamente como usted | 4, Bastante como usted | 5, Extremadamente como usted",NA,1,NA,direct-redcap
psceies_i14,"PSCEI (Spanish version), question 14","Luego de que mi niño/a comete un error, pienso en eso por un largo tiempo.",s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Para nada como usted | 2, Un poco como usted | 3, Moderadamente como usted | 4, Bastante como usted | 5, Extremadamente como usted",NA,1,NA,direct-redcap
psceies_i15,"PSCEI (Spanish version), question 15",El hecho de que mi niño cometa errores significa que soy menos buena persona.,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Para nada como usted | 2, Un poco como usted | 3, Moderadamente como usted | 4, Bastante como usted | 5, Extremadamente como usted",NA,1,NA,direct-redcap
