measure,english,draft_esla,revised_esla,esla_for_backtrans,backtranslated_esla,reconciled_esla,final_esla
PSCEI,Parent Sensitivity to Child Errors Index,Índice de Sensibilidad Parental a Errores del Niño/a,N/A,Índice de Sensibilidad Parental a Errores del Niño/a,Parent Sensitivity to Child Errors Index,N/A,Índice de Sensibilidad Parental a Errores del Niño/a
PSCEI,Please indicate to what extent each statement is true about the way you feel about your child?,Por favor indique en qué medida cada afirmacion es cierta sobre la forma en usted se siente acerca de su niño/a,Por favor indique en qué medida cada afirmacion es cierta sobre la forma en que usted se siente acerca de su niño/a,Por favor indique en qué medida cada afirmación es cierta sobre la forma en que usted se siente acerca de su niño/a,Please indicate to what degree each statement is true about the way you feel about your child,N/A,Por favor indique en qué medida cada afirmación es cierta sobre la forma en que usted se siente acerca de su niño/a.
PSCEI,not at all like you,Para nada de acuerdo,N/A,Para nada de acuerdo,Do not agree,totally different framework,Para nada como usted
PSCEI,a little like you,Un poco de acuerdo,N/A,Un poco de acuerdo,Slightly agree,totally different framework,Un poco como usted
PSCEI,moderately like you,Moderadamente de acuerdo,N/A,Moderadamente de acuerdo,Moderately agree,totally different framework,Moderadamente como usted
PSCEI,a lot like you,Muy de acuerdo,N/A,Muy de acuerdo,Mostly agree,totally different framework,Bastante como usted
PSCEI,extremely like you,Extremadamente de acuerdo,N/A,Extremadamente de acuerdo,Strongly agree,totally different framework,Extremadamente como usted
PSCEI,"When I notice a mistake my child made, I feel upset.","Cuando noto un error que cometió mi niño/a, me siento disgustado/a.",N/A,"Cuando noto un error que cometió mi niño/a, me siento disgustado/a.","When I notice a mistake my child made, I feel upset.",N/A,"Cuando noto un error que cometió mi niño/a, me siento disgustado/a."
PSCEI,My stomach feels like it “drops” when I see my child make a mistake.,Siento mi estomago caer cuando veo a mi niño/a cometer un error.,N/A,Siento mi estomago caer cuando veo a mi niño/a cometer un error.,I feel my stomach drop when I see my child make a mistake.,N/A,Siento mi estomago caer cuando veo a mi niño/a cometer un error.
PSCEI,"If my child makes a mistake, I have a strong urge to fix it immediately.","Si mi niño/a comete un error, siento un fuerte impulso de arreglarlo inmediatamente.",N/A,"Si mi niño/a comete un error, siento un fuerte impulso de arreglarlo inmediatamente.","If my child makes a mistake, I feel a strong impulse to fix it immediately.",N/A,"Si mi niño/a comete un error, siento un fuerte impulso de arreglarlo inmediatamente."
