variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
pss_i1,"PSS, question 1","In the last month, how often have you been upset because of something that happened unexpectedly?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Never | 1, Almost Never | 2, Sometimes | 3, Fairly Often | 4, Very Often",NA,1,NA,direct-redcap
pss_i2,"PSS, question 2","In the last month, how often have you felt that you were unable to control the important things in your life?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Never | 1, Almost Never | 2, Sometimes | 3, Fairly Often | 4, Very Often",NA,1,NA,direct-redcap
pss_i3,"PSS, question 3","In the last month, how often have you felt nervous and ""stressed""?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Never | 1, Almost Never | 2, Sometimes | 3, Fairly Often | 4, Very Often",NA,1,NA,direct-redcap
pss_i4,"PSS, question 4","In the last month, how often have you felt confident about your ability to handle your personal problems?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Never | 1, Almost Never | 2, Sometimes | 3, Fairly Often | 4, Very Often",NA,1,NA,direct-redcap
pss_i5,"PSS, question 5","In the last month, how often have you felt that things were going your way?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Never | 1, Almost Never | 2, Sometimes | 3, Fairly Often | 4, Very Often",NA,1,NA,direct-redcap
pss_i6,"PSS, question 6","In the last month, how often have you found that you could not cope with all the things that you had to do?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Never | 1, Almost Never | 2, Sometimes | 3, Fairly Often | 4, Very Often",NA,1,NA,direct-redcap
pss_i7,"PSS, question 7","In the last month, how often have you been able to control irritations in your life?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Never | 1, Almost Never | 2, Sometimes | 3, Fairly Often | 4, Very Often",NA,1,NA,direct-redcap
pss_i8,"PSS, question 8","In the last month, how often have you felt that you were on top of things?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Never | 1, Almost Never | 2, Sometimes | 3, Fairly Often | 4, Very Often",NA,1,NA,direct-redcap
pss_i9,"PSS, question 9","In the last month, how often have you been angered because of things that were outside your control?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Never | 1, Almost Never | 2, Sometimes | 3, Fairly Often | 4, Very Often",NA,1,NA,direct-redcap
pss_i10,"PSS, question 10","In the last month, how often have you felt difficulties were piling up so high that you could not overcome them?",s1_r1_e1,Integer,"0, 1, 2, 3, 4","0, Never | 1, Almost Never | 2, Sometimes | 3, Fairly Often | 4, Very Often",NA,1,NA,direct-redcap
pss_scrdTotal,PSS total score,"sum of all pss items after items 4, 5, 7, and 8 are reversed (NA if pss_percTotal < 1)",s1_r1_e1,Real,"[0,4]",NA,NA,1,NA,code-instruments
pss_percTotal,PSS total percentage response,percentage of response for all pss items (NA if all items are blank),s1_r1_e1,Real,"[0,1]",NA,NA,1,NA,code-instruments
